id,destination,origin,year,migrants
360,66,22,1990,15
361,66,35,1990,24968
362,66,36,1990,17059
363,66,126,1990,117
364,66,90,1990,1
365,66,91,1990,8
366,66,92,1990,6
367,66,62,1990,1
368,66,140,1990,1
369,66,23,1990,263
370,66,164,1990,184
371,66,63,1990,107506
372,66,127,1990,24
373,66,165,1990,147
374,66,37,1990,14965
375,66,64,1990,12724
376,66,128,1990,670
377,66,115,1990,1538
378,66,65,1990,2271
379,66,10,1990,540
380,66,145,1990,350
381,66,113,1990,11
382,66,49,1990,1956
383,66,74,1990,8704
384,66,25,1990,1828
385,66,169,1990,157
386,66,166,1990,120
387,66,93,1990,38
388,66,146,1990,2033
389,66,26,1990,88108
390,66,170,1990,77
391,66,130,1990,150
392,66,38,1990,4534
393,66,27,1990,97
394,66,50,1990,6067
395,66,131,1990,86
396,66,114,1990,155
397,66,171,1990,415
398,66,1,1990,1842
399,66,28,1990,52
400,66,132,1990,63
401,66,133,1990,165
402,12,2,1990,254
403,12,11,1990,202586
404,12,29,1990,626
405,12,40,1990,662
406,12,15,1990,69766
407,12,69,1990,389
408,12,6,1990,2088
409,12,167,1990,4940
410,12,168,1990,3487
411,12,36,1990,39234
412,12,169,1990,340
413,12,26,1990,2894
414,12,170,1990,2352
415,12,38,1990,3842
416,12,171,1990,23232
417,78,76,1990,13
418,78,103,1990,8
419,78,66,1990,15
420,78,79,1990,234
421,78,67,1990,8
422,78,147,1990,0
423,78,105,1990,36
424,78,95,1990,31
425,78,30,1990,0
426,78,80,1990,9
427,78,10,1990,24
428,78,106,1990,9
429,78,172,1990,67
430,78,107,1990,28
431,78,96,1990,10
432,78,81,1990,48
433,78,39,1990,8
434,78,82,1990,35
435,78,83,1990,44
436,78,108,1990,10
437,78,97,1990,5
438,78,40,1990,0
439,78,68,1990,38
440,78,69,1990,161
441,78,156,1990,23
442,78,56,1990,72
443,78,84,1990,28
444,78,98,1990,7
445,78,110,1990,419
446,78,85,1990,10894
447,78,99,1990,7
448,78,173,1990,46
449,78,5,1990,160
450,78,44,1990,55
451,78,57,1990,78
452,78,86,1990,2792
453,78,177,1990,5
454,78,121,1990,6
455,78,100,1990,21
456,78,73,1990,36
457,78,101,1990,9
458,78,162,1990,30
459,78,48,1990,13
460,78,9,1990,15
461,78,102,1990,17
462,78,112,1990,43
463,78,179,1990,64
464,78,33,1990,12
465,78,61,1990,1
466,78,35,1990,0
467,78,36,1990,4
468,78,90,1990,13
469,78,91,1990,25
470,78,92,1990,20
471,78,115,1990,21
472,78,133,1990,0
473,78,65,1990,32
474,78,148,1990,0
475,78,49,1990,11
476,78,74,1990,85
477,78,93,1990,278
478,78,94,1990,2080
479,78,130,1990,0
480,78,38,1990,0
481,78,142,1990,9
482,78,50,1990,1964
483,78,114,1990,2
484,13,2,1990,215
