"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
united states,840,862106,913270,988316,1155376,1331560,1365833,1504237
oceania,909,468974,519067,604446,680818,788805,863511,967645
australia and new zealand,927,335351,366709,421127,481926,573939,622696,693842
australia,36,139236,157264,175553,201054,236444,248125,287109
new zealand,554,196115,209445,245574,280872,337495,374571,406733
melanesia,928,50814,59221,72454,85269,97733,109523,121526
fiji,242,43626,50855,63308,75347,87439,99311,110816
new caledonia,540,1927,2134,2274,2486,2664,2725,2855
papua new guinea,598,1570,2035,2279,2224,2090,2351,2353
solomon islands,90,1134,1281,1346,1456,1645,1913,2072
vanuatu,548,2557,2916,3247,3756,3895,3223,3430
micronesia,954,10467,14456,19250,19834,19448,20869,25179
guam,316,693,851,1387,1228,1002,981,1007
kiribati,296,1937,2033,1898,1940,1739,2017,2495
marshall islands,584,707,2080,3489,3337,3214,3763,5315
micronesia fed states of,583,3935,6150,8518,9227,9711,10312,12361
nauru,520,627,698,769,933,1094,1128,1214
northern mariana islands,580,1199,1274,1333,1346,1329,1339,1401
palau,585,1369,1370,1856,1823,1359,1329,1386
polynesia,957,72342,78681,91615,93789,97685,110423,127098
american samoa,16,1049,1365,1629,1327,1097,992,924
cook islands,184,8377,8149,9491,9550,10065,10691,10453
french polynesia,258,1583,1868,2125,1370,833,1082,1187
niue,570,2832,2648,2788,2588,2609,2620,2555
samoa,882,36602,39841,46571,48839,51453,57509,66671
tokelau,772,836,900,1017,1037,1090,1096,1068
tonga,776,16196,18815,22879,23897,25430,29476,36751
tuvalu,798,1203,1380,1354,1482,1475,1593,1816
wallis and futuna islands,876,3664,3715,3761,3699,3633,5364,5673
other,2003,4408990,3776224,3593958,4096864,4601492,5685512,6533198
