,destination,destination_id,origin,origin_id,1990,1995,2000,2005,2010,2015,2020
6792,ethiopia,120,djibouti,118,904,1901,3258,2389,2999,3702,3439
6793,ethiopia,120,rwanda,126,71,93,132,97,121,150,138
6794,ethiopia,120,somalia,128,616940,459615,389419,285575,346579,442461,411152
6795,ethiopia,120,south sudan,129,384266,235512,131405,96365,111051,394801,409890
6796,ethiopia,120,sudan,145,53857,33008,18417,73927,36781,39499,41959
6797,ethiopia,120,uganda,130,103,135,192,141,177,218,202
6798,ethiopia,120,yemen,28,68,89,127,94,117,1324,2053
6848,kenya,121,burundi,116,99,147,198,2045,4256,8312,15098
6849,kenya,121,congo,137,394,391,672,2749,9133,24738,43577
6850,kenya,121,ethiopia,120,26695,29521,20846,20917,35309,36889,32115
6851,kenya,121,eritrea,119,0,66,961,696,1686,2127,1851
6852,kenya,121,mozambique,125,1043,980,535,523,589,601,523
6853,kenya,121,namibia,150,119,112,61,60,67,68,58
6854,kenya,121,rwanda,126,3874,5861,3273,4059,6201,6330,5510
6855,kenya,121,somalia,128,7875,172164,159197,208156,392063,488470,425284
6856,kenya,121,south africa,115,197,185,101,98,110,112,96
6857,kenya,121,south sudan,129,5801,53996,81156,62546,53218,95765,121553
6858,kenya,121,sudan,145,814,41215,56360,76711,26998,10266,9926
6859,kenya,121,uganda,130,83355,134005,261491,291776,326978,333789,290597
6860,kenya,121,"tanzania, united republic of",131,66464,73119,51289,42082,39120,39935,34767
6910,madagascar,122,china,172,1481,1312,1458,1609,1784,1979,2193
6911,madagascar,122,comoros,117,8179,7242,8050,8910,9876,10953,12153
6912,madagascar,122,france,68,6672,5908,6567,7269,8066,8950,9922
6913,madagascar,122,india,5,1171,1037,1152,1282,1425,1581,1751
6963,malawi,123,burundi,116,705,5896,5677,5410,5314,6659,10079
6964,malawi,123,congo,137,735,1567,1509,1438,1413,1216,1033
6965,malawi,123,congo,137,1338,2481,2389,2368,4841,11896,27773
6966,malawi,123,india,5,1362,2683,2583,2462,2419,2083,1770
6967,malawi,123,mozambique,125,1075410,60845,58576,55817,54826,47220,40131
6968,malawi,123,rwanda,126,2249,5138,4947,4714,6482,5582,6280
6969,malawi,123,somalia,128,211,61,59,147,87,74,102
6970,malawi,123,south africa,115,1276,9179,8837,8421,8272,7124,6054
6971,malawi,123,united kingdom,50,769,1639,1578,1504,1478,1272,1081
6972,malawi,123,"tanzania, united republic of",131,3279,10676,10278,9794,9620,8285,7041
6973,malawi,123,zambia,132,5637,47571,45797,43640,42865,36918,31375
6974,malawi,123,zimbabwe,133,3851,41271,39732,37861,37189,32030,27221
7024,mauritius,124,bangladesh,3,71,150,313,3672,7235,8327,8415
7025,mauritius,124,belgium,67,76,35,15,57,103,118,118
7027,mauritius,124,sri lanka,10,9,19,42,496,979,1126,1137
7028,mauritius,124,china,172,346,3273,8024,5151,2564,2951,2981
7029,mauritius,124,france,68,788,696,993,1119,1308,1505,1519
7030,mauritius,124,germany,69,57,70,124,118,119,136,136
7031,mauritius,124,hong kong,173,91,45,25,21,20,23,22
7032,mauritius,124,india,5,515,1483,3278,5252,7517,8651,8778
7033,mauritius,124,ireland,44,30,14,6,24,44,50,49
7034,mauritius,124,italy,57,38,56,106,113,127,146,146
7035,mauritius,124,japan,177,23,14,15,11,8,9,8
7036,mauritius,124,madagascar,122,56,242,563,1236,1979,2277,2301
7038,mauritius,124,pakistan,9,1,3,7,82,163,187,187
7039,mauritius,124,russia,36,34,28,38,39,43,49,48
7040,mauritius,124,seychelles,127,43,39,58,80,108,124,124
7041,mauritius,124,south africa,115,184,192,307,412,541,622,627
7042,mauritius,124,spain,65,15,7,3,13,24,27,26
7043,mauritius,124,switzerland,74,66,30,13,51,92,105,104
7044,mauritius,124,united kingdom,50,694,450,458,415,395,454,458
7147,mozambique,125,angola,134,14337,19720,22937,31493,35889,37206,39092
7148,mozambique,125,burundi,116,615,846,985,1354,1817,5954,8388
7149,mozambique,125,cabo verde,153,2500,3439,4001,5495,6262,6491,6819
7150,mozambique,125,congo,137,2315,3185,3705,5089,5799,9958,11458
7151,mozambique,125,india,5,900,1238,1441,1980,2256,2338,2455
7152,mozambique,125,kenya,121,9087,12499,14539,19963,22749,23584,24779
7153,mozambique,125,lesotho,149,2875,3955,4601,6319,7201,7465,7842
7154,mozambique,125,malawi,123,22975,31600,36755,50465,57509,59620,62643
7155,mozambique,125,nigeria,162,1964,2702,3143,4316,4919,5100,5356
7156,mozambique,125,pakistan,9,516,711,828,1139,1298,1345,1412
7157,mozambique,125,portugal,61,1667,2294,2669,3665,4178,4331,4549
7158,mozambique,125,seychelles,127,6212,8545,9939,13647,15553,16123,16940
7159,mozambique,125,south africa,115,7397,10175,11835,16250,18519,19198,20171
7160,mozambique,125,zimbabwe,133,35711,49118,57131,78441,89389,92671,97379
7161,mozambique,125,"tanzania, united republic of",131,2722,3744,4355,5981,6816,7067,7423
7162,mozambique,125,zambia,132,1948,2680,3118,4281,4880,5059,5315
7266,rwanda,126,burundi,116,26393,37445,56107,68762,64931,134501,131063
7267,rwanda,126,congo,137,62526,89770,163420,197717,207397,233744,236657
7268,rwanda,126,kenya,121,955,1455,2218,2617,2598,2581,2575
7269,rwanda,126,uganda,130,34106,48486,79241,93430,92808,92195,92061
7270,rwanda,126,"tanzania, united republic of",131,15825,24121,36766,43346,43060,42776,42713
7321,seychelles,127,bangladesh,3,11,14,17,107,197,220,223
7322,seychelles,127,belgium,67,32,26,20,27,34,38,37
7323,seychelles,127,sri lanka,10,316,391,467,500,534,598,609
7324,seychelles,127,china,172,58,80,103,279,456,510,519
7325,seychelles,127,cuba,81,20,26,33,36,39,43,42
7326,seychelles,127,france,68,180,167,154,184,214,239,242
7327,seychelles,127,germany,69,40,48,57,66,76,85,85
7328,seychelles,127,india,5,1276,1651,2026,3907,5788,6482,6628
7330,seychelles,127,italy,57,22,29,37,73,109,122,123
7331,seychelles,127,kenya,121,25,178,331,348,366,409,415
7332,seychelles,127,madagascar,122,34,279,525,620,716,801,816
7333,seychelles,127,maldives,7,2,1,1,17,34,38,37
7334,seychelles,127,mauritius,124,258,383,509,502,495,554,564
7335,seychelles,127,nepal,8,27,33,39,98,157,175,177
7336,seychelles,127,nigeria,162,25,32,40,81,122,136,137
7337,seychelles,127,pakistan,9,23,17,11,16,22,24,23
7338,seychelles,127,philippines,179,61,229,398,514,630,705,718
7339,seychelles,127,russia,36,79,45,11,48,86,96,97
7340,seychelles,127,somalia,128,11,13,15,36,58,64,63
7341,seychelles,127,south africa,115,83,224,366,297,228,255,258
7342,seychelles,127,spain,65,11,10,10,16,22,24,23
7344,seychelles,127,uganda,130,5,5,6,15,25,28,27
7345,seychelles,127,united kingdom,50,274,223,173,216,259,290,295
7395,somalia,128,ethiopia,120,460000,18044,555,1148,26183,13641,21764
7396,somalia,128,eritrea,119,0,0,0,18,37,34,36
7397,somalia,128,yemen,28,0,0,0,0,0,5883,13285
7448,south sudan,129,chad,136,0,0,0,0,5327,5184,5315
7449,south sudan,129,congo,137,0,0,0,0,60795,87755,93982
7450,south sudan,129,egypt,142,0,0,0,0,5243,5145,5275
7451,south sudan,129,eritrea,119,0,0,0,0,3372,3318,3402
7452,south sudan,129,ethiopia,120,0,0,0,0,8509,12786,13110
7453,south sudan,129,india,5,0,0,0,0,1364,1414,1449
7454,south sudan,129,kenya,121,0,0,0,0,9298,9558,9800
7455,south sudan,129,libya,143,0,0,0,0,162,153,156
7456,south sudan,129,mali,160,0,0,0,0,178,203,208
7457,south sudan,129,nigeria,162,0,0,0,0,3467,3537,3626
7458,south sudan,129,sudan,145,0,0,0,0,0,562381,587668
7459,south sudan,129,uganda,130,0,0,0,0,125406,145607,151003
7509,uganda,130,algeria,141,35,33,0,0,0,0,0
7510,uganda,130,bangladesh,3,49,46,131,126,133,126,117
7511,uganda,130,belgium,67,44,41,40,38,38,38,35
7512,uganda,130,burundi,116,48841,46279,14278,15440,20352,44379,50652
7514,uganda,130,china,172,137,129,374,362,364,366,341
7515,uganda,130,congo,137,65659,73273,84966,93208,159519,286214,397638
7516,uganda,130,cuba,81,144,136,17,16,16,16,15
7517,uganda,130,denmark,39,170,161,160,154,154,154,143
7518,uganda,130,ethiopia,120,162,175,291,337,1900,2507,3009
7519,uganda,130,eritrea,119,0,0,39,143,5923,9250,14499
7520,uganda,130,france,68,241,228,228,220,221,222,207
7521,uganda,130,gambia,155,29,27,0,0,0,0,0
7522,uganda,130,germany,69,226,214,214,207,208,209,194
7523,uganda,130,ghana,156,29,27,0,0,0,0,0
7524,uganda,130,greece,56,40,37,37,35,36,35,32
7525,uganda,130,hungary,32,10,9,9,8,8,8,7
7526,uganda,130,india,5,1313,1244,3591,3476,3497,3520,3277
7527,uganda,130,italy,57,390,369,370,358,360,362,337
7529,uganda,130,japan,177,68,64,187,181,182,183,170
7530,uganda,130,kenya,121,32265,30640,37371,36105,38271,38254,34241
7531,uganda,130,north korea,176,51,48,136,131,131,131,121
7533,uganda,130,libya,143,49,46,1,0,0,0,0
7534,uganda,130,malawi,123,184,174,7,6,6,6,5
7535,uganda,130,mauritania,161,39,36,0,0,0,0,0
7536,uganda,130,mozambique,125,226,214,27,26,26,26,24
7537,uganda,130,netherlands,73,208,197,196,189,190,191,178
7538,uganda,130,nigeria,162,115,108,4,3,3,3,2
7539,uganda,130,norway,48,9,8,8,7,7,7,6
7540,uganda,130,pakistan,9,216,204,594,572,630,1004,995
7541,uganda,130,russia,36,295,279,279,270,271,272,253
7542,uganda,130,rwanda,126,214634,131974,70387,75091,70951,72393,65676
7543,uganda,130,senegal,164,58,54,1,0,0,0,0
7544,uganda,130,somalia,128,378,1007,1384,2387,17425,35224,37960
7545,uganda,130,zimbabwe,133,84,79,3,2,2,2,1
7546,uganda,130,spain,65,59,55,55,53,53,53,49
7547,uganda,130,south sudan,129,0,0,0,0,0,262321,1022433
7548,uganda,130,sudan,145,124116,268735,341554,337681,145366,66853,62670
7549,uganda,130,sweden,49,29,27,26,25,25,25,23
7550,uganda,130,togo,166,105,99,4,3,3,3,2
7551,uganda,130,egypt,142,44,41,1,0,0,0,0
7552,uganda,130,united kingdom,50,1034,979,1096,1061,1067,1072,998
7553,uganda,130,"tanzania, united republic of",131,31528,29873,22351,21648,21802,21916,20438
7555,uganda,130,zambia,132,194,183,7,6,6,6,5
7605,"tanzania, united republic of",131,angola,134,717,958,1018,1153,1186,1249,1115
7606,"tanzania, united republic of",131,botswana,147,80,108,116,132,136,141,125
7607,"tanzania, united republic of",131,burundi,116,232210,310644,628609,461225,111256,175325,222115
7609,"tanzania, united republic of",131,comoros,117,343,458,487,551,567,596,533
7610,"tanzania, united republic of",131,congo,137,15007,22000,23123,23777,24354,25017,22287
7611,"tanzania, united republic of",131,congo,137,19354,21834,112286,150345,62386,59508,70736
7612,"tanzania, united republic of",131,germany,69,605,769,810,901,924,967,861
7613,"tanzania, united republic of",131,india,5,4968,6308,6642,7198,7629,8010,7135
7614,"tanzania, united republic of",131,italy,57,360,457,482,536,550,575,511
7615,"tanzania, united republic of",131,kenya,121,33613,31740,30272,29010,27864,27247,24274
7616,"tanzania, united republic of",131,lesotho,149,79,106,113,134,140,149,132
7617,"tanzania, united republic of",131,malawi,123,7218,7121,7098,7048,7011,6907,6153
7618,"tanzania, united republic of",131,mauritius,124,113,151,161,181,187,192,170
7619,"tanzania, united republic of",131,mozambique,125,144353,57995,46739,36267,28177,14651,13052
7620,"tanzania, united republic of",131,namibia,150,370,494,526,571,613,644,573
7621,"tanzania, united republic of",131,pakistan,9,407,517,545,617,635,668,595
7622,"tanzania, united republic of",131,rwanda,126,68609,600656,49366,13231,5246,581,517
7623,"tanzania, united republic of",131,seychelles,127,214,286,305,345,355,374,332
7624,"tanzania, united republic of",131,somalia,128,467,4247,3655,3424,2273,2967,2642
7625,"tanzania, united republic of",131,south africa,115,409,547,582,659,678,712,633
7626,"tanzania, united republic of",131,eswatini,148,51,69,74,83,86,88,77
7627,"tanzania, united republic of",131,uganda,130,19706,15546,12286,9484,6938,4857,4326
7628,"tanzania, united republic of",131,united kingdom,50,682,866,912,1015,1040,1061,944
7630,"tanzania, united republic of",131,zambia,132,18188,14501,13584,11845,10265,8573,7637
7631,"tanzania, united republic of",131,zimbabwe,133,488,652,693,753,809,852,759
7681,zambia,132,angola,134,123807,141001,238248,98687,37306,27864,31424
7683,zambia,132,botswana,147,469,228,111,319,918,808,1130
7684,zambia,132,burundi,116,0,271,1796,3825,3243,4856,7018
7685,zambia,132,cameroon,135,10,13,18,66,243,214,299
7687,zambia,132,china,172,100,128,166,408,1007,887,1241
7688,zambia,132,congo,137,116,456,4330,5632,8481,7471,10460
7689,zambia,132,congo,137,27297,31525,58237,73742,20933,26440,50661
7690,zambia,132,france,68,65,59,55,62,70,61,84
7691,zambia,132,germany,69,311,220,157,209,279,245,341
7692,zambia,132,ghana,156,484,283,166,170,175,154,214
7693,zambia,132,india,5,4284,3854,3468,4007,4630,4078,5709
7694,zambia,132,japan,177,146,137,129,113,100,88,123
7695,zambia,132,kenya,121,433,328,249,364,536,472,660
7696,zambia,132,malawi,123,17073,12382,6937,9665,13467,10363,13422
7697,zambia,132,mali,160,220,206,194,205,217,191,267
7698,zambia,132,mozambique,125,41455,3127,545,842,1301,1146,1603
7699,zambia,132,namibia,150,2360,473,101,251,630,554,774
7700,zambia,132,nigeria,162,160,148,138,263,508,447,625
7701,zambia,132,rwanda,126,0,2285,5662,6873,7462,6573,9202
7702,zambia,132,senegal,164,115,138,166,153,142,125,175
7703,zambia,132,south africa,115,6328,2660,1535,2170,3072,2706,3788
7704,zambia,132,zimbabwe,133,34829,23707,9056,12444,17226,13175,16816
7705,zambia,132,uganda,130,349,359,370,355,456,401,559
7706,zambia,132,egypt,142,235,139,83,116,164,144,200
7707,zambia,132,united kingdom,50,1987,1434,1036,1154,1286,1132,1584
7708,zambia,132,"tanzania, united republic of",131,6930,6172,4322,5057,5918,4726,6617
7759,zimbabwe,133,botswana,147,2945,2924,4012,4134,3705,3725,3865
7760,zimbabwe,133,malawi,123,69618,67945,92989,102211,103681,104247,108491
7761,zimbabwe,133,mozambique,125,482855,266322,197838,145402,117799,118442,122923
7762,zimbabwe,133,south africa,115,11426,15313,17024,19010,18910,19013,19731
7763,zimbabwe,133,united kingdom,50,19136,18132,23747,19394,12174,12243,12705
7764,zimbabwe,133,zambia,132,18966,22815,26337,29759,30373,30538,31692
8097,angola,134,cabo verde,153,3569,4147,4724,6209,7558,8662,9215
8098,angola,134,chad,136,12,14,16,22,27,31,1889
8099,angola,134,congo,137,410,477,543,715,870,997,1059
8100,angola,134,congo,137,12178,14957,17735,24738,31210,75667,90444
8101,angola,134,guinea,157,131,152,173,228,277,9252,18142
8103,angola,134,mozambique,125,97,113,128,169,205,235,248
8104,angola,134,namibia,150,345,401,457,601,732,839,890
8105,angola,134,portugal,61,5298,6156,7014,6772,6384,5867,5292
8106,angola,134,rwanda,126,46,115,183,536,879,1186,1260
8107,angola,134,sao tome and principe,140,3112,3617,4121,5417,6593,6441,6852
8108,angola,134,south africa,115,2437,2832,3226,4241,5162,5917,6295
8109,angola,134,zambia,132,119,139,158,209,254,290,307
8159,cameroon,135,angola,134,0,0,0,2571,2046,2555,2976
8162,cameroon,135,chad,136,95527,88874,82221,70899,49629,33968,27852
8163,cameroon,135,congo,137,0,0,0,2972,2365,2953,3439
8164,cameroon,135,congo,137,0,0,0,4102,3265,4078,4750
8165,cameroon,135,benin,151,0,0,0,2414,1921,2400,2795
8166,cameroon,135,equatorial guinea,138,0,0,0,3377,2688,3357,3911
8167,cameroon,135,france,68,11808,10986,10163,4643,3695,4615,5376
8168,cameroon,135,gabon,139,0,0,0,1061,845,1055,1228
8169,cameroon,135,germany,69,0,0,0,296,236,294,340
8170,cameroon,135,greece,56,0,0,0,193,153,191,220
8171,cameroon,135,guinea,157,0,0,0,4605,3665,4577,5331
8172,cameroon,135,italy,57,0,0,0,511,407,508,590
8173,cameroon,135,liberia,159,0,0,0,4281,3407,4255,4956
8174,cameroon,135,mali,160,0,0,0,8251,6567,8202,9556
8175,cameroon,135,netherlands,73,0,0,0,160,127,159,184
8177,cameroon,135,nigeria,162,105140,97818,90495,101721,82748,131616,169602
8178,cameroon,135,senegal,164,0,0,0,3172,2524,3153,3673
8179,cameroon,135,united kingdom,50,0,0,0,256,204,255,295
8303,chad,136,cameroon,135,30992,33673,36353,25161,29798,30702,35635
8305,chad,136,congo,137,715,777,839,581,688,846,980
8306,chad,136,congo,137,98,200,301,210,248,304,351
8307,chad,136,france,68,886,963,1039,720,853,1048,1216
8308,chad,136,gabon,139,292,318,343,238,282,347,401
8309,chad,136,libya,143,1096,1191,1286,891,1055,1297,1504
8311,chad,136,nigeria,162,14822,16104,17386,2028,2402,6531,13033
8312,chad,136,sudan,145,9529,19071,28613,247573,293205,320988,372594
8362,congo,137,angola,134,10334,18270,31100,15550,31028,41238,40969
8363,congo,137,cameroon,135,3464,4003,5614,3570,8502,11300,11225
8365,congo,137,chad,136,3239,3743,5249,3338,7949,10565,10494
8366,congo,137,china,172,283,327,459,292,695,924,917
8367,congo,137,congo,137,67316,110720,183780,230684,252142,170368,169268
8368,congo,137,cuba,81,164,190,266,169,403,536,531
8369,congo,137,benin,151,4357,5250,7549,7171,11432,15194,15094
8370,congo,137,equatorial guinea,138,485,560,786,500,1190,1582,1570
8371,congo,137,france,68,8574,6041,5127,3260,7765,10320,10251
8372,congo,137,gabon,139,970,1121,1572,1000,2380,3163,3141
8373,congo,137,germany,69,178,205,288,183,436,579,574
8374,congo,137,lebanon,20,358,414,580,369,878,1167,1158
8375,congo,137,mali,160,4678,9493,16851,10715,25520,33918,33696
8376,congo,137,mauritania,161,965,1115,1564,994,2369,3149,3127
8377,congo,137,portugal,61,442,511,716,455,1084,1441,1431
8378,congo,137,russia,36,790,913,1280,814,1938,2576,2558
8379,congo,137,rwanda,126,0,5503,12480,7936,18900,25119,24955
8380,congo,137,senegal,164,3468,4436,6591,9227,9981,13265,13178
8381,congo,137,togo,166,747,863,1211,770,1834,2437,2419
8432,congo,137,angola,134,468462,276402,325733,262144,259584,181954,177028
8433,congo,137,burundi,116,20203,128458,36692,35973,37626,38377,59145
8435,congo,137,congo,137,3647,5912,9470,9473,1549,6431,6242
8436,congo,137,rwanda,126,22972,1132791,85936,82035,123871,275136,251333
8437,congo,137,south sudan,129,113409,137306,118742,57568,4465,8596,90971
8438,congo,137,sudan,145,15895,15271,16643,16647,2506,5523,5370
8439,congo,137,uganda,130,18418,19780,24177,30118,33,6115,5950
8489,equatorial guinea,138,cameroon,135,202,268,333,486,638,798,957
8490,equatorial guinea,138,france,68,1154,1529,1903,2776,3649,4561,5482
8491,equatorial guinea,138,gabon,139,65,86,107,156,205,256,307
8492,equatorial guinea,138,nigeria,162,91,121,150,219,287,359,430
8493,equatorial guinea,138,sao tome and principe,140,378,501,623,909,1194,1493,1794
8494,equatorial guinea,138,spain,65,324,429,534,779,1023,1279,1536
8544,gabon,139,algeria,141,34,45,57,62,72,100,108
8545,gabon,139,angola,134,342,457,572,624,723,1011,1111
8546,gabon,139,belgium,67,154,206,258,282,327,457,501
8547,gabon,139,burundi,116,52,69,87,95,109,153,166
8548,gabon,139,cameroon,135,15661,20944,26199,28544,33089,46269,50906
8550,gabon,139,chad,136,1398,1870,2339,2550,2955,4132,4543
8551,gabon,139,china,172,107,143,179,195,226,316,344
8552,gabon,139,congo,137,5045,6747,8440,9393,10660,14905,16396
8553,gabon,139,congo,137,2754,3683,4607,5019,5818,8135,8949
8554,gabon,139,benin,151,16141,21584,26999,29417,34101,47682,52460
8555,gabon,139,equatorial guinea,138,26892,35966,44984,49009,56815,79434,87411
8556,gabon,139,france,68,4969,6645,8312,9056,10497,14678,16146
8557,gabon,139,germany,69,27,36,46,50,57,80,86
8558,gabon,139,ghana,156,1968,2631,3291,3586,4156,5811,6392
8559,gabon,139,guinea,157,1539,2058,2574,2805,3251,4546,4999
8560,gabon,139,israel,17,5,6,7,8,11,15,14
8562,gabon,139,japan,177,10,13,16,18,21,29,29
8563,gabon,139,north korea,176,50,67,83,90,105,146,158
8565,gabon,139,lebanon,20,773,1034,1293,1409,1633,2284,2511
8566,gabon,139,mali,160,17055,22807,28529,31083,36033,50384,55434
8567,gabon,139,morocco,144,221,295,369,402,467,653,717
8568,gabon,139,nigeria,162,7392,9887,12367,13475,15619,21840,24029
8569,gabon,139,rwanda,126,65,87,108,119,137,191,209
8570,gabon,139,sao tome and principe,140,2012,2690,3366,3667,4251,5944,6539
8571,gabon,139,senegal,164,9431,12612,15776,17189,19925,27861,30652
8572,gabon,139,south africa,115,4,5,7,7,8,12,11
8573,gabon,139,syrian,25,9,12,15,16,18,26,27
8574,gabon,139,togo,166,7116,9517,11905,12971,15035,21023,23129
8575,gabon,139,tunisia,146,69,93,116,126,146,204,223
8577,gabon,139,burkina faso,152,2161,2891,3616,3940,4567,6386,7024
8627,sao tome and principe,140,angola,134,468,556,654,514,404,358,319
8628,sao tome and principe,140,cabo verde,153,4250,3343,2488,1956,1538,1363,1220
8629,sao tome and principe,140,equatorial guinea,138,305,286,268,210,165,146,129
8630,sao tome and principe,140,gabon,139,11,221,436,342,268,237,210
8631,sao tome and principe,140,mozambique,125,243,228,213,167,131,116,102
8632,sao tome and principe,140,portugal,61,206,212,218,171,134,118,104
8965,algeria,141,france,68,2086,1321,556,439,482,523,543
8967,algeria,141,germany,69,6544,3661,778,615,675,733,761
8969,algeria,141,iraq,16,918,4249,7579,5992,6584,7156,7441
8970,algeria,141,italy,57,3143,1942,740,585,642,698,725
8971,algeria,141,jordan,18,2286,2272,2258,1785,1961,2132,2216
8972,algeria,141,kuwait,19,1420,1308,1196,946,1039,1129,1172
8973,algeria,141,lebanon,20,1564,1395,1225,968,1063,1155,1199
8974,algeria,141,libya,143,1982,2154,2325,1838,2019,2195,2281
8976,algeria,141,russia,36,6287,3545,802,634,696,757,785
8977,algeria,141,saudi arabia,23,3068,3497,3926,3103,3409,3706,3852
8978,algeria,141,somalia,128,926,6248,11570,9147,10050,10923,11361
8979,algeria,141,sudan,145,9127,5362,1597,1262,1386,1506,1566
8981,algeria,141,syrian,25,3550,3312,3073,2429,2669,6211,7757
8982,algeria,141,united kingdom,50,2060,1430,800,632,694,754,782
8984,algeria,141,yemen,28,2593,2480,2366,1870,2054,2232,2320
9034,egypt,142,afghanistan,2,237,188,154,183,198,135,210
9035,egypt,142,albania,51,111,96,88,105,113,77,119
9036,egypt,142,algeria,141,543,573,648,771,830,569,889
9037,egypt,142,angola,134,23,21,21,25,27,19,28
9038,egypt,142,antigua and barbuda,76,14,13,13,15,16,11,15
9039,egypt,142,azerbaijan,12,24,23,24,29,31,21,31
9040,egypt,142,argentina,103,322,243,183,218,235,161,251
9042,egypt,142,austria,66,716,557,442,526,567,389,607
9043,egypt,142,bahamas,78,11,11,11,13,14,10,14
9044,egypt,142,bahrain,13,382,325,294,350,377,259,404
9045,egypt,142,bangladesh,3,112,143,186,221,239,164,255
9046,egypt,142,armenia,11,179,143,118,140,151,103,160
9047,egypt,142,belgium,67,672,521,411,489,527,362,564
9048,egypt,142,bosnia and herzegovina,53,23,33,46,55,59,40,61
9049,egypt,142,brazil,105,137,112,96,114,123,85,130
9051,egypt,142,bulgaria,30,71,58,50,60,65,45,68
9053,egypt,142,burundi,116,47,36,27,32,35,24,35
9054,egypt,142,belarus,29,246,216,204,243,262,180,279
9055,egypt,142,cameroon,135,135,109,92,110,119,82,126
9058,egypt,142,sri lanka,10,249,199,164,195,210,144,222
9059,egypt,142,chad,136,305,264,244,290,312,215,334
9060,egypt,142,chile,106,21,20,20,24,26,18,27
9061,egypt,142,china,172,479,501,562,669,720,495,771
9062,egypt,142,colombia,107,65,52,43,51,55,37,57
9063,egypt,142,comoros,117,431,527,664,791,852,585,913
9064,egypt,142,congo,137,26,39,55,65,70,48,72
9065,egypt,142,congo,137,99,94,96,114,123,85,130
9066,egypt,142,croatia,54,124,96,76,90,97,66,102
9067,egypt,142,cyprus,14,98,77,63,75,81,56,86
9068,egypt,142,czechia,31,250,191,148,176,190,130,201
9069,egypt,142,benin,151,46,35,27,32,35,24,35
9070,egypt,142,denmark,39,279,240,221,263,284,194,302
9071,egypt,142,ecuador,108,9,9,9,11,12,8,11
9072,egypt,142,el salvador,97,160,151,155,185,200,137,212
9073,egypt,142,ethiopia,120,567,503,478,569,612,6931,16256
9074,egypt,142,eritrea,119,358,359,388,462,1559,3836,18232
9075,egypt,142,estonia,40,14,16,19,23,25,17,25
9076,egypt,142,finland,42,189,178,182,217,234,160,249
9077,egypt,142,france,68,3089,2490,2089,2487,2675,1838,2874
9078,egypt,142,djibouti,118,243,247,271,323,348,239,371
9079,egypt,142,gambia,155,36,28,22,26,28,19,28
9081,egypt,142,germany,69,9692,7378,5649,6725,7234,4970,7771
9082,egypt,142,ghana,156,214,186,172,205,221,151,234
9083,egypt,142,gibraltar,55,7,7,7,8,9,6,8
9084,egypt,142,greece,56,1306,1077,934,1112,1196,822,1284
9085,egypt,142,guatemala,98,7,7,7,8,9,6,8
9086,egypt,142,guinea,157,182,138,105,125,135,93,143
9087,egypt,142,hungary,32,123,106,98,117,126,86,133
