"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
poland,616,482176,404049,338323,297039,262263,256623,390449
republic of moldova,498,238053,155297,101097,67924,52198,43467,42743
romania,642,57601,60443,63121,70153,87667,146758,386946
russian federation,643,5655422,5925452,5982851,5806597,5514401,5715211,5712089
slovakia,703,18187,30531,51253,58716,66938,89011,100551
ukraine,804,2953603,2644845,2368364,2168060,2072474,2113924,2149298
northern europe,924,3176421,3404174,3711179,4564413,5447856,6347909,7257061
channel islands,830,29005,28468,30234,33611,36982,39338,40190
denmark,208,114411,147194,179977,213097,242029,291431,354476
estonia,233,171691,136268,100844,94244,87644,80024,86767
faroe islands,234,2440,1575,1921,2450,2700,2783,3542
finland,246,31682,49575,67469,96429,115105,159315,198822
iceland,352,4248,5727,7207,12413,17619,19070,35716
ireland,372,112093,108084,172959,309910,360440,376338,434756
isle of man,833,16371,17548,18725,20214,21361,20596,20987
latvia,428,290800,234216,177632,154745,124675,104011,97022
lithuania,440,164585,128641,100546,94189,69606,57508,73148
norway,578,99562,117222,144826,176444,267235,389370,439206
sweden,752,383085,450945,480211,538490,648004,786870,1008006
united kingdom,826,1756448,1978711,2228628,2818177,3454456,4021255,4464423
southern europe,925,2062991,2959579,3688926,5851155,7876651,7427084,8355064
albania,8,30579,33284,35990,32993,26901,26517,24908
andorra,20,20990,23588,22093,26466,27287,21485,23333
bosnia and herzegovina,70,26538,33115,39691,22481,18581,18412,16880
croatia,191,222531,315733,274823,271645,268466,260473,245564
gibraltar,292,4528,4196,3865,4518,5171,5591,5656
greece,300,330038,445004,559794,587677,640731,570529,642639
holy see,336,376,379,379,381,375,376,372
italy,380,642414,809553,976691,1820290,2663889,2637798,2965914
malta,470,7012,8366,10289,11899,17118,28332,66055
montenegro,499,0,0,0,0,31639,28178,27995
north macedonia,807,39661,45581,52385,53220,54067,54496,54740
portugal,620,209922,259337,320319,376774,371536,398390,479936
san marino,674,1728,1940,2175,2302,2761,2867,2991
serbia,688,46712,390134,437602,383088,364757,355180,362493
slovenia,705,89514,90255,114772,116741,145138,134460,162815
spain,724,390448,499114,838058,2140680,3238234,2884000,3272773
western europe,926,8680276,9536164,10405929,10997423,11726545,12637122,16388659
austria,40,368287,423302,478318,538924,607191,714537,848395
belgium,56,654543,651788,636275,620924,726881,869989,984117
france,250,2999376,3046083,3092789,3300859,3554527,3808573,4130737
