Unnamed: 0,"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020,latitude,longitude
133,gibraltar,292,8709,8381,8054,9211,10369,11065,11190,54.7023545,-3.2765753
134,greece,300,618139,857850,1111665,1190707,1321149,1242924,1340456,41.000028,19.9999619
135,holy see,336,762,778,790,798,783,790,809,42.5407167,1.5732033
136,italy,380,1428219,1774954,2121688,3954790,5787893,5805328,6386998,44.3053476,17.5961467
137,malta,470,15077,17740,21521,24560,33008,52642,114760,45.3658443,15.6575209
138,montenegro,499,0,0,0,0,78512,71719,70999,36.1285933,-5.3474761
139,north macedonia,807,95142,109343,125665,127667,129701,130730,131311,38.9953683,21.9877132
140,portugal,620,435782,532822,651472,771184,762825,864814,1001963,38.9247244,-77.06572732690151
141,san marino,674,3310,3659,4045,4218,4880,5195,5543,42.6384261,12.674297
142,serbia,688,99269,870980,977873,854848,826275,807441,823011,35.8885993,14.4476911
143,slovenia,705,178077,174419,214508,217218,253786,237616,277964,42.9868853,19.5180992
144,spain,724,821605,1020067,1657285,4107226,6280062,5891208,6842202,41.6171214,21.7168387
145,austria,40,793239,894893,996547,1127164,1274901,1483123,1738183,39.6621648,-8.1353519
146,belgium,56,1280583,1288003,1268368,1248733,1503806,1783488,2005479,43.9458623,12.458306
147,france,250,5897267,6087993,6278718,6737600,7309986,7878338,8524876,44.1534121,20.55144
148,germany,276,5936181,7464406,8992631,9402447,9812263,10220418,15762457,46.1199444,14.8153333
149,liechtenstein,438,10906,13311,15483,18898,22342,23799,25877,39.3260685,-4.8379791
150,luxembourg,442,113795,126106,139750,150618,163142,248888,298062,47.59397,14.12456
151,monaco,492,20359,21060,21787,21312,21132,25983,26601,50.6402809,4.6667145
152,netherlands,528,1182263,1346164,1556337,1736127,1832510,1996318,2358333,46.603354,1.8883335
153,switzerland,756,1392282,1478829,1570756,1805437,2075182,2258196,2491249,51.1638175,10.4478313
154,anguilla,660,2570,3317,4063,4684,5103,5471,5715,47.1416307,9.5531527
155,antigua and barbuda,28,12029,17550,23071,24741,26412,28082,29386,49.8158683,6.1296751
156,aruba,533,14444,22274,30104,32540,34328,36114,53593,43.7323492,7.4276832
157,bahamas,44,26855,31654,36454,45531,54745,59241,63583,52.2434979,5.6343227
158,barbados,52,24024,26224,28424,30624,32825,34475,34869,46.7985624,8.2319736
159,bonaire sint eustatius and saba,535,13010,15101,14387,14399,20941,24571,26221,18.1954947,-63.0750234
160,british virgin islands,92,8035,10046,12958,15016,17076,19535,22164,17.2234721,-61.9554608
161,cayman islands,136,9315,12666,19176,20679,24062,26193,29242,12.51756625,-69.98186415210564
162,cuba,192,34555,26187,18545,11693,7373,4649,3024,24.7736546,-78.0000547
163,curacao,531,0,0,0,0,34630,37611,57210,13.1500331,-59.5250305
164,dominica,212,2519,3121,3723,4744,8110,8093,8284,17.56187,-63.138004249640304
165,dominican republic,214,291151,323381,355611,375417,395479,549289,603794,18.4024395,-64.5661642
166,grenada,308,4263,5544,6825,6902,6980,7057,7213,19.70318225,-79.9174627243246
167,guadeloupe,312,65944,74566,83188,89065,94942,90956,90206,23.0131338,-80.8328748
168,haiti,332,19084,18129,17222,16360,17182,18047,18884,,
169,jamaica,388,20475,22713,24952,24284,23677,23165,23629,23.0131338,-80.8328748
170,martinique,474,38705,46599,54492,57034,59575,69174,68624,19.0974031,-70.3028026
171,montserrat,500,2013,1612,1211,1244,1291,1351,1379,19.0974031,-70.3028026
172,puerto rico,630,321909,338067,355038,352144,304969,280494,247132,12.1360374,-61.6904045
173,saint kitts and nevis,659,3210,4248,5871,6682,7245,7443,7725,16.2528827,-61.5686855
174,saint lucia,662,5305,7155,9871,9839,9050,8673,8338,19.1399952,-72.3570972
175,saint vincent and the grenadines,670,3970,4135,4307,4436,4569,4637,4738,18.1850507,-77.3947693
176,sint maarten dutch part,534,0,0,0,13099,26203,27295,28845,14.6367927,-61.01582685063731
177,trinidad and tobago,780,50666,45994,41753,44812,48226,50021,78849,16.7417041,-62.1916844
178,turks and caicos islands,796,5062,7039,9015,13115,17216,22723,25748,18.2247706,-66.4858295
179,united states virgin islands,850,51970,54241,56611,56647,56684,56721,56753,17.250512,-62.6725973
180,belize,84,30404,33446,36488,41438,46390,54615,62043,13.8250489,-60.975036
181,costa rica,188,417628,364287,310946,358398,405779,411697,520729,12.90447,-61.2765569
182,el salvador,222,47360,39537,31713,36029,40342,42059,42767,,
183,guatemala,320,264257,156188,48119,57214,66386,74852,84311,12.90447,-61.2765569
184,honduras,340,270423,149442,28461,27934,27288,38330,39195,10.7466905,-61.0840075
185,mexico,484,695674,458549,538051,712648,969710,1013691,1197624,21.721746,-71.5527809
186,nicaragua,558,41421,26619,30389,34919,37345,40261,42167,17.789187,-64.7080574
187,panama,591,62744,70848,83410,109461,157788,184710,313165,16.8259793,-88.7600927
188,argentina,32,1649919,1595069,1540219,1674163,1805957,2086301,2281728,10.2735633,-84.0739102
189,bolivia plurinational state of,68,73758,83598,92658,107745,122846,143008,164121,13.8000382,-88.9140683
190,brazil,76,798517,741557,684596,638582,592640,710304,1079708,15.5855545,-90.345759
191,chile,152,107501,142417,177332,276360,375388,639724,1645015,15.2572432,-86.0755145
192,colombia,170,104277,106943,109609,106523,130309,159407,1905393,23.6585116,-102.0077097
193,ecuador,218,78663,115093,151523,189893,375253,387513,784787,12.6090157,-85.2936911
194,falkland islands malvinas,238,855,868,1067,1166,1436,1571,1957,8.559559,-81.1308434
195,french guiana,254,63612,70131,76649,86468,96288,106108,119249,-34.9964963,-64.9672817
196,guyana,328,4095,6352,8610,10868,8182,8661,31169,-17.0568696,-64.9912286
197,paraguay,600,195884,186570,176608,168243,160299,156462,169567,-10.3333333,-53.2
198,peru,604,56688,56732,66300,77877,104706,154774,1224519,-31.7613365,-71.3187697
199,suriname,740,18083,22320,27506,33662,39713,43127,47801,4.099917,-72.9088133
200,uruguay,858,98116,93428,88874,82317,76303,78799,108267,-1.3397668,-79.3666965
201,venezuela bolivarian republic of,862,1025009,1019996,1013738,1076474,1347347,1404448,1324193,-51.9492937,-59.5383657
202,bermuda,60,15683,16676,17684,18108,18547,19212,19739,4.0039882,-52.999998
203,canada,124,4333318,4864778,5511914,6078985,6761226,7428657,8049323,4.8417097,-58.6416891
204,greenland,304,9282,7121,6601,6556,6091,6009,5899,-23.3165935,-58.1693445
205,saint pierre and miquelon,666,1099,1320,1458,1147,1017,986,998,-6.8699697,-75.0458515
206,united states of america,840,23251026,28451053,34814053,39258293,44183643,48178877,50632836,4.1413025,-56.0771187
207,australia,36,3955213,4153330,4386250,4878030,5882980,6729730,7685860,-32.8755548,-56.0201525
208,new zealand,554,518047,588617,678813,839952,947443,1039736,1381724,8.0018709,-66.1109318
209,fiji,242,13283,13001,12719,12434,13357,13751,14087,32.30382,-64.7561647
210,new caledonia,540,37673,43662,49651,55405,61158,68881,73141,61.0666922,-107.991707
211,papua new guinea,598,33710,33526,26304,29971,30425,30940,31068,77.6192349,-42.8125967
212,solomon islands,90,4226,4178,3981,3271,2760,2585,2520,46.7832469,-56.195158907484085
213,vanuatu,548,2308,2461,2626,2800,2991,3186,3257,39.7837304,-100.445882
214,guam,316,69755,71912,74070,74743,75416,76089,80472,-24.7761086,134.755
215,kiribati,296,2162,2223,2283,2487,2868,2919,3126,-41.5000831,172.8344077
216,marshall islands,584,1158,1480,1891,2417,3089,3284,3298,-18.1239696,179.0122737
217,micronesia fed states of,583,3685,3342,3116,2905,2806,2756,2832,-21.3019905,165.4880773
218,nauru,520,2815,2605,2394,2253,906,1833,2201,-5.6816069,144.2489081
219,northern mariana islands,580,26593,32376,40122,37542,24168,21648,21843,-8.7053941,159.1070693851845
220,palau,585,2801,4749,6310,6043,5490,4937,5088,-16.5255069,168.1069154
221,american samoa,16,21283,23098,24912,24233,23555,23513,23608,13.4501257,144.75755102972062
222,cook islands,184,2587,2686,2785,3277,3769,4168,4579,0.3448612,173.6641773
223,french polynesia,258,25830,28360,30329,32286,31640,30058,30081,8.9995549,168.0002575
224,niue,570,461,480,498,522,589,588,588,,
225,samoa,882,3357,4694,5998,5746,5122,4255,4021,8.9995549,168.0002575
226,tokelau,772,360,506,712,1003,1128,1185,1238,-0.5252306,166.9324426
227,tonga,776,2911,3274,3684,4301,4607,3954,3742,15.1753648,145.7379338
228,tuvalu,798,318,263,218,209,220,230,239,5.3783537,132.9102573
229,wallis and futuna islands,876,1402,1704,2015,2191,2111,2050,2040,-14.297124,-170.7131481
