,"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
124,   armenia,51,462865,445500,407161,413006,423195,437377,444753
125,   azerbaijan*,31,866252,869156,783663,698481,542471,523618,540522
126,   bahrain,48,6699,12761,23154,24744,24508,26899,34499
127,   cyprus*,196,83641,79801,77150,77589,81662,87476,90196
128,   georgia*,268,472938,472450,464405,431644,400032,417601,432283
129,   iraq,368,299805,341236,358949,594383,1189310,765391,1039966
130,   israel,376,141360,146152,152119,156134,162001,161427,173478
131,   jordan,400,126435,133451,142161,163515,216929,257767,297955
132,   kuwait,414,36364,41523,47091,52905,68972,76756,82657
133,   lebanon,422,216044,229081,243419,256466,285702,309513,349915
134,   oman,512,6073,6616,7385,8822,9587,10830,11525
135,   qatar,634,6157,6612,7191,8216,9961,11672,12560
136,   saudi arabia,682,49361,56707,63783,73279,89356,128594,134085
137,   state of palestine*,275,924577,1145310,1367273,1591225,1734148,1801423,1910537
138,   syrian arab republic,760,265703,282104,299834,329037,409961,2783809,3587239
139,   turkey,792,1163269,1301075,1322241,1203110,1276181,1486124,1645382
140,   united arab emirates,784,34828,40513,44856,56056,71725,83924,95759
141,   yemen,887,165179,173379,185576,216846,285154,374614,453864
142, europe,908,25291380,25819829,26480131,27275792,29202848,30208426,33524765
143,  eastern europe,923,13550943,13311350,13245256,14131109,15231736,15957749,17726223
144,   belarus,112,952053,956274,949780,897958,842096,846213,853608
145,   bulgaria,100,312610,336473,362178,481022,594303,682905,990218
146,   czechia,203,292321,330447,398727,415468,443525,466490,589880
147,   hungary,348,195024,202745,210376,237793,263606,308364,361925
148,   poland,616,910509,983415,1165386,1576286,1983194,2192921,2526101
149,   republic of moldova*,498,335071,322162,303506,373243,443564,498893,605123
150,   romania,642,435063,517245,596353,1118982,1782593,1852905,2113078
151,   russian federation,643,7140383,6603260,6154881,5877921,5745803,5730731,6101676
152,   slovakia,703,67062,96414,126295,143309,141376,190282,224087
153,   ukraine*,804,2910847,2962915,2977774,3009127,2991676,3188045,3360527
154,  northern europe,924,3268068,3256622,3368586,3525477,3735453,3785938,4064189
155,   channel islands*,830,9971,8149,6509,7648,7955,8177,8322
156,   denmark*,208,110006,113046,117416,118135,122053,124942,134925
157,   estonia,233,59566,69065,76764,82277,84981,104996,115194
158,   faroe islands*,234,4529,5890,7174,7284,7175,7671,7416
159,   finland*,246,148777,172506,190093,179283,176322,173429,188091
160,   iceland,352,8984,10999,13409,14509,16294,18658,22078
161,   ireland,372,503978,478208,459095,427536,401456,401855,392710
162,   isle of man*,833,5637,4640,3702,4317,4499,5395,6216
163,   latvia,428,115153,123578,129680,149109,155499,203923,207415
164,   lithuania,440,188405,191627,196986,232639,292620,311388,369405
165,   norway*,578,78517,85771,92802,96735,99636,103310,108603
166,   sweden,752,118537,128615,144107,149018,162409,166428,180043
167,   united kingdom*,826,1916008,1864528,1930849,2056987,2204554,2155766,2323771
168,  southern europe,925,5197043,5861724,6263391,5715861,5883409,6040661,6907532
169,   albania,8,70790,219100,369669,448663,537028,566624,607825
170,   andorra,20,2003,2203,2928,2986,4061,4540,5830
171,   bosnia and herzegovina,70,434393,703806,764681,774336,812913,830280,866907
172,   croatia,191,211435,372266,471348,439882,436936,430492,543993
173,   gibraltar*,292,6319,5241,4277,4900,5067,6150,6955
174,   greece,300,488712,483622,476519,417424,381138,398946,521466
175,   holy see*,336,5,9,13,56,99,195,103
176,   italy,380,1611594,1543857,1476637,1285240,1229031,1262079,1501829
177,   malta,470,54248,54315,52558,50426,49898,46357,51109
178,   montenegro,499,38565,74123,98048,77681,81013,72700,71418
179,   north macedonia,807,215073,246158,265195,228915,266909,272076,336157
180,   portugal,620,907691,934396,972069,843650,940021,961374,1007321
181,   san marino,674,845,1324,1801,1609,1402,2419,1421
182,   serbia*,688,348680,433194,539023,469414,472167,420550,506398
183,   slovenia,705,51491,61115,66454,66597,68512,75365,86810
184,   spain*,724,755199,726995,702171,604082,597214,690514,791990
185,  western europe,926,3275326,3390133,3602898,3903345,4352250,4424078,4826821
186,   austria,40,270895,262083,255157,265861,285630,281367,319417
187,   belgium,56,207488,213358,226130,235051,265980,271837,300709
188,   france*,250,643356,707904,806762,892023,1013530,1095545,1202799
189,   germany,276,1588365,1632010,1714751,1813302,1976971,1940952,2070781
190,   liechtenstein,438,1979,1714,1486,1628,2024,1971,2051
191,   luxembourg,442,17566,18635,19771,26492,33159,36644,41297
192,   monaco,492,2220,2396,2594,9523,13860,15402,17079
193,   netherlands*,528,363077,365604,375171,392663,426811,431463,485664
194,   switzerland,756,180380,186429,201076,266802,334285,348897,387024
195, latin america and the caribbean,904,7728710,9943541,12446161,14842839,17780032,18623861,22193206
196,  caribbean,915,2166251,2688569,3237341,3527306,3998568,4332390,4825805
197,   anguilla*,660,879,1050,1232,1205,1114,1203,1212
198,   antigua and barbuda,28,11726,14771,17926,19818,22679,28397,36613
199,   aruba*,533,3281,3739,4267,5252,7644,9364,12130
200,   bahamas,44,14531,16996,19564,19672,20602,24850,31464
201,   barbados,52,44666,47189,50006,49024,51175,54727,53705
202,"   bonaire, sint eustatius and saba*",535,219,266,321,375,3915,4048,4491
203,   british virgin islands*,92,1754,1906,2080,2232,2748,2873,3012
204,   cayman islands*,136,169,431,719,700,746,913,1045
205,   cuba,192,436142,488522,548199,606844,696683,803437,934594
206,   curaçao*,531,1079,1439,1894,2291,24319,3098,3811
207,   dominica,212,21987,23811,25891,35265,42298,42143,45735
208,   dominican republic,214,261853,383156,513415,583494,687672,846122,944161
209,   grenada,308,23638,29549,34908,35788,36025,39030,34632
210,   guadeloupe*,312,3207,3855,4515,5249,6386,7319,7589
211,   haiti,332,232024,299506,368789,452240,535446,673693,804775
212,   jamaica,388,320505,393961,472377,502343,562743,591249,643909
213,   martinique*,474,5429,6458,7521,7703,7881,7159,7340
214,   montserrat*,500,3815,6393,9049,8720,9534,11273,13902
215,   puerto rico*,630,625666,768026,911887,929213,994146,874206,944847
216,   saint barthélemy*,652,0,0,0,0,0,0,0
217,   saint kitts and nevis,659,9916,13196,16558,18038,19675,22097,27926
218,   saint lucia,662,11949,16850,21885,26404,28946,33738,41595
219,   saint martin (french part)*,663,0,0,0,0,0,0,0
220,   saint vincent and the grenadines,670,19121,23424,27328,28982,29485,33230,29757
221,   sint maarten (dutch part)*,534,363,468,595,623,1740,997,1126
222,   trinidad and tobago,780,109869,141374,174387,183603,202083,214059,193142
223,   turks and caicos islands*,796,1304,854,395,665,1248,1418,1553
224,   united states virgin islands*,850,1159,1379,1633,1563,1635,1747,1739
225,  central america,916,3283815,4401982,5751225,6554307,7714953,7851740,7886439
226,   belize,84,21017,24310,27790,29627,33014,36484,30659
227,   costa rica,188,40231,49354,60681,67035,75684,79121,86112
228,   el salvador,222,633376,470099,468858,550417,666884,759434,804890
229,   guatemala,320,172375,227085,284942,361464,461277,560261,691789
230,   honduras,340,89578,140262,193716,253140,337531,424188,584004
231,   mexico,484,2037244,3202402,4389888,4940675,5746825,5565115,5237864
232,   nicaragua,558,221984,221310,256425,285850,322648,350472,379666
233,   panama,591,68010,67160,68925,66099,71090,76665,71455
234,  south america,931,2278644,2852990,3457595,4761226,6066511,6439731,9480962
235,   argentina,32,226575,251701,287155,407751,475461,481017,550257
236,   bolivia (plurinational state of),68,109247,139074,169983,277877,411279,433151,491909
237,   brazil,76,269965,407474,533690,682853,863162,867193,1095206
238,   chile,152,244595,253225,265126,281709,300575,326820,337596
239,   colombia,170,550509,659841,775690,1024586,1376167,1464470,1647831
240,   ecuador,218,108362,166565,228646,507799,596574,592621,596385
241,   falkland islands (malvinas)*,238,116,424,734,628,659,792,882
242,   french guiana*,254,1590,1831,2092,2188,2274,2670,2691
243,   guyana,328,122727,155452,190738,207501,235088,258873,237181
244,   paraguay,600,166268,188819,211965,307266,436806,482486,511676
245,   peru,604,163773,274041,382535,531859,735166,804246,854528
246,   suriname,740,91247,100218,112481,133495,142598,141828,152426
247,   uruguay,858,120987,119425,120223,152545,177129,185978,192259
248,   venezuela (bolivarian republic of),862,102683,134900,176537,243169,313573,397586,2810135
