,"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
33,   Mozambique,508,1202046,485263,391190,410270,512836,348100,385940
34,   Réunion*,638,1571,1257,1057,1068,1083,1087,1189
35,   Rwanda,646,276832,1021474,157926,142456,161713,247155,241187
36,   Seychelles,690,17221,13271,8747,10171,11169,11783,12624
37,   Somalia,706,448851,507818,517690,568870,839805,1040985,1064786
38,   South Sudan,728,266794,233701,190326,124611,209902,543822,1271104
39,   Uganda,800,157865,177878,254464,291881,349440,375951,372735
40,   United Republic of Tanzania*,834,107172,119442,108653,118644,131509,145322,162475
41,   Zambia,894,42598,67736,77129,86976,86152,86165,93621
42,   Zimbabwe,716,105755,148054,181675,255925,382157,602124,641172
43,  Middle Africa,911,958727,933704,1224847,1386182,1495622,1910761,2223566
44,   Angola,24,405465,344763,457876,353459,322362,305926,334386
45,   Cameroon,120,60058,71875,85099,110699,136330,171870,219379
46,   Central African Republic,140,24202,25035,27493,61515,120235,348076,409486
47,   Chad,148,168101,112966,107494,113818,112308,104493,119894
48,   Congo,178,51515,60811,70562,86625,91205,102286,113453
49,   Democratic Republic of the Congo,180,217210,278309,426558,591870,640699,778269,916179
50,   Equatorial Guinea,226,17708,22471,28899,33811,40109,62959,68753
51,   Gabon,266,7732,8323,8985,20471,18065,20636,23205
52,   Sao Tome and Principe,678,6736,9151,11881,13914,14309,16246,18831
53,  Northern Africa,912,3079002,3395672,3738753,4551329,5467735,6230819,6997030
54,   Algeria,12,521302,550210,580303,835802,913853,985595,1085651
55,   Egypt,818,822788,950652,1105517,1184398,1747685,2041623,2341886
56,   Libya,434,40081,40775,42647,53242,67086,81637,101126
57,   Morocco,504,984599,1040375,1134308,1367790,1580278,1575252,1707428
58,   Sudan,729,336126,439826,502757,708617,707467,1013988,1155684
59,   Tunisia,788,281451,281972,282149,329476,361434,434592,502404
60,   Western Sahara,732,92655,91862,91072,72004,89932,98132,102851
61,  Southern Africa,913,350233,333229,373117,456787,610233,545606,628886
62,   Botswana,72,19233,15684,16140,19815,26110,32477,39730
63,   Eswatini,748,25589,19847,19127,24643,37802,22566,24339
64,   Lesotho,426,145910,94102,67211,85462,129955,86078,89567
65,   Namibia,516,9360,14974,24829,32195,48854,25042,23612
66,   South Africa,710,150141,188622,245810,294672,367512,379443,451638
67,  Western Africa,914,2770898,3408627,3481307,4063093,4492453,5100035,5743910
68,   Benin,204,127252,148769,174755,280680,298194,341137,365338
69,   Burkina Faso,854,573295,681370,715933,757585,801969,848841,894339
70,   Cabo Verde,132,42681,50377,59328,66615,70174,76690,85032
71,   Côte d'Ivoire,384,185629,228580,271361,361279,463697,520911,571219
72,   Gambia,270,20808,22147,26237,36960,47865,60472,93414
73,   Ghana,288,187375,215795,251580,355105,404723,466166,529432
74,   Guinea,324,201530,207743,211832,228829,256473,273042,312062
75,   Guinea-Bissau,624,27429,34138,42477,45328,49210,51546,60632
76,   Liberia,430,260639,267590,123295,174000,109053,102946,116235
77,   Mali,466,360541,451780,430246,504937,563350,696316,742057
78,   Mauritania,478,75167,85261,65705,63798,71784,71355,80059
79,   Niger,562,94786,111377,126966,183773,201800,221615,236316
80,   Nigeria,566,255357,302154,352560,440569,535088,682707,877687
81,   Saint Helena*,654,386,887,1468,1319,1510,1731,1981
82,   Senegal,686,230817,221538,241858,286672,344435,368123,430442
83,   Sierra Leone,694,31967,230241,254796,76684,62967,69275,76143
84,   Togo,768,95239,148880,130910,198960,210161,247162,271522
85, ASIA,935,30220434,31337811,34677458,38928847,48356859,57068023,63957509
86,  Central Asia,5500,2757747,2978669,3122316,3372771,3558067,3640447,3807379
87,   Kazakhstan,398,1427481,1557194,1652929,1736321,1778295,1810038,1934708
88,   Kyrgyzstan,417,252637,266043,273034,315925,352824,358754,368266
89,   Tajikistan,762,264425,289709,299119,327743,336574,334196,337393
90,   Turkmenistan,795,127429,119518,109999,112625,112615,113826,115596
91,   Uzbekistan,860,685775,746205,787235,880157,977759,1023633,1051416
92,  Eastern Asia,906,3588473,4108628,4618538,5350635,6119053,6820704,6898164
93,   China*,156,2197565,2555203,2924744,3547044,4094711,4769179,4768512
94,"   China, Hong Kong SAR*",344,270896,303535,337228,377171,439136,490995,516106
95,"   China, Macao SAR*",446,43362,45155,47194,51712,56893,60363,64597
96,"   China, Taiwan Province of China*",158,0,0,0,0,0,0,0
97,   Dem. People's Republic of Korea,408,19056,26480,35986,44079,50274,54930,58162
98,   Japan,392,299099,319455,340803,340784,352600,351281,362930
99,   Mongolia,496,11762,12872,13870,19757,27393,30999,39366
100,   Republic of Korea,410,746733,845928,918713,970088,1098046,1062957,1088491
101,  South-Eastern Asia,920,3826278,4753131,5881894,7136416,9011911,10329729,11903748
102,   Brunei Darussalam,96,15605,21035,27186,26586,26048,26000,25825
103,   Cambodia,116,174749,205878,223794,319678,450385,505718,513004
104,   Indonesia,360,948258,1103287,1344276,1544224,1903542,2272231,2560770
105,   Lao People's Democratic Republic,418,237312,270215,317564,421459,553800,592231,571192
106,   Malaysia*,458,275352,401165,539648,631301,739362,816165,805157
107,   Myanmar,104,376108,494608,656671,960444,1392913,1593428,2323899
108,   Philippines,608,826634,1041934,1307609,1609037,2149714,2533069,2804967
109,   Singapore,702,74549,79794,91193,113294,136184,157614,166831
110,   Thailand,764,121071,155785,197201,230013,282453,348078,423456
111,   Timor-Leste,626,5921,39834,74436,50254,19023,20585,21796
112,   Viet Nam,704,770719,939596,1102316,1230126,1358487,1464610,1686851
113,  Southern Asia,5501,14296925,13063794,14057056,15523113,20886100,24330659,27404198
114,   Afghanistan,4,4133232,2372554,2610780,2282977,2867554,2902913,3226319
115,   Bangladesh,50,3162454,3161768,3192999,3263197,4104883,4505672,4971930
116,   Bhutan,64,13921,59851,61414,61514,46979,26218,26295
117,   India,356,3806446,4113683,4624266,5803858,8500709,10356573,11732041
118,   Iran (Islamic Republic of),364,362151,419763,456613,493083,530244,617010,708864
119,   Maldives,462,1697,1215,698,1126,1712,1685,1745
120,   Nepal,524,389292,453518,524840,676438,873613,1239154,1461696
121,   Pakistan,586,1969314,1993435,2060394,2304528,3136466,3743863,4147071
122,   Sri Lanka,144,458418,488007,525052,636392,823940,937571,1128237
123,  Western Asia,922,5751011,6433589,6997654,7545912,8781728,11946484,13944020
124,   Armenia,51,436813,456359,469987,487642,493848,507143,513437
125,   Azerbaijan*,31,767905,843058,846926,756699,618392,606730,623400
126,   Bahrain,48,6118,13253,24582,27091,27727,29822,23771
127,   Cyprus*,196,90729,83474,76411,76384,81809,79109,83014
128,   Georgia*,268,446500,480830,502617,453879,405507,411330,428794
129,   Iraq,368,343128,411368,469465,746216,1365619,910222,1038010
130,   Israel,376,138265,144213,151741,160875,171967,169899,185213
131,   Jordan,400,187186,205575,226138,277273,385170,449065,516954
132,   Kuwait,414,45219,55486,66324,76100,108844,118278,129614
133,   Lebanon,422,291678,302457,315472,352390,414002,447670,506899
134,   Oman,512,6431,7228,8238,10002,11165,11967,13574
135,   Qatar,634,6018,6690,7489,8915,10713,11902,13145
136,   Saudi Arabia,682,57684,74204,89831,105465,125982,154312,165183
137,   State of Palestine*,275,888096,1129279,1400058,1666877,1805760,1972565,2112254
138,   Syrian Arab Republic,760,354582,379174,407236,484324,647361,3664034,4869975
139,   Turkey,792,1349675,1470656,1525093,1374195,1432749,1587410,1766026
140,   United Arab Emirates,784,44671,57415,66226,69562,83884,94400,107455
141,   Yemen,887,290313,312870,343820,412023,591229,720626,847302
142, EUROPE,908,22438898,22816174,23247653,24061192,25508453,26369327,29748898
143,  Eastern Europe,923,11228730,10857238,10575403,11423677,12346406,12864866,14468129
144,   Belarus,112,815547,780219,735866,683202,622606,623669,630018
145,   Bulgaria,100,300350,312957,326504,426799,512180,496720,692856
146,   Czechia,203,272425,289839,324606,336590,335913,353286,436228
147,   Hungary,348,196559,201396,210583,228737,247593,292523,352495
148,   Poland,616,762917,792359,882240,1308371,1733144,1884117,2298995
149,   Republic of Moldova*,498,290609,297868,299267,342253,383845,430866,554320
150,   Romania,642,376790,459487,542472,986924,1580768,1567809,1874015
151,   Russian Federation,643,5512948,4984699,4509883,4425027,4372877,4449268,4655021
152,   Slovakia,703,65915,95196,125238,128519,119280,157103,195564
153,   Ukraine*,804,2634670,2643218,2618744,2557255,2438200,2609505,2778617
154,  Northern Europe,924,2959183,2945625,3053954,3254617,3443327,3529209,3820591
155,   Channel Islands*,830,8755,7477,6316,7167,7744,8292,8836
156,   Denmark*,208,91508,94661,100345,106327,111478,111890,122100
157,   Estonia,233,54294,60521,65057,67824,68652,84113,91437
158,   Faroe Islands*,234,2989,4113,5236,5200,5189,5736,5511
159,   Finland*,246,101833,116149,125768,121279,115561,108794,123798
160,   Iceland,352,8613,10434,12764,14160,16160,18348,21173
161,   Ireland,372,413123,385333,361562,342406,328010,334784,341607
162,   Isle of Man*,833,5098,4363,3675,4167,4534,5185,5816
163,   Latvia,428,99917,105380,108961,121873,122669,165315,172595
164,   Lithuania,440,152568,150762,151578,179732,225126,244904,288652
165,   Norway*,578,59772,65270,71032,77328,80335,82268,82789
166,   Sweden,752,87405,97040,112503,118935,129495,135980,147538
167,   United Kingdom*,826,1873308,1844122,1929157,2088219,2228374,2223600,2408739
168,  Southern Europe,925,5425783,6028232,6387954,5819357,5844716,6004592,7109579
169,   Albania,8,109414,281966,454773,517369,580912,576220,642626
170,   Andorra,20,1737,1939,2647,2741,3848,4200,5302
171,   Bosnia and Herzegovina,70,427367,668720,732010,726700,760012,763150,820732
172,   Croatia,191,214109,362947,435683,399202,383471,375750,495533
173,   Gibraltar*,292,5670,4889,4174,4743,5130,5766,6434
174,   Greece,300,533413,520579,506166,450195,408319,421173,567041
175,   Holy See*,336,5,17,28,54,76,115,71
176,   Italy,380,1739388,1663871,1590861,1413246,1330202,1400582,1757002
177,   Malta,470,56490,55524,52311,49819,49396,47197,51684
178,   Montenegro,499,38819,70517,85403,70332,67741,61328,61547
179,   North Macedonia,807,216997,245834,266937,229907,259242,291278,357739
180,   Portugal,620,964178,986469,1021724,899359,987376,1010281,1074098
181,   San Marino,674,568,1132,1693,1298,864,1269,986
182,   Serbia*,688,393867,480918,592896,491207,463834,406341,497564
183,   Slovenia,705,39956,47496,52205,52802,54436,61173,73387
184,   Spain*,724,683805,635414,588443,510383,489857,578769,697833
185,  Western Europe,926,2825202,2985079,3230342,3563541,3874004,3970660,4350599
186,   Austria,40,234319,227962,222934,227488,231771,233867,281323
187,   Belgium,56,156482,161376,172734,202650,218052,243956,276754
188,   France*,250,572481,645393,748629,833193,943288,1023721,1139109
189,   Germany,276,1341083,1413344,1520496,1629631,1719667,1689326,1784487
190,   Liechtenstein,438,1446,1304,1202,1307,1566,1565,1655
191,   Luxembourg,442,18542,19240,19991,26314,28889,32722,40460
192,   Monaco,492,2255,2388,2530,9580,13094,13915,15473
193,   Netherlands*,528,353394,361252,372460,397891,427577,435630,484739
194,   Switzerland,756,145200,152820,169366,235487,290100,295958,326599
195, LATIN AMERICA AND THE CARIBBEAN,904,7544689,9726163,12182539,14495367,16857618,17582139,20697275
196,  Caribbean,915,1973524,2347284,2729146,2979365,3274934,3802917,4252967
197,   Anguilla*,660,953,1116,1276,1220,1159,1350,1293
198,   Antigua and Barbuda,28,9656,12194,14856,16580,18668,23792,29948
199,   Aruba*,533,2606,2966,3395,4230,5880,7257,9326
200,   Bahamas,44,10606,12598,14737,15043,15388,18115,22329
201,   Barbados,52,40100,42423,44992,43951,45018,47152,45906
202,"   Bonaire, Sint Eustatius and Saba*",535,226,274,326,378,3150,3247,3657
203,   British Virgin Islands*,92,1340,1462,1603,1776,2173,2245,2343
204,   Cayman Islands*,136,187,363,559,590,658,796,863
205,   Cuba,192,399033,445646,499590,553465,618056,702390,822706
206,   Curaçao*,531,1025,1410,1885,2327,20929,3141,3800
207,   Dominica,212,18576,20399,22384,28772,31285,30442,32456
208,   Dominican Republic,214,196168,283859,376036,430576,496745,608480,664406
209,   Grenada,308,19599,24526,28883,28858,27905,30025,27572
210,   Guadeloupe*,312,2558,2893,3235,3662,4393,4674,4953
211,   Haiti,332,292687,361848,433429,515654,587744,793349,964896
212,   Jamaica,388,267945,324401,385488,402827,427047,440347,475022
213,   Martinique*,474,5607,6043,6498,6637,6756,5516,5623
214,   Montserrat*,500,3363,5193,7083,7090,7844,8863,10680
215,   Puerto Rico*,630,574579,637593,688171,710802,737672,841611,905682
216,   Saint Barthélemy*,652,0,0,0,0,0,0,0
217,   Saint Kitts and Nevis,659,8702,11466,14309,15279,16120,18114,22359
218,   Saint Lucia,662,10050,13822,17671,20493,21372,24201,29632
219,   Saint Martin (French part)*,663,0,0,0,0,0,0,0
220,   Saint Vincent and the Grenadines,670,17889,22245,26215,26629,25950,29062,25768
221,   Sint Maarten (Dutch part)*,534,344,446,591,623,1563,932,1065
222,   Trinidad and Tobago,780,87571,109768,133408,139303,148434,154574,137377
223,   Turks and Caicos Islands*,796,1004,679,345,525,949,1036,1136
224,   United States Virgin Islands*,850,1150,1651,2181,2075,2076,2206,2169
225,  Central America,916,3539221,4886482,6477478,7424343,8489498,8439482,8312535
226,   Belize,84,15084,17640,20421,22256,24357,26615,22097
227,   Costa Rica,188,29052,35626,44546,50583,56633,59116,64129
228,   El Salvador,222,608473,463004,480184,568376,670201,753461,794168
229,   Guatemala,320,175814,234806,297854,375251,463621,557854,676642
230,   Honduras,340,66801,106313,148387,195742,249972,305667,401073
231,   Mexico,484,2358111,3746874,5172990,5877135,6668397,6358119,5947873
232,   Nicaragua,558,219504,216401,245092,269682,287563,305105,338488
233,   Panama,591,66382,65818,68004,65318,68754,73545,68065
234,  South America,931,2031944,2492397,2975915,4091659,5093186,5339740,8131773
235,   Argentina,32,203580,230267,268387,397540,463178,462826,525891
236,   Bolivia (Plurinational State of),68,115446,144466,174719,265889,368682,390857,435335
237,   Brazil,76,221394,323017,406768,511722,632242,637038,801922
238,   Chile,152,248431,245982,246871,260036,271267,291195,306204
239,   Colombia,170,458639,556126,658250,859318,1177853,1234218,1376442
240,   Ecuador,218,105646,159665,217734,478800,556323,538153,531506
241,   Falkland Islands (Malvinas)*,238,139,336,528,467,515,578,636
242,   French Guiana*,254,1250,1390,1548,1612,1666,1847,1904
243,   Guyana,328,110591,139840,171419,185054,204145,222385,201232
244,   Paraguay,600,131474,147026,162710,238432,329005,363105,384808
245,   Peru,604,149436,231433,311609,437143,563929,605953,665107
246,   Suriname,740,86610,91317,98738,115287,116117,112784,120783
247,   Uruguay,858,116499,114568,115418,146441,161309,167247,174801
248,   Venezuela (Bolivarian Republic of),862,82809,106964,141216,193918,246955,311554,2605202
249, NORTHERN AMERICA,905,1265636,1332584,1428451,1621606,1828799,1860379,2021487
250,   Bermuda*,60,34691,20705,6962,7391,7588,8007,10312
251,   Canada,124,364830,393811,427501,452582,482978,479163,499038
252,   Greenland*,304,3771,4552,5412,6038,6484,7154,7658
253,   Saint Pierre and Miquelon*,666,238,246,260,219,189,222,242
254,   United States of America*,840,862106,913270,988316,1155376,1331560,1365833,1504237
255, OCEANIA ,909,468974,519067,604446,680818,788805,863511,967645
256,  Australia and New Zealand,927,335351,366709,421127,481926,573939,622696,693842
257,   Australia*,36,139236,157264,175553,201054,236444,248125,287109
258,   New Zealand*,554,196115,209445,245574,280872,337495,374571,406733
259,  Melanesia,928,50814,59221,72454,85269,97733,109523,121526
260,   Fiji,242,43626,50855,63308,75347,87439,99311,110816
261,   New Caledonia*,540,1927,2134,2274,2486,2664,2725,2855
262,   Papua New Guinea,598,1570,2035,2279,2224,2090,2351,2353
263,   Solomon Islands,90,1134,1281,1346,1456,1645,1913,2072
264,   Vanuatu,548,2557,2916,3247,3756,3895,3223,3430
265,  Micronesia,954,10467,14456,19250,19834,19448,20869,25179
266,   Guam*,316,693,851,1387,1228,1002,981,1007
267,   Kiribati,296,1937,2033,1898,1940,1739,2017,2495
268,   Marshall Islands,584,707,2080,3489,3337,3214,3763,5315
269,   Micronesia (Fed. States of),583,3935,6150,8518,9227,9711,10312,12361
270,   Nauru,520,627,698,769,933,1094,1128,1214
271,   Northern Mariana Islands*,580,1199,1274,1333,1346,1329,1339,1401
272,   Palau,585,1369,1370,1856,1823,1359,1329,1386
273,  Polynesia*,957,72342,78681,91615,93789,97685,110423,127098
274,   American Samoa*,16,1049,1365,1629,1327,1097,992,924
275,   Cook Islands*,184,8377,8149,9491,9550,10065,10691,10453
276,   French Polynesia*,258,1583,1868,2125,1370,833,1082,1187
277,   Niue*,570,2832,2648,2788,2588,2609,2620,2555
278,   Samoa,882,36602,39841,46571,48839,51453,57509,66671
279,   Tokelau*,772,836,900,1017,1037,1090,1096,1068
280,   Tonga,776,16196,18815,22879,23897,25430,29476,36751
281,   Tuvalu,798,1203,1380,1354,1482,1475,1593,1816
282,   Wallis and Futuna Islands*,876,3664,3715,3761,3699,3633,5364,5673
283,OTHER,2003,4408990,3776224,3593958,4096864,4601492,5685512,6533198
