,pais,year,origen,destino,total
484,niue,1995,5571,480,-5091
179,montserrat,1990,7178,2013,-5165
489,wallis and futuna islands,1995,6943,1704,-5239
979,wallis and futuna islands,2005,7436,2191,-5245
729,niue,2000,5749,498,-5251
71,dem peoples republic of korea,1990,39383,34103,-5280
555,turkmenistan,2000,224398,219067,-5331
1224,wallis and futuna islands,2010,7465,2111,-5354
734,wallis and futuna islands,2000,7401,2015,-5386
239,niue,1990,5858,461,-5397
795,sierra leone,2005,151886,146227,-5659
190,belize,1990,36101,30404,-5697
1138,monaco,2010,26954,21132,-5822
1628,monaco,2020,32552,26601,-5951
1596,faroe islands,2020,12927,6812,-6115
1037,nigeria,2010,996914,990494,-6420
704,greenland,2000,13388,6601,-6787
371,faroe islands,1995,10003,2900,-7103
1106,faroe islands,2010,12364,5096,-7268
1595,estonia,2020,206631,199277,-7354
1700,marshall islands,2020,10886,3298,-7588
861,faroe islands,2005,12484,4583,-7901
1351,faroe islands,2015,13407,5485,-7922
128,iceland,1990,17597,9584,-8013
949,greenland,2005,14618,6556,-8062
31,sao tome and principe,1990,13965,5582,-8383
1415,belize,2015,63099,54615,-8484
435,belize,1995,41950,33446,-8504
373,iceland,1995,21433,12738,-8695
476,micronesia fed states of,1995,12138,3342,-8796
616,faroe islands,2000,12410,3593,-8817
1469,wallis and futuna islands,2015,11227,2050,-9177
1194,greenland,2010,15391,6091,-9300
163,antigua and barbuda,1990,21382,12029,-9353
408,antigua and barbuda,1995,26965,17550,-9415
249,ethiopia,1995,816420,806904,-9516
739,ethiopia,2005,524038,514451,-9587
653,antigua and barbuda,2000,32782,23071,-9711
1714,wallis and futuna islands,2020,11917,2040,-9877
424,montserrat,1995,11586,1612,-9974
618,iceland,2000,26173,15892,-10281
925,belize,2005,51883,41438,-10445
1151,curaao,2010,45248,34630,-10618
1439,greenland,2015,16711,6009,-10702
1170,belize,2010,57371,46390,-10981
776,eswatini,2005,44861,33392,-11469
1491,angola,2020,668066,656434,-11632
898,antigua and barbuda,2005,36398,24741,-11657
680,belize,2000,48211,36488,-11723
1684,greenland,2020,17866,5899,-11967
503,seychelles,2000,19244,6574,-12670
1488,zambia,2020,200700,187955,-12745
221,melanesia,1990,104497,91200,-13297
721,micronesia fed states of,2000,16914,3116,-13798
1266,eswatini,2015,46236,32352,-13884
482,cook islands,1995,17009,2686,-14323
276,sao tome and principe,1995,19261,4936,-14325
748,seychelles,2005,23487,8997,-14490
993,seychelles,2010,25932,11420,-14512
914,montserrat,2005,15810,1244,-14566
1238,seychelles,2015,27483,12791,-14692
237,cook islands,1990,17485,2587,-14898
669,montserrat,2000,16132,1211,-14921
1143,antigua and barbuda,2010,41347,26412,-14935
182,saint kitts and nevis,1990,18618,3210,-15408
966,micronesia fed states of,2005,18346,2905,-15441
1159,montserrat,2010,17378,1291,-16087
1483,seychelles,2020,29258,13050,-16208
972,cook islands,2005,19580,3277,-16303
1707,cook islands,2020,21106,4579,-16527
1211,micronesia fed states of,2010,19404,2806,-16598
727,cook islands,2000,19478,2785,-16693
183,saint lucia,1990,21999,5305,-16694
1217,cook islands,2010,20556,3769,-16787
1511,eswatini,2020,50039,32858,-17181
1462,cook islands,2015,21555,4168,-17387
73,mongolia,1990,24466,6718,-17748
1456,micronesia fed states of,2015,20633,2756,-17877
316,dem peoples republic of korea,1995,53797,35143,-18654
1404,montserrat,2015,20136,1351,-18785
800,turkmenistan,2005,231939,213053,-18886
1374,serbia,2015,826891,807441,-19450
318,mongolia,1995,27694,7424,-20270
427,saint kitts and nevis,1995,24662,4248,-20414
521,sao tome and principe,2000,25145,4365,-20780
932,panama,2005,131417,109461,-21956
1701,micronesia fed states of,2020,24945,2832,-22113
563,mongolia,2000,30648,8206,-22442
258,seychelles,1995,27798,5148,-22650
55,mauritania,1990,134478,111650,-22828
1649,montserrat,2020,24582,1379,-23203
1064,timorleste,2010,35037,11540,-23497
428,saint lucia,1995,30672,7155,-23517
1388,antigua and barbuda,2015,52189,28082,-24107
672,saint kitts and nevis,2000,30867,5871,-24996
457,bermuda,1995,42587,16676,-25911
1,comoros,1990,40079,14079,-26000
766,sao tome and principe,2005,29859,3433,-26426
466,melanesia,1995,123300,96828,-26472
917,saint kitts and nevis,2005,33317,6682,-26635
1011,sao tome and principe,2010,30928,2700,-28228
1162,saint kitts and nevis,2010,35795,7245,-28550
1309,timorleste,2015,37325,8520,-28805
1035,mauritania,2010,114192,84920,-29272
673,saint lucia,2000,39556,9871,-29685
242,tonga,1990,32665,2911,-29754
808,mongolia,2005,42354,11477,-30877
301,niger,1995,177067,145999,-31068
833,cyprus,2005,153973,122849,-31124
1554,timorleste,2020,39588,8399,-31189
308,kyrgyzstan,1995,550022,518338,-31684
13,seychelles,1990,35633,3721,-31912
1407,saint kitts and nevis,2015,40211,7443,-32768
1256,sao tome and principe,2015,35162,2394,-32768
998,zambia,2010,182766,149962,-32804
185,saint vincent and the grenadines,1990,37010,3970,-33040
29,equatorial guinea,1990,36175,2740,-33435
56,niger,1990,149777,115464,-34313
487,tonga,1995,38208,3274,-34934
758,central african republic,2005,131410,96409,-35001
6,madagascar,1990,59415,23917,-35498
561,dem peoples republic of korea,2000,72350,36183,-36167
1021,eswatini,2010,69030,32637,-36393
1045,turkmenistan,2010,234635,197979,-36656
980,burundi,2010,284078,247321,-36757
918,saint lucia,2005,46897,9839,-37058
1633,antigua and barbuda,2020,66561,29386,-37175
246,comoros,1995,51290,13939,-37351
1501,sao tome and principe,2020,39608,2139,-37469
172,dominica,1990,40563,2519,-38044
174,grenada,1990,43237,4263,-38974
297,guineabissau,1995,67149,27961,-39188
52,guineabissau,1990,55406,15368,-40038
1369,malta,2015,93554,52642,-40912
417,dominica,1995,44210,3121,-41089
1163,saint lucia,2010,50318,9050,-41268
1053,mongolia,2010,57405,16062,-41343
430,saint vincent and the grenadines,1995,45669,4135,-41534
1290,turkmenistan,2015,238531,196376,-42155
1652,saint kitts and nevis,2020,50285,7725,-42560
732,tonga,2000,46444,3684,-42760
274,equatorial guinea,1995,46412,3629,-42783
987,malawi,2010,260531,217722,-42809
394,serbia,1995,914112,870980,-43132
307,kazakhstan,1995,3295157,3251968,-43189
1068,bhutan,2010,91934,48420,-43514
977,tonga,2005,48337,4301,-44036
116,hungary,1990,391583,347510,-44073
662,dominica,2000,48275,3723,-44552
790,mauritania,2005,103107,58211,-44896
1298,mongolia,2015,65485,19886,-45599
251,madagascar,1995,67324,21177,-46147
806,dem peoples republic of korea,2005,86763,40097,-46666
1222,tonga,2010,51521,4607,-46914
1040,sierra leone,2010,126730,79265,-47465
1535,turkmenistan,2020,242554,194920,-47634
419,grenada,1995,54075,5544,-48531
675,saint vincent and the grenadines,2000,53543,4307,-49236
1408,saint lucia,2015,57939,8673,-49266
545,mauritania,2000,107607,57366,-50241
1655,saint vincent and the grenadines,2020,55525,4738,-50787
1165,saint vincent and the grenadines,2010,55435,4569,-50866
920,saint vincent and the grenadines,2005,55611,4436,-51175
1526,niger,2020,399707,348056,-51651
1243,zambia,2015,184371,132107,-52264
1051,dem peoples republic of korea,2010,96459,44010,-52449
687,panama,2000,136929,83410,-53519
496,madagascar,2000,77089,23541,-53548
1644,grenada,2020,62204,7213,-54991
711,melanesia,2000,150371,95281,-55090
1467,tonga,2015,59203,3954,-55249
519,equatorial guinea,2000,59930,4517,-55413
1296,dem peoples republic of korea,2015,103898,48458,-55440
212,bermuda,1990,71681,15683,-55998
491,comoros,2000,70502,13799,-56703
1154,grenada,2010,63930,6980,-56950
664,grenada,2000,63791,6825,-56966
542,guineabissau,2000,77664,20450,-57214
1410,saint vincent and the grenadines,2015,62292,4637,-57655
909,grenada,2005,64646,6902,-57744
907,dominica,2005,64037,4744,-59293
166,barbados,1990,84766,24024,-60742
1543,mongolia,2020,82098,21345,-60753
1541,dem peoples republic of korea,2020,110377,49549,-60828
384,croatia,1995,735213,674085,-61128
302,nigeria,1995,524535,462999,-61536
787,guineabissau,2005,82846,20902,-61944
1615,montenegro,2020,132965,70999,-61966
1399,grenada,2015,69055,7057,-61998
442,panama,1995,132978,70848,-62130
300,mauritania,1995,151710,89562,-62148
1370,montenegro,2015,134028,71719,-62309
901,barbados,2005,92975,30624,-62351
1653,saint lucia,2020,71227,8338,-62889
1146,barbados,2010,96193,32825,-63368
411,barbados,1995,89612,26224,-63388
1107,finland,2010,291883,228481,-63402
1397,dominica,2015,72585,8093,-64492
1636,barbados,2020,99611,34869,-64742
764,equatorial guinea,2005,71789,6588,-65201
1152,dominica,2010,73583,8110,-65473
1124,malta,2010,99294,33008,-66286
656,barbados,2000,94998,28424,-66574
1391,barbados,2015,101879,34475,-67404
377,lithuania,1995,342389,273587,-68802
329,timorleste,1995,79050,9743,-69307
612,ukraine,2000,5596518,5527087,-69431
1642,dominica,2020,78191,8284,-69907
1032,guineabissau,2010,91546,21391,-70155
1125,montenegro,2010,148754,78512,-70242
1712,tonga,2020,74550,3742,-70808
304,senegal,1995,359061,287654,-71407
240,samoa,1990,74861,3357,-71504
197,panama,1990,134392,62744,-71648
956,melanesia,2005,177020,103881,-73139
588,cyprus,2000,153561,80076,-73485
1096,hungary,2010,511199,436616,-74583
879,malta,2005,100245,24560,-75685
1009,equatorial guinea,2010,84390,8658,-75732
1277,guineabissau,2015,98151,22333,-75818
222,fiji,1990,90161,13283,-76878
485,samoa,1995,81952,4694,-77258
145,montenegro,1990,77384,0,-77384
823,bhutan,2005,120319,40279,-80040
1285,sierra leone,2015,139296,58830,-80466
526,sudan,2000,885660,805086,-80574
118,republic of moldova,1990,625680,544162,-81518
361,hungary,1995,404141,322234,-81907
47,cabo verde,1990,91363,8931,-82432
736,comoros,2005,96143,13209,-82934
546,niger,2000,205236,122260,-82976
634,malta,2000,104869,21521,-83348
819,timorleste,2005,94961,11286,-83675
193,guatemala,1990,348189,264257,-83932
578,bhutan,2000,120183,32137,-88046
235,polynesia,1990,146560,58509,-88051
730,samoa,2000,94541,5998,-88543
333,bhutan,1995,117967,27972,-89995
121,slovakia,1990,132977,41295,-91682
389,malta,1995,109839,17740,-92099
975,samoa,2005,99230,5746,-93484
467,fiji,1995,106488,13001,-93487
1201,melanesia,2010,204278,110691,-93587
1278,liberia,2015,205741,112111,-93630
1522,guineabissau,2020,111790,17945,-93845
480,polynesia,1995,160607,65065,-95542
144,malta,1990,110738,15077,-95661
981,comoros,2010,109125,12618,-96507
543,liberia,2000,248412,151868,-96544
292,cabo verde,1995,106954,9979,-96975
439,honduras,1995,246575,149442,-97133
754,zimbabwe,2005,500773,402226,-98547
1530,sierra leone,2020,152486,53746,-98740
1220,samoa,2010,104820,5122,-99698
851,hungary,2005,466530,366787,-99743
59,senegal,1990,370243,270410,-99833
1232,malawi,2015,297471,197328,-100143
514,chad,2000,206052,104825,-101227
343,cyprus,1995,163275,61941,-101334
207,paraguay,1990,297742,195884,-101858
498,mauritius,2000,119003,15543,-103460
1356,latvia,2015,369238,265418,-103820
884,serbia,2005,960621,854848,-105773
253,mauritius,1995,114073,7493,-106580
8,mauritius,1990,110707,3613,-107094
1282,nigeria,2015,1306526,1199115,-107411
862,finland,2005,300562,192169,-108393
64,tajikistan,1990,537699,428900,-108799
61,togo,1990,193827,84844,-108983
1226,comoros,2015,121749,12555,-109194
1129,serbia,2010,936001,826275,-109726
1446,melanesia,2015,229769,119343,-110426
743,mauritius,2005,130649,19647,-111002
984,ethiopia,2010,680290,568748,-111542
1465,samoa,2015,116855,4255,-112600
537,cabo verde,2000,124823,11027,-113796
136,albania,1990,180204,66013,-114191
1101,slovakia,2010,260656,146319,-114337
532,lesotho,2000,120565,6167,-114398
725,polynesia,2000,185771,71151,-114620
970,polynesia,2005,190186,73768,-116418
518,democratic republic of the congo,2000,862039,744387,-117652
712,fiji,2000,131908,12719,-119189
1477,malawi,2020,311052,191362,-119690
1033,liberia,2010,219139,99165,-119974
1281,niger,2015,374993,252998,-121995
547,nigeria,2000,610130,487882,-122248
366,slovakia,1995,191610,69323,-122287
741,madagascar,2005,148805,26058,-122747
988,mauritius,2010,148186,24836,-123350
606,hungary,2000,420959,296957,-124002
1341,hungary,2015,600887,475508,-125379
1215,polynesia,2010,198595,72741,-125854
773,western sahara,2005,131288,3891,-127397
551,togo,2000,267164,137968,-129196
782,cabo verde,2005,141984,12700,-129284
287,lesotho,1995,136593,7204,-129389
1586,hungary,2020,714420,584567,-129853
98,cyprus,1990,174370,43805,-130565
1710,samoa,2020,135732,4021,-131711
986,madagascar,2010,160819,28905,-131914
1691,melanesia,2020,256021,124073,-131948
269,chad,1995,223096,89584,-133512
622,lithuania,2000,348564,214311,-134253
611,slovakia,2000,251533,116376,-135157
203,ecuador,1990,214008,78663,-135345
1233,mauritius,2015,165869,28585,-137284
574,timorleste,2000,148339,10602,-137737
1471,comoros,2020,150823,12496,-138327
1027,cabo verde,2010,152863,14373,-138490
135,united kingdom,1990,3789316,3650286,-139030
210,uruguay,1990,237486,98116,-139370
455,uruguay,1995,233993,93428,-140565
1601,latvia,2020,380010,239422,-140588
856,slovakia,2005,271828,130491,-141337
1231,madagascar,2015,175868,32075,-143793
957,fiji,2005,157045,12434,-144611
390,montenegro,1995,144640,0,-144640
1523,liberia,2020,233564,87947,-145617
386,greece,1995,1004201,857850,-146351
700,uruguay,2000,235641,88874,-146767
187,trinidad and tobago,1990,197440,50666,-146774
880,montenegro,2005,148013,0,-148013
452,paraguay,1995,335845,186570,-149275
199,bolivia plurinational state of,1990,224693,73758,-150935
1003,central african republic,2010,245933,94685,-151248
777,lesotho,2005,159071,6290,-152781
1460,polynesia,2015,223501,70001,-153500
639,serbia,2000,1131919,977873,-154046
1478,mauritius,2020,182973,28893,-154080
1272,cabo verde,2015,171429,14924,-156505
45,benin,1990,234314,76751,-157563
1476,madagascar,2020,193526,35563,-157963
3,eritrea,1990,170603,11848,-158755
209,suriname,1990,177857,18083,-159774
1041,togo,2010,417178,255564,-161614
1225,burundi,2015,459979,298299,-161680
549,senegal,2000,394608,231901,-162707
528,western sahara,2000,166060,3289,-162771
283,western sahara,1995,167146,2989,-164157
38,western sahara,1990,168238,2688,-165550
1018,western sahara,2010,170195,4493,-165702
337,nepal,1995,856028,690225,-165803
173,dominican republic,1990,458021,291151,-166870
454,suriname,1995,191535,22320,-169215
556,uzbekistan,2000,1575965,1406498,-169467
1346,slovakia,2015,347385,177624,-169761
290,benin,1995,275696,105703,-169993
1202,fiji,2010,183607,13357,-170250
786,guinea,2005,404677,233419,-171258
1517,cabo verde,2020,187558,15788,-171770
995,south sudan,2010,402616,230732,-171884
295,ghana,1995,428051,252879,-175172
553,kyrgyzstan,2000,566315,389824,-176491
791,niger,2005,304086,124509,-179577
617,finland,2000,315861,136203,-179658
1263,western sahara,2015,185885,5179,-180706
864,ireland,2005,769942,589046,-180896
1619,serbia,2020,1003962,823011,-180951
1267,lesotho,2015,191457,9152,-182305
42,lesotho,1990,191328,8240,-183088
635,montenegro,2000,183451,0,-183451
699,suriname,2000,211219,27506,-183713
127,finland,1990,250610,63255,-187355
1705,polynesia,2020,258262,70136,-188126
372,finland,1995,288655,99729,-188926
1508,western sahara,2020,194932,5424,-189508
1512,lesotho,2020,202164,12060,-190104
535,benin,2000,328046,134655,-193391
1447,fiji,2015,208568,13751,-194817
1181,chile,2010,571842,375388,-196454
697,paraguay,2000,374675,176608,-198067
444,bolivia plurinational state of,1995,283540,83598,-199942
334,india,1995,7153439,6952238,-201201
796,togo,2005,405803,204219,-201584
432,trinidad and tobago,1995,251142,45994,-205148
50,ghana,1990,371157,164851,-206306
1470,burundi,2020,551105,344767,-206338
309,tajikistan,1995,555426,348347,-207079
340,armenia,1995,901859,693999,-207860
306,togo,1995,309616,101583,-208033
1036,niger,2010,335897,126482,-209415
448,ecuador,1995,326230,115093,-211137
867,lithuania,2005,412371,201209,-211162
1434,suriname,2015,254612,43127,-211485
944,suriname,2005,248782,33662,-215120
1240,south sudan,2015,1060678,844112,-216566
945,uruguay,2005,298986,82317,-216669
1286,togo,2015,495380,277384,-217996
1189,suriname,2010,258715,39713,-219002
585,armenia,2000,877148,657900,-219248
1692,fiji,2020,233856,14087,-219769
1591,slovakia,2020,419651,197161,-222490
1679,suriname,2020,273209,47801,-225408
750,south sudan,2005,228537,0,-228537
206,guyana,1990,233318,4095,-229223
1025,benin,2010,541152,309225,-231927
794,senegal,2005,470508,238298,-232210
1022,lesotho,2010,243128,6414,-236714
996,uganda,2010,731768,492930,-238838
95,armenia,1990,899678,658789,-240889
554,tajikistan,2000,541183,299499,-241684
1364,croatia,2015,806242,561093,-245149
1119,croatia,2010,820407,573248,-247159
1657,trinidad and tobago,2020,330519,78849,-251670
689,bolivia plurinational state of,2000,344702,92658,-252044
363,republic of moldova,1995,620030,367231,-252799
780,benin,2005,504165,248320,-255845
690,brazil,2000,940458,684596,-255862
208,peru,1990,313209,56688,-256521
1680,uruguay,2020,367060,108267,-258793
582,nepal,2000,977396,717900,-259496
874,croatia,2005,839084,579273,-259811
1190,uruguay,2010,338438,76303,-262135
24,chad,1990,336798,74342,-262456
936,chile,2005,541745,276360,-265385
1531,togo,2020,545409,279936,-265473
677,trinidad and tobago,2000,307795,41753,-266042
788,liberia,2005,354792,87217,-267575
1270,benin,2015,634923,366284,-268639
1435,uruguay,2015,353225,78799,-274426
1235,mozambique,2015,596949,321794,-275155
1031,guinea,2010,455866,178762,-277104
922,trinidad and tobago,2005,322906,44812,-278094
738,eritrea,2005,299311,15905,-283406
245,burundi,1995,540558,254853,-285705
1515,benin,2020,681827,394276,-287551
451,guyana,1995,295292,6352,-288940
1039,senegal,2010,547495,256092,-291403
693,ecuador,2000,446380,151523,-294857
1678,peru,2020,1519635,1224519,-295116
1480,mozambique,2020,640160,338850,-301310
1167,trinidad and tobago,2010,350517,48226,-302291
540,ghana,2000,495887,191601,-304286
1044,tajikistan,2010,584647,279808,-304839
438,guatemala,1995,461891,156188,-305703
799,tajikistan,2005,586235,280466,-305769
27,democratic republic of the congo,1990,436513,129391,-307122
1289,tajikistan,2015,585060,275101,-309959
1534,tajikistan,2020,586851,276031,-310820
983,eritrea,2010,328366,15813,-312553
566,cambodia,2000,459621,146085,-313536
684,honduras,2000,342103,28461,-313642
1001,angola,2010,651383,336367,-315016
76,cambodia,1990,355428,38375,-317053
92,nepal,1990,748053,429974,-318079
1412,trinidad and tobago,2015,368633,50021,-318612
629,croatia,2000,907031,585298,-321733
321,cambodia,1995,418213,92230,-325983
1284,senegal,2015,594507,266496,-328011
881,north macedonia,2005,458822,127667,-331155
298,liberia,1995,542295,208563,-333732
691,chile,2000,511997,177332,-334665
112,yemen,1990,455492,118863,-336629
146,north macedonia,1990,432070,95142,-336928
1245,middle africa,2015,3816990,3479911,-337079
1287,kazakhstan,2015,3885576,3546060,-339516
396,spain,1995,1362409,1020067,-342342
505,south sudan,2000,342628,0,-342628
1673,ecuador,2020,1127891,784787,-343104
798,kyrgyzstan,2005,652852,309399,-343453
418,dominican republic,1995,667015,323381,-343634
357,yemen,1995,486249,136515,-349734
696,guyana,2000,362157,8610,-353547
608,republic of moldova,2000,602773,247828,-354945
785,ghana,2005,665731,309932,-355799
999,zimbabwe,2010,754643,398307,-356336
446,chile,1995,499207,142417,-356790
1112,lithuania,2010,517746,160772,-356974
305,sierra leone,1995,457827,98516,-359311
1527,nigeria,2020,1670455,1308568,-361887
248,eritrea,1995,375257,12400,-362857
1276,guinea,2015,493411,126657,-366754
272,democratic republic of the congo,1995,559824,191635,-368189
14,somalia,1990,848055,478294,-369761
1093,belarus,2010,1464702,1090378,-374324
942,paraguay,2005,545698,168243,-377455
1095,czechia,2010,779438,398493,-380945
941,guyana,2005,392555,10868,-381687
391,north macedonia,1995,491992,109343,-382649
602,yemen,2000,529396,144940,-384456
201,chile,1990,493026,107501,-385525
1338,belarus,2015,1469882,1082905,-386977
12,rwanda,1990,547717,160024,-387693
745,mozambique,2005,662951,268694,-394257
1126,north macedonia,2010,526151,129701,-396450
196,nicaragua,1990,441488,41421,-400067
801,uzbekistan,2005,1730224,1329932,-400292
1340,czechia,2015,819776,416454,-403322
141,greece,1990,1022125,618139,-403986
636,north macedonia,2000,532132,125665,-406467
1676,guyana,2020,438413,31169,-407244
441,nicaragua,1995,437711,26619,-411092
550,sierra leone,2000,509098,97974,-411124
1583,belarus,2020,1483626,1067090,-416536
1529,senegal,2020,693765,274929,-418836
1357,lithuania,2015,556292,136021,-420271
929,honduras,2005,448882,27934,-420948
53,liberia,1990,516878,94964,-421914
1030,ghana,2010,762002,337766,-424236
735,burundi,2005,619916,192774,-427142
37,tunisia,1990,465549,37984,-427565
1521,guinea,2020,550790,121437,-429353
850,czechia,2005,752058,322540,-429518
381,albania,1995,501066,71354,-429712
1186,guyana,2010,439233,8182,-431051
830,armenia,2005,900648,469189,-431459
1371,north macedonia,2015,563354,130730,-432624
934,bolivia plurinational state of,2005,543766,107745,-436021
260,south sudan,1995,438044,0,-438044
282,tunisia,1995,476933,37867,-439066
500,mozambique,2000,644421,195702,-448719
453,peru,1995,505474,56732,-448742
527,tunisia,2000,486964,36719,-450245
115,czechia,1990,564746,110394,-454352
360,czechia,1995,620286,165592,-454694
847,yemen,2005,628869,171871,-456998
78,lao peoples democratic republic,1990,483008,22866,-460142
20,middle africa,1990,1922243,1461155,-461088
1042,kazakhstan,2010,3797527,3334937,-462590
619,ireland,2000,820657,350552,-470105
686,nicaragua,2000,501517,30389,-471128
1532,kazakhstan,2020,4203899,3732073,-471826
1431,guyana,2015,481258,8661,-472597
848,belarus,2005,1581160,1106982,-474178
1544,republic of korea,2020,2204554,1728182,-476372
1275,ghana,2015,892253,414744,-477509
1585,czechia,2020,1026108,540921,-485187
54,mali,1990,647426,160736,-486690
990,mozambique,2010,797808,306471,-491337
1043,kyrgyzstan,2010,726544,232065,-494479
493,eritrea,2000,511506,12952,-498554
605,czechia,2000,723333,220789,-502544
176,haiti,1990,524711,19084,-505627
763,democratic republic of the congo,2005,1130872,623009,-507863
1609,croatia,2020,1039526,528056,-511470
1602,lithuania,2020,658057,145184,-512873
15,south sudan,1990,514943,0,-514943
857,ukraine,2005,5566382,5050302,-516080
113,belarus,1990,1767600,1248977,-518623
931,nicaragua,2005,555532,34919,-520613
323,lao peoples democratic republic,1995,547786,23526,-524260
1520,ghana,2020,1004324,476412,-527912
663,dominican republic,2000,889451,355611,-533840
4,ethiopia,1990,1689941,1155390,-534551
683,guatemala,2000,582796,48119,-534677
1288,kyrgyzstan,2015,742841,204382,-538459
772,tunisia,2005,579009,35040,-543969
853,republic of moldova,2005,715496,171122,-544374
117,poland,1990,1673426,1127771,-545655
358,belarus,1995,1736493,1186282,-550211
80,myanmar,1990,685308,133545,-551763
345,iraq,1995,752604,199460,-553144
935,brazil,2005,1194575,638582,-555993
517,democratic republic of the congo,2000,862039,305880,-556159
1490,middle africa,2020,4420662,3861568,-559094
100,iraq,1990,642933,83638,-559295
1174,honduras,2010,587503,27288,-560215
811,cambodia,2005,674436,114096,-560340
603,belarus,2000,1685646,1123586,-562060
1616,north macedonia,2020,693896,131311,-562585
177,jamaica,1990,588450,20475,-567975
1000,middle africa,2010,3007543,2436802,-570741
1017,tunisia,2010,615732,43172,-572560
1176,nicaragua,2010,610211,37345,-572866
1533,kyrgyzstan,2020,774377,199011,-575366
544,mali,2000,772866,189475,-583391
1092,yemen,2010,876383,288394,-587989
114,bulgaria,1990,612960,21510,-591450
828,pakistan,2005,3777830,3174558,-603272
1248,central african republic,2015,686224,81568,-604656
1187,paraguay,2010,765811,160299,-605512
1228,eritrea,2015,624757,15941,-608816
827,nepal,2005,1289629,680729,-608900
1102,ukraine,2010,5429876,4818767,-611109
797,kazakhstan,2005,3717649,3103027,-614622
99,georgia,1990,919438,304470,-614968
1421,nicaragua,2015,655577,40261,-615316
1016,sudan,2010,1235193,618709,-616484
359,bulgaria,1995,649430,32435,-616995
151,spain,1990,1439004,821605,-617399
590,iraq,2000,828414,210525,-617889
568,lao peoples democratic republic,2000,649287,21948,-627339
698,peru,2000,694144,66300,-627844
490,burundi,2000,758673,125628,-633045
374,ireland,1995,863541,226892,-636649
789,mali,2005,895360,258630,-636730
908,dominican republic,2005,1014070,375417,-638653
421,haiti,1995,661354,18129,-643225
149,serbia,1990,742547,99269,-643278
299,mali,1995,820564,176187,-644377
255,mozambique,1995,812685,168256,-644429
604,bulgaria,2000,688682,43360,-645322
32,algeria,1990,921665,273954,-647711
266,angola,1995,688581,39813,-648768
1034,mali,2010,994832,341078,-653754
756,angola,2005,716766,62331,-654435
1179,bolivia plurinational state of,2010,779961,122846,-657115
510,middle africa,2000,2439360,1775284,-664076
1046,uzbekistan,2010,1888942,1220149,-668793
46,burkina faso,1990,1021331,349652,-671679
1666,nicaragua,2020,718154,42167,-675987
119,romania,1990,811853,135825,-676028
928,guatemala,2005,736715,57214,-679501
552,kazakhstan,2000,3554484,2874194,-680290
1424,bolivia plurinational state of,2015,824008,143008,-681000
1432,paraguay,2015,845591,156462,-689129
129,ireland,1990,917101,227961,-689140
1419,honduras,2015,729855,38330,-691525
422,jamaica,1995,718362,22713,-695649
1098,republic of moldova,2010,827409,129488,-697921
1075,armenia,2010,917043,211147,-705896
1008,democratic republic of the congo,2010,1298544,589882,-708662
1337,yemen,2015,1095240,379882,-715358
277,algeria,1995,979641,262032,-717609
1262,tunisia,2015,774376,56532,-717844
1506,sudan,2020,2104887,1379147,-725740
1677,paraguay,2020,896484,169567,-726917
1493,central african republic,2020,816668,88546,-728122
771,sudan,2005,1277632,546419,-731213
1079,georgia,2010,805539,73078,-732461
1428,ecuador,2015,1130774,387513,-743261
626,albania,2000,824442,76695,-747747
291,burkina faso,1995,1215665,464104,-751561
1324,georgia,2015,828931,76685,-752246
1320,armenia,2015,944520,191199,-753321
781,burkina faso,2005,1352292,597658,-754634
536,burkina faso,2000,1279414,520363,-759051
1026,burkina faso,2010,1434528,674438,-760090
1253,democratic republic of the congo,2015,1572222,810018,-762204
1669,bolivia plurinational state of,2020,927244,164121,-763123
755,middle africa,2005,2726556,1961951,-764605
1244,zimbabwe,2015,1167064,400482,-766582
1565,armenia,2020,958190,190349,-767841
1183,ecuador,2010,1152897,375253,-777644
1299,republic of korea,2015,2152532,1370905,-781627
1569,georgia,2020,861077,79368,-781709
666,haiti,2000,802218,17222,-784996
522,algeria,2000,1037985,250110,-787875
1473,eritrea,2020,802822,13934,-788888
1153,dominican republic,2010,1184417,395479,-788938
21,angola,1990,824886,33517,-791369
1425,brazil,2015,1504231,710304,-793927
938,ecuador,2005,986599,189893,-796706
325,myanmar,1995,911445,113663,-797782
170,cuba,1990,835175,34555,-800620
344,georgia,1995,953280,152235,-801045
1291,uzbekistan,2015,1976024,1170873,-805151
138,bosnia and herzegovina,1990,861760,56000,-805760
1279,mali,2015,1228544,420504,-808040
362,poland,1995,1775774,964725,-811049
762,democratic republic of the congo,2005,1130872,318724,-812148
1271,burkina faso,2015,1518568,704676,-813892
834,georgia,2005,885523,71296,-814227
1670,brazil,2020,1897128,1079708,-817420
1524,mali,2020,1303511,485829,-817682
1343,republic of moldova,2015,929759,106374,-823385
1489,zimbabwe,2020,1243314,416141,-827173
667,jamaica,2000,857865,24952,-832913
364,romania,1995,976732,135037,-841695
94,sri lanka,1990,883684,41561,-842123
1507,tunisia,2020,902268,60145,-842123
849,bulgaria,2005,907821,61074,-846747
1073,pakistan,2010,4790584,3943681,-846903
1173,guatemala,2010,924898,66386,-858512
1536,uzbekistan,2020,2027823,1162007,-865816
1321,azerbaijan,2015,1130348,264359,-865989
511,angola,2000,913206,46108,-867098
1056,cambodia,2010,953059,82028,-871031
1007,democratic republic of the congo,2010,1298544,425173,-873371
1516,burkina faso,2020,1599347,723989,-875358
