,"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
62,   botswana,72,26048,23315,26683,33281,44249,55294,63561
63,   eswatini,748,35179,30340,34116,44861,69030,46236,50039
64,   lesotho,426,191328,136593,120565,159071,243128,191457,202164
65,   namibia,516,16077,28220,49348,65598,99599,50410,47770
66,   south africa,710,308120,385988,501600,601803,743807,786554,914901
67,  western africa,914,5051069,6292141,6386350,7451068,8211176,9425980,10558152
68,   benin,204,234314,275696,328046,504165,541152,634923,681827
69,   burkina faso,854,1021331,1215665,1279414,1352292,1434528,1518568,1599347
70,   cabo verde,132,91363,106954,124823,141984,152863,171429,187558
71,   côte d'ivoire,384,366336,449498,539234,731962,939795,1056380,1149298
72,   gambia,270,36280,38384,45427,61209,77440,96963,139210
73,   ghana,288,371157,428051,495887,665731,762002,892253,1004324
74,   guinea,324,352763,365862,377019,404677,455866,493411,550790
75,   guinea-bissau,624,55406,67149,77664,82846,91546,98151,111790
76,   liberia,430,516878,542295,248412,354792,219139,205741,233564
77,   mali,466,647426,820564,772866,895360,994832,1228544,1303511
78,   mauritania,478,134478,151710,107607,103107,114192,114630,130226
79,   niger,562,149777,177067,205236,304086,335897,374993,399707
80,   nigeria,566,446753,524535,610130,817392,996914,1306526,1670455
81,   saint helena*,654,884,2207,3715,3268,3607,4285,4885
82,   senegal,686,370243,359061,394608,470508,547495,594507,693765
83,   sierra leone,694,61853,457827,509098,151886,126730,139296,152486
84,   togo,768,193827,309616,267164,405803,417178,495380,545409
85, asia,935,56957000,59147922,65333613,72806043,88122177,103378019,114911484
86,  central asia,5500,5719892,6159859,6462345,6918899,7232295,7428032,7835504
87,   kazakhstan,398,2971634,3295157,3554484,3717649,3797527,3885576,4203899
88,   kyrgyzstan,417,522574,550022,566315,652852,726544,742841,774377
89,   tajikistan,762,537699,555426,541183,586235,584647,585060,586851
90,   turkmenistan,795,260005,243523,224398,231939,234635,238531,242554
91,   uzbekistan,860,1427980,1515731,1575965,1730224,1888942,1976024,2027823
92,  eastern asia,906,7049024,8166675,9352688,11019974,12863294,14417725,14820004
93,   china*,156,4231625,5030321,5884919,7337211,8714648,10240817,10461170
94,"   china, hong kong sar*",344,549125,617237,685913,752476,862070,957289,1007788
95,"   china, macao sar*",446,86460,90097,94517,108191,123599,133296,145192
96,"   china, taiwan province of china*",158,0,0,0,0,0,0,0
97,   dem. people's republic of korea,408,39383,53797,72350,86763,96459,103898,110377
98,   japan,392,604803,653293,708933,718466,756792,764408,808825
99,   mongolia,496,24466,27694,30648,42354,57405,65485,82098
100,   republic of korea,410,1513162,1694236,1875408,1974513,2252321,2152532,2204554
101,  south-eastern asia,920,7725395,9694248,12088166,14537009,18113912,20787865,23580736
102,   brunei darussalam,96,26323,35052,45242,45314,44541,45110,45340
103,   cambodia,116,355428,418213,459621,674436,953059,1074572,1104819
104,   indonesia,360,1622259,1937233,2415077,2781287,3415963,4065095,4601369
105,   lao people's democratic republic,418,483008,547786,649287,897002,1198862,1288179,1296051
106,   malaysia*,458,560353,861208,1201135,1379305,1599061,1781038,1860037
107,   myanmar,104,685308,911445,1224310,1736590,2492274,2842494,3711751
108,   philippines,608,2012499,2481963,3062665,3684528,4692695,5498232,6094307
109,   singapore,702,156444,168100,192930,235683,282421,324639,348464
110,   thailand,764,306924,411878,531028,631678,769257,921690,1086985
111,   timor-leste,626,11261,79050,148339,94961,35037,37325,39588
112,   viet nam,704,1505588,1842320,2158532,2376225,2630742,2909491,3392025
113,  southern asia,5501,25384128,22910124,24435349,26428791,33850093,39053098,43394045
114,   afghanistan,4,7679582,4347049,4750677,4116739,5269518,5400916,5853838
115,   bangladesh,50,5450443,5423528,5441094,5492474,6319871,6831282,7401763
116,   bhutan,64,28461,117967,120183,120319,91934,51391,51998
117,   india,356,6619431,7153439,7928051,9588533,13221963,15885657,17869492
118,   iran (islamic republic of),364,631196,746739,831205,889502,985691,1155617,1325113
119,   maldives,462,2192,1687,1216,2212,3543,3606,3715
120,   nepal,524,748053,856028,977396,1289629,1712697,2270166,2599701
121,   pakistan,586,3341086,3340157,3406434,3777830,4790584,5798210,6328400
122,   sri lanka,144,883684,923530,979093,1151553,1454292,1656253,1960025
123,  western asia,922,11078561,12217016,12995065,13901370,16062583,21691299,25281195
124,   armenia,51,899678,901859,877148,900648,917043,944520,958190
125,   azerbaijan*,31,1634157,1712214,1630589,1455180,1160863,1130348,1163922
126,   bahrain,48,12817,26014,47736,51835,52235,56721,58270
127,   cyprus*,196,174370,163275,153561,153973,163471,166585,173210
128,   georgia*,268,919438,953280,967022,885523,805539,828931,861077
129,   iraq,368,642933,752604,828414,1340599,2554929,1675613,2077976
130,   israel,376,279625,290365,303860,317009,333968,331326,358691
131,   jordan,400,313621,339026,368299,440788,602099,706832,814909
132,   kuwait,414,81583,97009,113415,129005,177816,195034,212271
133,   lebanon,422,507722,531538,558891,608856,699704,757183,856814
134,   oman,512,12504,13844,15623,18824,20752,22797,25099
135,   qatar,634,12175,13302,14680,17131,20674,23574,25705
136,   saudi arabia,682,107045,130911,153614,178744,215338,282906,299268
137,   state of palestine*,275,1812673,2274589,2767331,3258102,3539908,3773988,4022791
138,   syrian arab republic,760,620285,661278,707070,813361,1057322,6447843,8457214
139,   turkey,792,2512944,2771731,2847334,2577305,2708930,3073534,3411408
140,   united arab emirates,784,79499,97928,111082,125618,155609,178324,203214
141,   yemen,887,455492,486249,529396,628869,876383,1095240,1301166
142, europe,908,47730278,48636003,49727784,51336984,54711301,56577753,63273663
143,  eastern europe,923,24779673,24168588,23820659,25554786,27578142,28822615,32194352
144,   belarus,112,1767600,1736493,1685646,1581160,1464702,1469882,1483626
145,   bulgaria,100,612960,649430,688682,907821,1106483,1179625,1683074
146,   czechia,203,564746,620286,723333,752058,779438,819776,1026108
147,   hungary,348,391583,404141,420959,466530,511199,600887,714420
148,   poland,616,1673426,1775774,2047626,2884657,3716338,4077038,4825096
149,   republic of moldova*,498,625680,620030,602773,715496,827409,929759,1159443
150,   romania,642,811853,976732,1138825,2105906,3363361,3420714,3987093
151,   russian federation,643,12653331,11587959,10664764,10302948,10118680,10179999,10756697
152,   slovakia,703,132977,191610,251533,271828,260656,347385,419651
153,   ukraine*,804,5545517,5606133,5596518,5566382,5429876,5797550,6139144
154,  northern europe,924,6227251,6202247,6422540,6780094,7178780,7315147,7884780
155,   channel islands*,830,18726,15626,12825,14815,15699,16469,17158
156,   denmark*,208,201514,207707,217761,224462,233531,236832,257025
157,   estonia,233,113860,129586,141821,150101,153633,189109,206631
158,   faroe islands*,234,7518,10003,12410,12484,12364,13407,12927
159,   finland*,246,250610,288655,315861,300562,291883,282223,311889
160,   iceland,352,17597,21433,26173,28669,32454,37006,43251
161,   ireland,372,917101,863541,820657,769942,729466,736639,734317
162,   isle of man*,833,10735,9003,7377,8484,9033,10580,12032
163,   latvia,428,215070,228958,238641,270982,278168,369238,380010
164,   lithuania,440,340973,342389,348564,412371,517746,556292,658057
165,   norway*,578,138289,151041,163834,174063,179971,185578,191392
166,   sweden,752,205942,225655,256610,267953,291904,302408,327581
167,   united kingdom*,826,3789316,3708650,3860006,4145206,4432928,4379366,4732510
168,  southern europe,925,10622826,11889956,12651345,11535218,11728125,12045253,14017111
169,   albania,8,180204,501066,824442,966032,1117940,1142844,1250451
170,   andorra,20,3740,4142,5575,5727,7909,8740,11132
171,   bosnia and herzegovina,70,861760,1372526,1496691,1501036,1572925,1593430,1687639
172,   croatia,191,425544,735213,907031,839084,820407,806242,1039526
173,   gibraltar*,292,11989,10130,8451,9643,10197,11916,13389
174,   greece,300,1022125,1004201,982685,867619,789457,820119,1088507
175,   holy see*,336,10,26,41,110,175,310,174
176,   italy,380,3350982,3207728,3067498,2698486,2559233,2662661,3258831
177,   malta,470,110738,109839,104869,100245,99294,93554,102793
178,   montenegro,499,77384,144640,183451,148013,148754,134028,132965
179,   north macedonia,807,432070,491992,532132,458822,526151,563354,693896
180,   portugal,620,1871869,1920865,1993793,1743009,1927397,1971655,2081419
181,   san marino,674,1413,2456,3494,2907,2266,3688,2407
182,   serbia*,688,742547,914112,1131919,960621,936001,826891,1003962
183,   slovenia,705,91447,108611,118659,119399,122948,136538,160197
184,   spain*,724,1439004,1362409,1290614,1114465,1087071,1269283,1489823
185,  western europe,926,6100528,6375212,6833240,7466886,8226254,8394738,9177420
186,   austria,40,505214,490045,478091,493349,517401,515234,600740
187,   belgium,56,363970,374734,398864,437701,484032,515793,577463
188,   france*,250,1215837,1353297,1555391,1725216,1956818,2119266,2341908
189,   germany,276,2929448,3045354,3235247,3442933,3696638,3630278,3855268
190,   liechtenstein,438,3425,3018,2688,2935,3590,3536,3706
191,   luxembourg,442,36108,37875,39762,52806,62048,69366,81757
192,   monaco,492,4475,4784,5124,19103,26954,29317,32552
193,   netherlands*,528,716471,726856,747631,790554,854388,867093,970403
194,   switzerland,756,325580,339249,370442,502289,624385,644855,713623
195, latin america and the caribbean,904,15273399,19669704,24628700,29338206,34637650,36206000,42890481
196,  caribbean,915,4139775,5035853,5966487,6506671,7273502,8135307,9078772
197,   anguilla*,660,1832,2166,2508,2425,2273,2553,2505
198,   antigua and barbuda,28,21382,26965,32782,36398,41347,52189,66561
199,   aruba*,533,5887,6705,7662,9482,13524,16621,21456
200,   bahamas,44,25137,29594,34301,34715,35990,42965,53793
201,   barbados,52,84766,89612,94998,92975,96193,101879,99611
202,"   bonaire, sint eustatius and saba*",535,445,540,647,753,7065,7295,8148
203,   british virgin islands*,92,3094,3368,3683,4008,4921,5118,5355
204,   cayman islands*,136,356,794,1278,1290,1404,1709,1908
205,   cuba,192,835175,934168,1047789,1160309,1314739,1505827,1757300
206,   curaçao*,531,2104,2849,3779,4618,45248,6239,7611
207,   dominica,212,40563,44210,48275,64037,73583,72585,78191
208,   dominican republic,214,458021,667015,889451,1014070,1184417,1454602,1608567
209,   grenada,308,43237,54075,63791,64646,63930,69055,62204
210,   guadeloupe*,312,5765,6748,7750,8911,10779,11993,12542
211,   haiti,332,524711,661354,802218,967894,1123190,1467042,1769671
212,   jamaica,388,588450,718362,857865,905170,989790,1031596,1118931
213,   martinique*,474,11036,12501,14019,14340,14637,12675,12963
214,   montserrat*,500,7178,11586,16132,15810,17378,20136,24582
215,   puerto rico*,630,1200245,1405619,1600058,1640015,1731818,1715817,1850529
216,   saint barthélemy*,652,0,0,0,0,0,0,0
217,   saint kitts and nevis,659,18618,24662,30867,33317,35795,40211,50285
218,   saint lucia,662,21999,30672,39556,46897,50318,57939,71227
219,   saint martin (french part)*,663,0,0,0,0,0,0,0
220,   saint vincent and the grenadines,670,37010,45669,53543,55611,55435,62292,55525
221,   sint maarten (dutch part)*,534,707,914,1186,1246,3303,1929,2191
222,   trinidad and tobago,780,197440,251142,307795,322906,350517,368633,330519
223,   turks and caicos islands*,796,2308,1533,740,1190,2197,2454,2689
224,   united states virgin islands*,850,2309,3030,3814,3638,3711,3953,3908
225,  central america,916,6823036,9288464,12228703,13978650,16204451,16291222,16198974
226,   belize,84,36101,41950,48211,51883,57371,63099,52756
227,   costa rica,188,69283,84980,105227,117618,132317,138237,150241
228,   el salvador,222,1241849,933103,949042,1118793,1337085,1512895,1599058
229,   guatemala,320,348189,461891,582796,736715,924898,1118115,1368431
230,   honduras,340,156379,246575,342103,448882,587503,729855,985077
231,   mexico,484,4395355,6949276,9562878,10817810,12415222,11923234,11185737
232,   nicaragua,558,441488,437711,501517,555532,610211,655577,718154
233,   panama,591,134392,132978,136929,131417,139844,150210,139520
234,  south america,931,4310588,5345387,6433510,8852885,11159697,11779471,17612735
235,   argentina,32,430155,481968,555542,805291,938639,943843,1076148
236,   bolivia (plurinational state of),68,224693,283540,344702,543766,779961,824008,927244
237,   brazil,76,491359,730491,940458,1194575,1495404,1504231,1897128
238,   chile,152,493026,499207,511997,541745,571842,618015,643800
239,   colombia,170,1009148,1215967,1433940,1883904,2554020,2698688,3024273
240,   ecuador,218,214008,326230,446380,986599,1152897,1130774,1127891
241,   falkland islands (malvinas)*,238,255,760,1262,1095,1174,1370,1518
242,   french guiana*,254,2840,3221,3640,3800,3940,4517,4595
243,   guyana,328,233318,295292,362157,392555,439233,481258,438413
244,   paraguay,600,297742,335845,374675,545698,765811,845591,896484
245,   peru,604,313209,505474,694144,969002,1299095,1410199,1519635
246,   suriname,740,177857,191535,211219,248782,258715,254612,273209
247,   uruguay,858,237486,233993,235641,298986,338438,353225,367060
248,   venezuela (bolivarian republic of),862,185492,241864,317753,437087,560528,709140,5415337
249, northern america,905,2802135,2946161,3149919,3512106,3969803,4014649,4327958
250,   bermuda*,60,71681,42587,14079,14907,15313,16225,21107
251,   canada,124,994254,1064305,1142641,1185156,1268057,1263552,1292329
252,   greenland*,304,9504,11361,13388,14618,15391,16711,17866
253,   saint pierre and miquelon*,666,483,477,484,426,390,400,433
254,   united states of america*,840,1726213,1827431,1979327,2296999,2670652,2717761,2996223
255, oceania ,909,961547,1071295,1246836,1391418,1591168,1751422,1970205
256,  australia and new zealand,927,689030,758234,871660,984280,1149265,1256202,1404924
257,   australia*,36,301013,341312,381836,428769,486949,518158,598765
258,   new zealand*,554,388017,416922,489824,555511,662316,738044,806159
259,  melanesia,928,104497,123300,150371,177020,204278,229769,256021
260,   fiji,242,90161,106488,131908,157045,183607,208568,233856
261,   new caledonia*,540,4148,4600,4941,5219,5377,5584,5839
262,   papua new guinea,598,3107,4059,4552,4493,4231,4980,4810
263,   solomon islands,90,2212,2542,2728,2999,3371,3886,4270
264,   vanuatu,548,4869,5611,6242,7264,7692,6751,7246
265,  micronesia,954,21460,29154,39034,39932,39030,41950,50998
266,   guam*,316,1375,1614,2797,2535,2209,2132,2213
267,   kiribati,296,4053,4246,3991,4021,3565,4127,5103
268,   marshall islands,584,1426,4154,6976,6654,6492,7625,10886
269,   micronesia (fed. states of),583,7713,12138,16914,18346,19404,20633,24945
270,   nauru,520,1419,1511,1593,1869,2130,2267,2454
271,   northern mariana islands*,580,2517,2647,2765,2725,2611,2607,2741
272,   palau,585,2957,2844,3998,3782,2619,2559,2656
273,  polynesia*,957,146560,160607,185771,190186,198595,223501,258262
274,   american samoa*,16,2041,2638,3186,2588,2157,1961,1832
275,   cook islands*,184,17485,17009,19478,19580,20556,21555,21106
276,   french polynesia*,258,3132,3738,4300,2717,1550,1978,2157
277,   niue*,570,5858,5571,5749,5291,5347,5348,5186
278,   samoa,882,74861,81952,94541,99230,104820,116855,135732
279,   tokelau*,772,1684,1810,2061,2090,2168,2171,2112
280,   tonga,776,32665,38208,46444,48337,51521,59203,74550
281,   tuvalu,798,2350,2738,2611,2917,3011,3203,3670
282,   wallis and futuna islands*,876,6484,6943,7401,7436,7465,11227,11917
283,other,2003,8640334,7477497,7063730,7820665,8757236,10918842,12657151
