Unnamed: 0,"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020,latitude,longitude
57,   togo,768,84844.0,101583.0,137968.0,204219.0,255564.0,277384.0,279936.0,8.7800265,1.0199765
58,   kazakhstan,398,3619200.0,3251968.0,2874194.0,3103027.0,3334937.0,3546060.0,3732073.0,48.1012954,66.7780818
59,   kyrgyzstan,417,623083.0,518338.0,389824.0,309399.0,232065.0,204382.0,199011.0,41.5089324,74.724091
60,   tajikistan,762,428900.0,348347.0,299499.0,280466.0,279808.0,275101.0,276031.0,38.6281733,70.8156541
61,   turkmenistan,795,306500.0,273565.0,219067.0,213053.0,197979.0,196376.0,194920.0,39.3763807,59.3924609
62,   uzbekistan,860,1653000.0,1512577.0,1406498.0,1329932.0,1220149.0,1170873.0,1162007.0,41.32373,63.9528098
63,   china,156,376361.0,442198.0,508034.0,678947.0,849861.0,978046.0,1039675.0,35.000074,104.999927
64,   china hong kong sar,344,2218473.0,2443798.0,2669122.0,2721235.0,2779950.0,2841113.0,2962492.0,22.350627,114.1849161
65,   china macao sar,446,205047.0,224929.0,240791.0,279308.0,318506.0,376066.0,403490.0,22.350627,114.1849161
66,   china taiwan province of china,158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9719357,121.6106138
67,   dem peoples republic of korea,408,34103.0,35143.0,36183.0,40097.0,44010.0,48458.0,49549.0,23.9719357,121.6106138
68,   japan,392,1075317.0,1362371.0,1686444.0,2011555.0,2134151.0,2232189.0,2770996.0,36.5748441,139.2394179
69,   mongolia,496,6718.0,7424.0,8206.0,11477.0,16062.0,19886.0,21345.0,46.8250388,103.8499736
70,   republic of korea,410,43247.0,123886.0,244224.0,486065.0,919987.0,1370905.0,1728182.0,36.638392,127.6961188
71,   brunei darussalam,96,73200.0,84748.0,96296.0,98441.0,100587.0,102733.0,111959.0,4.4137155,114.5653908
72,   cambodia,116,38375.0,92230.0,146085.0,114096.0,82028.0,73962.0,79341.0,12.5433216,104.8144914
73,   indonesia,360,465612.0,378960.0,292307.0,289310.0,307487.0,338124.0,355505.0,-2.4833826,117.8902853
74,   lao peoples democratic republic,418,22866.0,23526.0,21948.0,20371.0,32955.0,45538.0,48731.0,-2.4833826,117.8902853
75,   myanmar,104,133545.0,113663.0,98011.0,83025.0,76414.0,73309.0,76446.0,17.1750495,95.9999652
76,   philippines,608,154071.0,207345.0,318095.0,257468.0,208599.0,211862.0,225525.0,12.7503486,122.7312101
77,   singapore,702,727262.0,991492.0,1351691.0,1710594.0,2164794.0,2483405.0,2523648.0,1.357107,103.8194992
78,   thailand,764,528693.0,809720.0,1257821.0,2195610.0,3234381.0,3470220.0,3632496.0,14.8971921,100.83273
79,   timorleste,626,8954.0,9743.0,10602.0,11286.0,11540.0,8520.0,8399.0,14.8971921,100.83273
80,   viet nam,704,28118.0,51262.0,56754.0,51768.0,61756.0,72793.0,76767.0,15.9266657,107.9650855
81,   afghanistan,4,57686.0,71522.0,75917.0,87314.0,102276.0,339432.0,144098.0,33.7680065,66.2385139
82,   bangladesh,50,881617.0,934735.0,987853.0,1062270.0,1345546.0,1422179.0,2115408.0,24.4769288,90.2934413
83,   bhutan,64,23807.0,27972.0,32137.0,40279.0,48420.0,51106.0,53612.0,27.549511,90.5119273
84,   india,356,7594801.0,6952238.0,6411331.0,5936740.0,5574018.0,5210847.0,4878704.0,22.3511148,78.6677428
85,   iran islamic republic of,364,4291601.0,2937668.0,2476469.0,2552206.0,2722397.0,2729939.0,2797235.0,32.6475314,54.5643516
86,   maldives,462,8689.0,18510.0,27092.0,45045.0,54659.0,64273.0,70079.0,3.7203503,73.2244152
87,   nepal,524,429974.0,690225.0,717900.0,680729.0,581889.0,509471.0,487564.0,28.1083929,84.0917139
88,   pakistan,586,6208204.0,3669308.0,4181912.0,3174558.0,3943681.0,3506520.0,3276580.0,30.3308401,71.247499
89,   sri lanka,144,41561.0,40841.0,40132.0,39526.0,38959.0,39706.0,40254.0,7.877395849999999,80.66247852355892
90,   armenia,51,658789.0,693999.0,657900.0,469189.0,211147.0,191199.0,190349.0,40.7696272,44.6736646
91,   azerbaijan,31,360600.0,344070.0,327540.0,301834.0,276901.0,264359.0,252228.0,40.3936294,47.7872508
92,   bahrain,48,173212.0,205979.0,239361.0,404018.0,666406.0,722487.0,936094.0,26.1551249,50.5344606
93,   cyprus,196,43805.0,61941.0,80076.0,122849.0,188472.0,176693.0,190366.0,34.9823018,33.1451285
94,   georgia,268,304470.0,152235.0,76117.0,71296.0,73078.0,76685.0,79368.0,32.3293809,-83.1137366
95,   iraq,368,83638.0,199460.0,210525.0,134863.0,120466.0,359352.0,365766.0,33.0955793,44.1749775
96,   israel,376,1632704.0,1792185.0,1851309.0,1889503.0,1956190.0,2011727.0,1953575.0,30.8124247,34.8594762
97,   jordan,400,1146349.0,1537097.0,1927845.0,2198740.0,2786853.0,3166961.0,3457691.0,31.1667049,36.941628
98,   kuwait,414,1074391.0,921954.0,1127640.0,1333530.0,1874812.0,2866136.0,3110159.0,29.2733964,47.4979476
99,   lebanon,422,523693.0,608303.0,692913.0,742243.0,793191.0,1916259.0,1712762.0,33.8750629,35.843409
100,   oman,512,304000.0,539643.0,623608.0,666164.0,816234.0,1856226.0,2372836.0,21.0000287,57.0036901
101,   qatar,634,309753.0,361673.0,359697.0,646026.0,1456413.0,1687640.0,2226192.0,25.3336984,51.2295295
102,   saudi arabia,682,4998445.0,5122702.0,5263387.0,6501819.0,8429956.0,10771366.0,13454842.0,25.6242618,42.3528328
103,   state of palestine,275,288332.0,281767.0,275202.0,274520.0,273840.0,273163.0,272784.0,31.462420950000002,34.262716572130714
104,   syrian arab republic,760,714140.0,830610.0,834916.0,882398.0,1783595.0,835716.0,868711.0,34.6401861,39.0494106
105,   turkey,792,1163686.0,1216173.0,1280963.0,1324108.0,1373749.0,4346197.0,6052652.0,38.9597594,34.9249653
106,   united arab emirates,784,1306574.0,1824118.0,2447010.0,3281115.0,7316697.0,7995126.0,8716332.0,24.0002488,53.9994829
107,   yemen,887,118863.0,136515.0,144940.0,171871.0,288394.0,379882.0,387113.0,16.3471243,47.8915271
108,   belarus,112,1248977.0,1186282.0,1123586.0,1106982.0,1090378.0,1082905.0,1067090.0,53.4250605,27.6971358
109,   bulgaria,100,21510.0,32435.0,43360.0,61074.0,76287.0,123803.0,184363.0,42.6073975,25.4856617
110,   czechia,203,110394.0,165592.0,220789.0,322540.0,398493.0,416454.0,540921.0,49.7439047,15.3381061
111,   hungary,348,347510.0,322234.0,296957.0,366787.0,436616.0,475508.0,584567.0,47.1817585,19.5060937
112,   poland,616,1127771.0,964725.0,825251.0,722509.0,642417.0,611855.0,817254.0,52.215933,19.134422
113,   republic of moldova,498,544162.0,367231.0,247828.0,171122.0,129488.0,106374.0,104438.0,47.2879608,28.5670941
114,   romania,642,135825.0,135037.0,134254.0,145162.0,177211.0,281048.0,705310.0,45.9852129,24.6859225
115,   russian federation,643,11524948.0,11928927.0,11900297.0,11667588.0,11194710.0,11643276.0,11636911.0,64.6863136,97.7453061
116,   slovakia,703,41295.0,69323.0,116376.0,130491.0,146319.0,177624.0,197161.0,48.7411522,19.4528646
117,   ukraine,804,6892920.0,6172338.0,5527087.0,5050302.0,4818767.0,4915142.0,4997387.0,49.4871968,31.2718321
118,   channel islands,830,61660.0,60519.0,64301.0,70941.0,77581.0,82307.0,84087.0,33.96579515,-120.09189711105296
119,   denmark,208,235189.0,303108.0,371026.0,440383.0,500772.0,595876.0,717574.0,55.670249,10.3333283
120,   estonia,233,381997.0,315755.0,249512.0,233701.0,217890.0,194664.0,199277.0,58.7523778,25.3319078
121,   faroe islands,234,4285.0,2900.0,3593.0,4583.0,5096.0,5485.0,6812.0,62.0448724,-7.0322972
122,   finland,246,63255.0,99729.0,136203.0,192169.0,228481.0,314856.0,386052.0,63.2467777,25.9209164
123,   iceland,352,9584.0,12738.0,15892.0,25492.0,35091.0,39072.0,65424.0,64.9841821,-18.1059013
124,   ireland,372,227961.0,226892.0,350552.0,589046.0,730542.0,759256.0,871256.0,52.865196,-7.9794599
125,   isle of man,833,34769.0,36886.0,39002.0,41475.0,43447.0,42238.0,43040.0,54.1936805,-4.5591148
126,   latvia,428,646007.0,538093.0,430178.0,376725.0,313786.0,265418.0,239422.0,56.8406494,24.7537645
127,   lithuania,440,349258.0,273587.0,214311.0,201209.0,160772.0,136021.0,145184.0,55.3500003,23.7499997
128,   norway,578,192587.0,233302.0,292440.0,361144.0,524601.0,746375.0,852238.0,61.1529386,8.7876653
129,   sweden,752,788767.0,936022.0,1003798.0,1125790.0,1337214.0,1602522.0,2003908.0,59.6749712,14.5208584
130,   united kingdom,826,3650286.0,4155293.0,4730165.0,5926156.0,7119664.0,8406996.0,9359587.0,54.7023545,-3.2765753
131,   albania,8,66013.0,71354.0,76695.0,64739.0,52784.0,52031.0,48810.0,41.000028,19.9999619
132,   andorra,20,38891.0,44206.0,42147.0,50298.0,52053.0,42264.0,45574.0,42.5407167,1.5732033
133,   bosnia and herzegovina,70,56000.0,69476.0,82952.0,47287.0,38945.0,38597.0,36042.0,44.3053476,17.5961467
134,   croatia,191,475438.0,674085.0,585298.0,579273.0,573248.0,561093.0,528056.0,45.3658443,15.6575209
135,   gibraltar,292,8709.0,8381.0,8054.0,9211.0,10369.0,11065.0,11190.0,36.1285933,-5.3474761
136,   greece,300,618139.0,857850.0,1111665.0,1190707.0,1321149.0,1242924.0,1340456.0,38.9953683,21.9877132
137,   holy see,336,762.0,778.0,790.0,798.0,783.0,790.0,809.0,38.9247244,-77.06572732690151
138,   italy,380,1428219.0,1774954.0,2121688.0,3954790.0,5787893.0,5805328.0,6386998.0,42.6384261,12.674297
139,   malta,470,15077.0,17740.0,21521.0,24560.0,33008.0,52642.0,114760.0,35.8885993,14.4476911
140,   montenegro,499,0.0,0.0,0.0,0.0,78512.0,71719.0,70999.0,42.9868853,19.5180992
141,   north macedonia,807,95142.0,109343.0,125665.0,127667.0,129701.0,130730.0,131311.0,41.6171214,21.7168387
142,   portugal,620,435782.0,532822.0,651472.0,771184.0,762825.0,864814.0,1001963.0,39.6621648,-8.1353519
143,   san marino,674,3310.0,3659.0,4045.0,4218.0,4880.0,5195.0,5543.0,43.9458623,12.458306
144,   serbia,688,99269.0,870980.0,977873.0,854848.0,826275.0,807441.0,823011.0,44.1534121,20.55144
145,   slovenia,705,178077.0,174419.0,214508.0,217218.0,253786.0,237616.0,277964.0,46.1199444,14.8153333
146,   spain,724,821605.0,1020067.0,1657285.0,4107226.0,6280062.0,5891208.0,6842202.0,39.3260685,-4.8379791
147,   austria,40,793239.0,894893.0,996547.0,1127164.0,1274901.0,1483123.0,1738183.0,47.59397,14.12456
148,   belgium,56,1280583.0,1288003.0,1268368.0,1248733.0,1503806.0,1783488.0,2005479.0,50.6402809,4.6667145
149,   france,250,5897267.0,6087993.0,6278718.0,6737600.0,7309986.0,7878338.0,8524876.0,46.603354,1.8883335
150,   germany,276,5936181.0,7464406.0,8992631.0,9402447.0,9812263.0,10220418.0,15762457.0,51.1638175,10.4478313
151,   liechtenstein,438,10906.0,13311.0,15483.0,18898.0,22342.0,23799.0,25877.0,47.1416307,9.5531527
152,   luxembourg,442,113795.0,126106.0,139750.0,150618.0,163142.0,248888.0,298062.0,49.8158683,6.1296751
153,   monaco,492,20359.0,21060.0,21787.0,21312.0,21132.0,25983.0,26601.0,43.7323492,7.4276832
154,   netherlands,528,1182263.0,1346164.0,1556337.0,1736127.0,1832510.0,1996318.0,2358333.0,52.2434979,5.6343227
155,   switzerland,756,1392282.0,1478829.0,1570756.0,1805437.0,2075182.0,2258196.0,2491249.0,46.7985624,8.2319736
156,   anguilla,660,2570.0,3317.0,4063.0,4684.0,5103.0,5471.0,5715.0,18.1954947,-63.0750234
157,   antigua and barbuda,28,12029.0,17550.0,23071.0,24741.0,26412.0,28082.0,29386.0,17.2234721,-61.9554608
158,   aruba,533,14444.0,22274.0,30104.0,32540.0,34328.0,36114.0,53593.0,12.51756625,-69.98186415210564
159,   bahamas,44,26855.0,31654.0,36454.0,45531.0,54745.0,59241.0,63583.0,24.7736546,-78.0000547
160,   barbados,52,24024.0,26224.0,28424.0,30624.0,32825.0,34475.0,34869.0,13.1500331,-59.5250305
161,   bonaire sint eustatius and saba,535,13010.0,15101.0,14387.0,14399.0,20941.0,24571.0,26221.0,12.11632955,-68.22087151226087
162,   british virgin islands,92,8035.0,10046.0,12958.0,15016.0,17076.0,19535.0,22164.0,18.4024395,-64.5661642
163,   cayman islands,136,9315.0,12666.0,19176.0,20679.0,24062.0,26193.0,29242.0,19.703182249999998,-79.9174627243246
164,   cuba,192,34555.0,26187.0,18545.0,11693.0,7373.0,4649.0,3024.0,23.0131338,-80.8328748
165,   curaao,531,0.0,0.0,0.0,0.0,34630.0,37611.0,57210.0,23.0131338,-80.8328748
166,   dominica,212,2519.0,3121.0,3723.0,4744.0,8110.0,8093.0,8284.0,19.0974031,-70.3028026
167,   dominican republic,214,291151.0,323381.0,355611.0,375417.0,395479.0,549289.0,603794.0,19.0974031,-70.3028026
168,   grenada,308,4263.0,5544.0,6825.0,6902.0,6980.0,7057.0,7213.0,12.1360374,-61.6904045
169,   guadeloupe,312,65944.0,74566.0,83188.0,89065.0,94942.0,90956.0,90206.0,16.2528827,-61.5686855
170,   haiti,332,19084.0,18129.0,17222.0,16360.0,17182.0,18047.0,18884.0,19.1399952,-72.3570972
171,   jamaica,388,20475.0,22713.0,24952.0,24284.0,23677.0,23165.0,23629.0,18.1850507,-77.3947693
172,   martinique,474,38705.0,46599.0,54492.0,57034.0,59575.0,69174.0,68624.0,14.6367927,-61.01582685063731
173,   montserrat,500,2013.0,1612.0,1211.0,1244.0,1291.0,1351.0,1379.0,16.7417041,-62.1916844
174,   puerto rico,630,321909.0,338067.0,355038.0,352144.0,304969.0,280494.0,247132.0,18.2247706,-66.4858295
175,   saint barthlemy,652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2247706,-66.4858295
176,   saint kitts and nevis,659,3210.0,4248.0,5871.0,6682.0,7245.0,7443.0,7725.0,17.250512,-62.6725973
177,   saint lucia,662,5305.0,7155.0,9871.0,9839.0,9050.0,8673.0,8338.0,13.8250489,-60.975036
178,   saint martin french part,663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0814066,-63.0467131
179,   saint vincent and the grenadines,670,3970.0,4135.0,4307.0,4436.0,4569.0,4637.0,4738.0,12.90447,-61.2765569
180,   sint maarten dutch part,534,0.0,0.0,0.0,13099.0,26203.0,27295.0,28845.0,12.90447,-61.2765569
181,   trinidad and tobago,780,50666.0,45994.0,41753.0,44812.0,48226.0,50021.0,78849.0,10.7466905,-61.0840075
182,   turks and caicos islands,796,5062.0,7039.0,9015.0,13115.0,17216.0,22723.0,25748.0,21.721746,-71.5527809
183,   united states virgin islands,850,51970.0,54241.0,56611.0,56647.0,56684.0,56721.0,56753.0,17.789187,-64.7080574
184,   belize,84,30404.0,33446.0,36488.0,41438.0,46390.0,54615.0,62043.0,16.8259793,-88.7600927
185,   costa rica,188,417628.0,364287.0,310946.0,358398.0,405779.0,411697.0,520729.0,10.2735633,-84.0739102
186,   el salvador,222,47360.0,39537.0,31713.0,36029.0,40342.0,42059.0,42767.0,13.8000382,-88.9140683
187,   guatemala,320,264257.0,156188.0,48119.0,57214.0,66386.0,74852.0,84311.0,15.5855545,-90.345759
188,   honduras,340,270423.0,149442.0,28461.0,27934.0,27288.0,38330.0,39195.0,15.2572432,-86.0755145
189,   mexico,484,695674.0,458549.0,538051.0,712648.0,969710.0,1013691.0,1197624.0,23.6585116,-102.0077097
190,   nicaragua,558,41421.0,26619.0,30389.0,34919.0,37345.0,40261.0,42167.0,12.6090157,-85.2936911
191,   panama,591,62744.0,70848.0,83410.0,109461.0,157788.0,184710.0,313165.0,8.559559,-81.1308434
192,   argentina,32,1649919.0,1595069.0,1540219.0,1674163.0,1805957.0,2086301.0,2281728.0,-34.9964963,-64.9672817
193,   bolivia plurinational state of,68,73758.0,83598.0,92658.0,107745.0,122846.0,143008.0,164121.0,-17.0568696,-64.9912286
194,   brazil,76,798517.0,741557.0,684596.0,638582.0,592640.0,710304.0,1079708.0,-10.3333333,-53.2
195,   chile,152,107501.0,142417.0,177332.0,276360.0,375388.0,639724.0,1645015.0,-31.7613365,-71.3187697
196,   colombia,170,104277.0,106943.0,109609.0,106523.0,130309.0,159407.0,1905393.0,4.099917,-72.9088133
197,   ecuador,218,78663.0,115093.0,151523.0,189893.0,375253.0,387513.0,784787.0,-1.3397668,-79.3666965
198,   falkland islands malvinas,238,855.0,868.0,1067.0,1166.0,1436.0,1571.0,1957.0,-51.9492937,-59.5383657
199,   french guiana,254,63612.0,70131.0,76649.0,86468.0,96288.0,106108.0,119249.0,4.0039882,-52.999998
200,   guyana,328,4095.0,6352.0,8610.0,10868.0,8182.0,8661.0,31169.0,4.8417097,-58.6416891
201,   paraguay,600,195884.0,186570.0,176608.0,168243.0,160299.0,156462.0,169567.0,-23.3165935,-58.1693445
202,   peru,604,56688.0,56732.0,66300.0,77877.0,104706.0,154774.0,1224519.0,-6.8699697,-75.0458515
203,   suriname,740,18083.0,22320.0,27506.0,33662.0,39713.0,43127.0,47801.0,4.1413025,-56.0771187
204,   uruguay,858,98116.0,93428.0,88874.0,82317.0,76303.0,78799.0,108267.0,-32.8755548,-56.0201525
205,   venezuela bolivarian republic of,862,1025009.0,1019996.0,1013738.0,1076474.0,1347347.0,1404448.0,1324193.0,8.0018709,-66.1109318
206,   bermuda,60,15683.0,16676.0,17684.0,18108.0,18547.0,19212.0,19739.0,32.30382,-64.7561647
207,   canada,124,4333318.0,4864778.0,5511914.0,6078985.0,6761226.0,7428657.0,8049323.0,61.0666922,-107.991707
208,   greenland,304,9282.0,7121.0,6601.0,6556.0,6091.0,6009.0,5899.0,77.6192349,-42.8125967
209,   saint pierre and miquelon,666,1099.0,1320.0,1458.0,1147.0,1017.0,986.0,998.0,46.783246899999995,-56.195158907484085
210,   united states of america,840,23251026.0,28451053.0,34814053.0,39258293.0,44183643.0,48178877.0,50632836.0,39.7837304,-100.445882
211,   australia,36,3955213.0,4153330.0,4386250.0,4878030.0,5882980.0,6729730.0,7685860.0,-24.7761086,134.755
212,   new zealand,554,518047.0,588617.0,678813.0,839952.0,947443.0,1039736.0,1381724.0,-41.5000831,172.8344077
213,  melanesia,928,91200.0,96828.0,95281.0,103881.0,110691.0,119343.0,124073.0,-9.05,158.75
214,   fiji,242,13283.0,13001.0,12719.0,12434.0,13357.0,13751.0,14087.0,-18.1239696,179.0122737
215,   new caledonia,540,37673.0,43662.0,49651.0,55405.0,61158.0,68881.0,73141.0,-21.3019905,165.4880773
216,   papua new guinea,598,33710.0,33526.0,26304.0,29971.0,30425.0,30940.0,31068.0,-5.6816069,144.2489081
217,   solomon islands,90,4226.0,4178.0,3981.0,3271.0,2760.0,2585.0,2520.0,-8.7053941,159.1070693851845
218,   vanuatu,548,2308.0,2461.0,2626.0,2800.0,2991.0,3186.0,3257.0,-16.5255069,168.1069154
219,  micronesia,954,108969.0,118687.0,130186.0,128390.0,114743.0,113466.0,118860.0,8.6062347,151.832744331612
220,   guam,316,69755.0,71912.0,74070.0,74743.0,75416.0,76089.0,80472.0,13.450125700000001,144.75755102972062
221,   kiribati,296,2162.0,2223.0,2283.0,2487.0,2868.0,2919.0,3126.0,0.3448612,173.6641773
222,   marshall islands,584,1158.0,1480.0,1891.0,2417.0,3089.0,3284.0,3298.0,8.9995549,168.0002575
223,   micronesia fed states of,583,3685.0,3342.0,3116.0,2905.0,2806.0,2756.0,2832.0,8.9995549,168.0002575
224,   nauru,520,2815.0,2605.0,2394.0,2253.0,906.0,1833.0,2201.0,-0.5252306,166.9324426
225,   northern mariana islands,580,26593.0,32376.0,40122.0,37542.0,24168.0,21648.0,21843.0,15.1753648,145.7379338
226,   palau,585,2801.0,4749.0,6310.0,6043.0,5490.0,4937.0,5088.0,5.3783537,132.9102573
227,   american samoa,16,21283.0,23098.0,24912.0,24233.0,23555.0,23513.0,23608.0,-14.297124,-170.7131481
228,   cook islands,184,2587.0,2686.0,2785.0,3277.0,3769.0,4168.0,4579.0,-19.919672900000002,-157.9753368892878
229,   french polynesia,258,25830.0,28360.0,30329.0,32286.0,31640.0,30058.0,30081.0,-17.0243749,-144.6434898
230,   niue,570,461.0,480.0,498.0,522.0,589.0,588.0,588.0,-19.0536414,-169.861341
231,   samoa,882,3357.0,4694.0,5998.0,5746.0,5122.0,4255.0,4021.0,-13.7693895,-172.12005
232,   tokelau,772,360.0,506.0,712.0,1003.0,1128.0,1185.0,1238.0,-9.1676396,-171.819687
233,   tonga,776,2911.0,3274.0,3684.0,4301.0,4607.0,3954.0,3742.0,-19.9160819,-175.202642
234,   tuvalu,798,318.0,263.0,218.0,209.0,220.0,230.0,239.0,-8.6405212,179.1582918181797
235,   wallis and futuna islands,876,1402.0,1704.0,2015.0,2191.0,2111.0,2050.0,2040.0,-13.289402,-176.204224
