"Region, development group, country or area",Notes,Location code,Type of data,1990,1995,2000,2005,2010,2015,2020
  Central Asia,,5500,,2 972 344,2 655 599,2 327 133,2 413 191,2 490 544,2 596 335,2 685 448
   Kazakhstan,,398,B R,1 666 164,1 497 455,1 323 580,1 472 820,1 625 155,1 757 828,1 850 097
   Kyrgyzstan,,417,B R, 260 416, 216 638, 162 927, 128 064, 94 596, 82 616, 80 456
   Tajikistan,,762,B R, 187 972, 151 894, 131 653, 121 403, 121 780, 118 639, 119 174
   Turkmenistan,,795,B R, 134 174, 132 122, 102 810, 101 214, 90 634, 91 531, 92 357
   Uzbekistan,,860,B R, 723 618, 657 490, 606 163, 589 690, 558 379, 545 721, 543 364
  Eastern Asia,,906,,1 996 803,2 274 256,2 551 537,2 938 257,3 321 334,3 744 128,4 277 681
   China*,,156,C, 191 954, 223 018, 254 082, 379 920, 505 758, 600 136, 637 952
"   China, Hong Kong SAR*",,344,B R,1 124 544,1 175 087,1 225 629,1 185 121,1 147 539,1 120 982,1 107 970
"   China, Macao SAR*",,446,B, 96 379, 103 660, 109 391, 130 387, 146 407, 174 589, 187 321
"   China, Taiwan Province of China*",,158,,..,..,..,..,..,..,..
   Dem. People's Republic of Korea,,408,I, 17 393, 17 562, 17 731, 19 749, 21 766, 24 110, 24 654
   Japan,,392,C, 538 765, 680 212, 796 928, 931 198, 972 481,1 050 070,1 347 156
   Mongolia,,496,C R, 3 419, 3 959, 4 564, 7 577, 11 880, 13 284, 14 263
   Republic of Korea,,410,C R, 24 349, 70 758, 143 212, 284 305, 515 503, 760 957, 958 365
  South-Eastern Asia,,920,,1 511 104,1 916 620,2 614 376,3 497 791,4 544 819,5 356 686,5 643 257
   Brunei Darussalam,,96,B, 41 856, 47 832, 53 807, 55 265, 56 723, 58 181, 63 407
   Cambodia,,116,B R, 19 084, 45 361, 71 638, 57 545, 43 412, 39 854, 42 730
   Indonesia,,360,B R, 229 885, 191 600, 153 315, 165 287, 176 522, 196 717, 206 538
   Lao People's Democratic Republic,,418,C R, 11 806, 12 199, 11 564, 10 930, 20 133, 29 335, 31 393
   Malaysia*,,458,C R, 405 808, 534 964, 822 679,1 133 541,1 469 977,1 996 220,2 156 265
   Myanmar,,104,C, 72 310, 61 489, 52 150, 44 506, 41 574, 40 178, 41 898
   Philippines,,608,C R, 81 347, 107 524, 161 904, 133 023, 107 933, 109 783, 117 105
   Singapore,,702,B, 345 842, 456 411, 601 671, 758 762, 956 856,1 096 394,1 112 517
   Thailand,,764,B R, 283 486, 426 290, 647 728,1 102 248,1 629 881,1 742 708,1 821 857
   Timor-Leste,,626,B R, 4 450, 4 763, 5 095, 5 578, 5 837, 5 148, 5 076
   Viet Nam,,704,C R, 15 230, 28 187, 32 825, 31 106, 35 971, 42 168, 44 471
  Southern Asia,,5501,,10 283 173,7 987 547,7 798 733,6 981 986,7 326 556,7 007 526,7 042 488
   Afghanistan,,4,B R, 32 558, 39 105, 42 848, 49 281, 57 726, 171 550, 69 189
   Bangladesh,,50,B R, 476 097, 503 989, 531 907, 572 146, 710 548, 751 741,1 093 978
   Bhutan,,64,B, 19 409, 22 804, 26 200, 32 742, 39 283, 43 396, 45 524
   India,,356,B R,3 967 470,3 608 978,3 303 591,2 931 489,2 699 495,2 474 515,2 273 912
   Iran (Islamic Republic of),,364,C R,2 369 093,1 612 428,1 365 390,1 401 736,1 490 419,1 487 403,1 517 518
   Maldives,,462,C, 4 777, 9 243, 14 907, 27 079, 41 712, 56 345, 61 437
   Nepal,,524,B R, 125 966, 217 088, 241 959, 235 852, 191 167, 156 361, 146 930
   Pakistan,,586,B R,3 264 380,1 951 223,2 249 960,1 710 343,2 075 512,1 845 470,1 812 804
   Sri Lanka,,144,B R, 23 423, 22 689, 21 971, 21 318, 20 694, 20 745, 21 196
  Western Asia,,922,,8 906 428,9 941 901,11 003 367,13 252 419,20 004 053,25 846 271,30 148 030
   Armenia,,51,B R, 270 535, 284 995, 270 170, 191 432, 85 669, 77 436, 78 085
   Azerbaijan*,,31,B R, 157 856, 149 509, 141 161, 135 143, 129 512, 126 656, 121 007
   Bahrain,,48,C R, 122 730, 144 227, 165 344, 288 614, 481 344, 529 546, 694 238
   Cyprus*,,196,B, 20 463, 27 604, 34 745, 53 532, 82 477, 77 357, 85 679
   Georgia*,,268,B R, 133 285, 66 643, 33 321, 31 215, 31 993, 33 570, 34 879
   Iraq,,368,C R, 55 751, 114 821, 120 464, 81 877, 74 535, 209 217, 201 427
   Israel,,376,B R, 770 777, 830 330, 853 712, 867 805, 892 887, 912 899, 886 517
   Jordan,,400,C R, 586 473, 784 725, 982 977,1 119 171,1 416 784,1 594 808,1 756 637
   Kuwait,,414,C R, 654 878, 591 452, 761 512, 918 718,1 312 111,1 901 855,2 063 430
   Lebanon,,422,B R, 267 922, 310 613, 353 305, 382 830, 413 057, 921 661, 839 706
   Oman,,512,C R, 242 477, 417 444, 488 389, 527 845, 658 753,1 552 000,1 984 025
   Qatar,,634,C, 225 932, 269 972, 274 242, 498 428,1 206 571,1 416 361,1 842 785
   Saudi Arabia,,682,C R,3 324 873,3 416 485,3 517 768,4 469 805,5 933 281,7 461 502,9 235 130
   State of Palestine*,5,275,B, 132 101, 128 328, 124 555, 124 608, 124 660, 124 710, 124 737
   Syrian Arab Republic,,760,C R, 364 077, 423 115, 427 981, 452 524, 910 982, 426 967, 432 279
   Turkey,,792,B R, 577 329, 593 938, 616 007, 621 694, 629 868,2 390 166,3 124 165
   United Arab Emirates,,784,C R, 931 959,1 309 868,1 757 200,2 388 299,5 463 446,5 890 170,6 419 792
   Yemen,,887,C R, 67 010, 77 832, 80 514, 98 879, 156 123, 199 390, 223 512
 EUROPE,,908,,24 119 388,25 913 001,27 501 320,30 770 997,34 086 590,35 808 075,41 979 164
  Eastern Europe,,923,,10 199 700,10 013 084,9 695 286,9 358 006,9 035 538,9 395 960,9 978 380
   Belarus,,112,B, 572 021, 543 307, 514 593, 506 988, 499 384, 495 961, 488 713
   Bulgaria,,100,B, 9 047, 13 642, 18 238, 26 594, 33 841, 60 058, 91 585
   Czechia,,203,C, 57 405, 88 316, 119 227, 181 719, 236 160, 239 228, 312 941
   Hungary,,348,B, 156 185, 147 202, 138 219, 174 216, 210 212, 235 719, 303 065
   Poland,,616,B, 482 176, 404 049, 338 323, 297 039, 262 263, 256 623, 390 449
   Republic of Moldova*,,498,B, 238 053, 155 297, 101 097, 67 924, 52 198, 43 467, 42 743
   Romania,,642,B, 57 601, 60 443, 63 121, 70 153, 87 667, 146 758, 386 946
   Russian Federation,,643,B,5 655 422,5 925 452,5 982 851,5 806 597,5 514 401,5 715 211,5 712 089
   Slovakia,,703,B, 18 187, 30 531, 51 253, 58 716, 66 938, 89 011, 100 551
   Ukraine*,,804,B,2 953 603,2 644 845,2 368 364,2 168 060,2 072 474,2 113 924,2 149 298
  Northern Europe,,924,,3 176 421,3 404 174,3 711 179,4 564 413,5 447 856,6 347 909,7 257 061
   Channel Islands*,6,830,B, 29 005, 28 468, 30 234, 33 611, 36 982, 39 338, 40 190
   Denmark*,7,208,B, 114 411, 147 194, 179 977, 213 097, 242 029, 291 431, 354 476
   Estonia,,233,B, 171 691, 136 268, 100 844, 94 244, 87 644, 80 024, 86 767
   Faroe Islands*,8,234,B, 2 440, 1 575, 1 921, 2 450, 2 700, 2 783, 3 542
   Finland*,,246,B, 31 682, 49 575, 67 469, 96 429, 115 105, 159 315, 198 822
   Iceland,,352,B, 4 248, 5 727, 7 207, 12 413, 17 619, 19 070, 35 716
   Ireland,,372,B, 112 093, 108 084, 172 959, 309 910, 360 440, 376 338, 434 756
   Isle of Man*,9,833,B, 16 371, 17 548, 18 725, 20 214, 21 361, 20 596, 20 987
