"Region, development group, country or area",Notes,Location code,Type of data,1990,1995,2000,2005,2010,2015,2020
   Togo,,768,C R, 84 844, 101 583, 137 968, 204 219, 255 564, 277 384, 279 936
 ASIA,,935,,48 209 949,46 418 044,49 066 986,53 249 787,66 123 640,77 191 249,85 618 502
  Central Asia,,5500,,6 630 683,5 904 795,5 189 082,5 235 877,5 264 938,5 392 792,5 564 042
   Kazakhstan,,398,B R,3 619 200,3 251 968,2 874 194,3 103 027,3 334 937,3 546 060,3 732 073
   Kyrgyzstan,,417,B R, 623 083, 518 338, 389 824, 309 399, 232 065, 204 382, 199 011
   Tajikistan,,762,B R, 428 900, 348 347, 299 499, 280 466, 279 808, 275 101, 276 031
   Turkmenistan,,795,B R, 306 500, 273 565, 219 067, 213 053, 197 979, 196 376, 194 920
   Uzbekistan,,860,B R,1 653 000,1 512 577,1 406 498,1 329 932,1 220 149,1 170 873,1 162 007
  Eastern Asia,,906,,3 959 266,4 639 749,5 393 004,6 228 684,7 062 527,7 866 663,8 975 729
   China*,,156,C, 376 361, 442 198, 508 034, 678 947, 849 861, 978 046,1 039 675
"   China, Hong Kong SAR*",,344,B R,2 218 473,2 443 798,2 669 122,2 721 235,2 779 950,2 841 113,2 962 492
"   China, Macao SAR*",,446,B, 205 047, 224 929, 240 791, 279 308, 318 506, 376 066, 403 490
"   China, Taiwan Province of China*",,158,,..,..,..,..,..,..,..
   Dem. People's Republic of Korea,,408,I, 34 103, 35 143, 36 183, 40 097, 44 010, 48 458, 49 549
   Japan,,392,C,1 075 317,1 362 371,1 686 444,2 011 555,2 134 151,2 232 189,2 770 996
   Mongolia,,496,C R, 6 718, 7 424, 8 206, 11 477, 16 062, 19 886, 21 345
   Republic of Korea,,410,C R, 43 247, 123 886, 244 224, 486 065, 919 987,1 370 905,1 728 182
  South-Eastern Asia,,920,,2 876 616,3 700 057,5 113 208,6 750 473,8 697 936,10 161 147,10 615 377
   Brunei Darussalam,,96,B, 73 200, 84 748, 96 296, 98 441, 100 587, 102 733, 111 959
   Cambodia,,116,B R, 38 375, 92 230, 146 085, 114 096, 82 028, 73 962, 79 341
   Indonesia,,360,B R, 465 612, 378 960, 292 307, 289 310, 307 487, 338 124, 355 505
   Lao People's Democratic Republic,,418,C R, 22 866, 23 526, 21 948, 20 371, 32 955, 45 538, 48 731
   Malaysia*,,458,C R, 695 920, 937 368,1 463 598,1 918 504,2 417 395,3 280 681,3 476 560
   Myanmar,,104,C, 133 545, 113 663, 98 011, 83 025, 76 414, 73 309, 76 446
   Philippines,,608,C R, 154 071, 207 345, 318 095, 257 468, 208 599, 211 862, 225 525
   Singapore,,702,B, 727 262, 991 492,1 351 691,1 710 594,2 164 794,2 483 405,2 523 648
   Thailand,,764,B R, 528 693, 809 720,1 257 821,2 195 610,3 234 381,3 470 220,3 632 496
   Timor-Leste,,626,B R, 8 954, 9 743, 10 602, 11 286, 11 540, 8 520, 8 399
   Viet Nam,,704,C R, 28 118, 51 262, 56 754, 51 768, 61 756, 72 793, 76 767
  Southern Asia,,5501,,19 537 940,15 343 019,14 950 743,13 618 667,14 411 845,13 873 473,13 863 534
   Afghanistan,,4,B R, 57 686, 71 522, 75 917, 87 314, 102 276, 339 432, 144 098
   Bangladesh,,50,B R, 881 617, 934 735, 987 853,1 062 270,1 345 546,1 422 179,2 115 408
   Bhutan,,64,B, 23 807, 27 972, 32 137, 40 279, 48 420, 51 106, 53 612
   India,,356,B R,7 594 801,6 952 238,6 411 331,5 936 740,5 574 018,5 210 847,4 878 704
   Iran (Islamic Republic of),,364,C R,4 291 601,2 937 668,2 476 469,2 552 206,2 722 397,2 729 939,2 797 235
   Maldives,,462,C, 8 689, 18 510, 27 092, 45 045, 54 659, 64 273, 70 079
   Nepal,,524,B R, 429 974, 690 225, 717 900, 680 729, 581 889, 509 471, 487 564
   Pakistan,,586,B R,6 208 204,3 669 308,4 181 912,3 174 558,3 943 681,3 506 520,3 276 580
   Sri Lanka,,144,B R, 41 561, 40 841, 40 132, 39 526, 38 959, 39 706, 40 254
  Western Asia,,922,,15 205 444,16 830 424,18 420 949,21 416 086,30 686 394,39 897 174,46 599 820
   Armenia,,51,B R, 658 789, 693 999, 657 900, 469 189, 211 147, 191 199, 190 349
   Azerbaijan*,,31,B R, 360 600, 344 070, 327 540, 301 834, 276 901, 264 359, 252 228
   Bahrain,,48,C R, 173 212, 205 979, 239 361, 404 018, 666 406, 722 487, 936 094
   Cyprus*,,196,B, 43 805, 61 941, 80 076, 122 849, 188 472, 176 693, 190 366
   Georgia*,,268,B R, 304 470, 152 235, 76 117, 71 296, 73 078, 76 685, 79 368
   Iraq,,368,C R, 83 638, 199 460, 210 525, 134 863, 120 466, 359 352, 365 766
   Israel,,376,B R,1 632 704,1 792 185,1 851 309,1 889 503,1 956 190,2 011 727,1 953 575
   Jordan,,400,C R,1 146 349,1 537 097,1 927 845,2 198 740,2 786 853,3 166 961,3 457 691
   Kuwait,,414,C R,1 074 391, 921 954,1 127 640,1 333 530,1 874 812,2 866 136,3 110 159
   Lebanon,,422,B R, 523 693, 608 303, 692 913, 742 243, 793 191,1 916 259,1 712 762
   Oman,,512,C R, 304 000, 539 643, 623 608, 666 164, 816 234,1 856 226,2 372 836
   Qatar,,634,C, 309 753, 361 673, 359 697, 646 026,1 456 413,1 687 640,2 226 192
   Saudi Arabia,,682,C R,4 998 445,5 122 702,5 263 387,6 501 819,8 429 956,10 771 366,13 454 842
   State of Palestine*,5,275,B, 288 332, 281 767, 275 202, 274 520, 273 840, 273 163, 272 784
   Syrian Arab Republic,,760,C R, 714 140, 830 610, 834 916, 882 398,1 783 595, 835 716, 868 711
   Turkey,,792,B R,1 163 686,1 216 173,1 280 963,1 324 108,1 373 749,4 346 197,6 052 652
   United Arab Emirates,,784,C R,1 306 574,1 824 118,2 447 010,3 281 115,7 316 697,7 995 126,8 716 332
   Yemen,,887,C R, 118 863, 136 515, 144 940, 171 871, 288 394, 379 882, 387 113
 EUROPE,,908,,49 608 225,53 489 827,56 858 793,63 585 731,70 627 160,74 759 083,86 706 068
  Eastern Europe,,923,,21 995 312,21 344 124,20 435 785,19 744 557,19 110 686,19 833 989,20 835 402
   Belarus,,112,B,1 248 977,1 186 282,1 123 586,1 106 982,1 090 378,1 082 905,1 067 090
   Bulgaria,,100,B, 21 510, 32 435, 43 360, 61 074, 76 287, 123 803, 184 363
   Czechia,,203,C, 110 394, 165 592, 220 789, 322 540, 398 493, 416 454, 540 921
   Hungary,,348,B, 347 510, 322 234, 296 957, 366 787, 436 616, 475 508, 584 567
   Poland,,616,B,1 127 771, 964 725, 825 251, 722 509, 642 417, 611 855, 817 254
   Republic of Moldova*,,498,B, 544 162, 367 231, 247 828, 171 122, 129 488, 106 374, 104 438
   Romania,,642,B, 135 825, 135 037, 134 254, 145 162, 177 211, 281 048, 705 310
   Russian Federation,,643,B,11 524 948,11 928 927,11 900 297,11 667 588,11 194 710,11 643 276,11 636 911
   Slovakia,,703,B, 41 295, 69 323, 116 376, 130 491, 146 319, 177 624, 197 161
   Ukraine*,,804,B,6 892 920,6 172 338,5 527 087,5 050 302,4 818 767,4 915 142,4 997 387
  Northern Europe,,924,,6 645 605,7 194 824,7 900 973,9 588 814,11 294 937,13 191 086,14 973 861
   Channel Islands*,6,830,B, 61 660, 60 519, 64 301, 70 941, 77 581, 82 307, 84 087
   Denmark*,7,208,B, 235 189, 303 108, 371 026, 440 383, 500 772, 595 876, 717 574
   Estonia,,233,B, 381 997, 315 755, 249 512, 233 701, 217 890, 194 664, 199 277
   Faroe Islands*,8,234,B, 4 285, 2 900, 3 593, 4 583, 5 096, 5 485, 6 812
   Finland*,,246,B, 63 255, 99 729, 136 203, 192 169, 228 481, 314 856, 386 052
   Iceland,,352,B, 9 584, 12 738, 15 892, 25 492, 35 091, 39 072, 65 424
   Ireland,,372,B, 227 961, 226 892, 350 552, 589 046, 730 542, 759 256, 871 256
   Isle of Man*,9,833,B, 34 769, 36 886, 39 002, 41 475, 43 447, 42 238, 43 040
   Latvia,,428,B, 646 007, 538 093, 430 178, 376 725, 313 786, 265 418, 239 422
   Lithuania,,440,B, 349 258, 273 587, 214 311, 201 209, 160 772, 136 021, 145 184
   Norway*,,578,B, 192 587, 233 302, 292 440, 361 144, 524 601, 746 375, 852 238
   Sweden,,752,B, 788 767, 936 022,1 003 798,1 125 790,1 337 214,1 602 522,2 003 908
   United Kingdom*,10,826,B,3 650 286,4 155 293,4 730 165,5 926 156,7 119 664,8 406 996,9 359 587
  Southern Europe,,925,,4 340 433,6 230 114,7 681 658,12 004 024,16 206 273,15 815 457,17 665 688
   Albania,,8,B, 66 013, 71 354, 76 695, 64 739, 52 784, 52 031, 48 810
   Andorra,,20,C, 38 891, 44 206, 42 147, 50 298, 52 053, 42 264, 45 574
   Bosnia and Herzegovina,,70,I R, 56 000, 69 476, 82 952, 47 287, 38 945, 38 597, 36 042
   Croatia,,191,B, 475 438, 674 085, 585 298, 579 273, 573 248, 561 093, 528 056
   Gibraltar*,11,292,B, 8 709, 8 381, 8 054, 9 211, 10 369, 11 065, 11 190
   Greece,,300,B, 618 139, 857 850,1 111 665,1 190 707,1 321 149,1 242 924,1 340 456
   Holy See*,,336,I,  762,  778,  790,  798,  783,  790,  809
   Italy,,380,B,1 428 219,1 774 954,2 121 688,3 954 790,5 787 893,5 805 328,6 386 998
   Malta,,470,B, 15 077, 17 740, 21 521, 24 560, 33 008, 52 642, 114 760
   Montenegro,,499,B,..,..,..,.., 78 512, 71 719, 70 999
   North Macedonia,,807,B, 95 142, 109 343, 125 665, 127 667, 129 701, 130 730, 131 311
   Portugal,,620,B, 435 782, 532 822, 651 472, 771 184, 762 825, 864 814,1 001 963
   San Marino,,674,C, 3 310, 3 659, 4 045, 4 218, 4 880, 5 195, 5 543
   Serbia*,,688,B, 99 269, 870 980, 977 873, 854 848, 826 275, 807 441, 823 011
   Slovenia,,705,B, 178 077, 174 419, 214 508, 217 218, 253 786, 237 616, 277 964
   Spain*,,724,B, 821 605,1 020 067,1 657 285,4 107 226,6 280 062,5 891 208,6 842 202
  Western Europe,,926,,16 626 875,18 720 765,20 840 377,22 248 336,24 015 264,25 918 551,33 231 117
   Austria,,40,B, 793 239, 894 893, 996 547,1 127 164,1 274 901,1 483 123,1 738 183
   Belgium,,56,B,1 280 583,1 288 003,1 268 368,1 248 733,1 503 806,1 783 488,2 005 479
   France*,12,250,B,5 897 267,6 087 993,6 278 718,6 737 600,7 309 986,7 878 338,8 524 876
   Germany,,276,B,5 936 181,7 464 406,8 992 631,9 402 447,9 812 263,10 220 418,15 762 457
   Liechtenstein,,438,B, 10 906, 13 311, 15 483, 18 898, 22 342, 23 799, 25 877
   Luxembourg,,442,B, 113 795, 126 106, 139 750, 150 618, 163 142, 248 888, 298 062
   Monaco,,492,B, 20 359, 21 060, 21 787, 21 312, 21 132, 25 983, 26 601
   Netherlands*,13,528,B,1 182 263,1 346 164,1 556 337,1 736 127,1 832 510,1 996 318,2 358 333
   Switzerland,,756,B,1 392 282,1 478 829,1 570 756,1 805 437,2 075 182,2 258 196,2 491 249
 LATIN AMERICA AND THE CARIBBEAN,,904,,7 135 971,6 661 553,6 539 738,7 184 113,8 326 588,9 441 503,14 794 623
  Caribbean,,915,,1 031 083,1 121 563,1 216 872,1 275 731,1 338 893,1 501 081,1 605 148
   Anguilla*,14,660,B R, 2 570, 3 317, 4 063, 4 684, 5 103, 5 471, 5 715
   Antigua and Barbuda,,28,B R, 12 029, 17 550, 23 071, 24 741, 26 412, 28 082, 29 386
   Aruba*,15,533,B R, 14 444, 22 274, 30 104, 32 540, 34 328, 36 114, 53 593
   Bahamas,,44,B R, 26 855, 31 654, 36 454, 45 531, 54 745, 59 241, 63 583
   Barbados,,52,B R, 24 024, 26 224, 28 424, 30 624, 32 825, 34 475, 34 869
"   Bonaire, Sint Eustatius and Saba*",16,535,B, 13 010, 15 101, 14 387, 14 399, 20 941, 24 571, 26 221
   British Virgin Islands*,18,92,B R, 8 035, 10 046, 12 958, 15 016, 17 076, 19 535, 22 164
   Cayman Islands*,19,136,C R, 9 315, 12 666, 19 176, 20 679, 24 062, 26 193, 29 242
   Cuba,,192,B, 34 555, 26 187, 18 545, 11 693, 7 373, 4 649, 3 024
   Curaçao*,20,531,B R,..,..,..,.., 34 630, 37 611, 57 210
   Dominica,,212,B, 2 519, 3 121, 3 723, 4 744, 8 110, 8 093, 8 284
   Dominican Republic,,214,B R, 291 151, 323 381, 355 611, 375 417, 395 479, 549 289, 603 794
   Grenada,,308,B, 4 263, 5 544, 6 825, 6 902, 6 980, 7 057, 7 213
   Guadeloupe*,21,312,B, 65 944, 74 566, 83 188, 89 065, 94 942, 90 956, 90 206
   Haiti,,332,B R, 19 084, 18 129, 17 222, 16 360, 17 182, 18 047, 18 884
   Jamaica,,388,B R, 20 475, 22 713, 24 952, 24 284, 23 677, 23 165, 23 629
   Martinique*,22,474,B R, 38 705, 46 599, 54 492, 57 034, 59 575, 69 174, 68 624
   Montserrat*,23,500,B, 2 013, 1 612, 1 211, 1 244, 1 291, 1 351, 1 379
   Puerto Rico*,24,630,B, 321 909, 338 067, 355 038, 352 144, 304 969, 280 494, 247 132
   Saint Barthélemy*,,652,,..,..,..,..,..,..,..
   Saint Kitts and Nevis,,659,B R, 3 210, 4 248, 5 871, 6 682, 7 245, 7 443, 7 725
   Saint Lucia,,662,B R, 5 305, 7 155, 9 871, 9 839, 9 050, 8 673, 8 338
   Saint Martin (French part)*,,663,,..,..,..,..,..,..,..
   Saint Vincent and the Grenadines,,670,B R, 3 970, 4 135, 4 307, 4 436, 4 569, 4 637, 4 738
   Sint Maarten (Dutch part)*,25,534,B R,..,..,.., 13 099, 26 203, 27 295, 28 845
   Trinidad and Tobago,,780,B R, 50 666, 45 994, 41 753, 44 812, 48 226, 50 021, 78 849
   Turks and Caicos Islands*,26,796,B R, 5 062, 7 039, 9 015, 13 115, 17 216, 22 723, 25 748
   United States Virgin Islands*,27,850,B, 51 970, 54 241, 56 611, 56 647, 56 684, 56 721, 56 753
  Central America,,916,,1 829 911,1 298 916,1 107 577,1 378 041,1 751 028,1 860 215,2 302 001
   Belize,,84,B R , 30 404, 33 446, 36 488, 41 438, 46 390, 54 615, 62 043
   Costa Rica,,188,B R, 417 628, 364 287, 310 946, 358 398, 405 779, 411 697, 520 729
   El Salvador,,222,B R, 47 360, 39 537, 31 713, 36 029, 40 342, 42 059, 42 767
   Guatemala,,320,B R, 264 257, 156 188, 48 119, 57 214, 66 386, 74 852, 84 311
   Honduras,,340,B R, 270 423, 149 442, 28 461, 27 934, 27 288, 38 330, 39 195
   Mexico,,484,B R, 695 674, 458 549, 538 051, 712 648, 969 710,1 013 691,1 197 624
   Nicaragua,,558,B R, 41 421, 26 619, 30 389, 34 919, 37 345, 40 261, 42 167
   Panama,,591,B R, 62 744, 70 848, 83 410, 109 461, 157 788, 184 710, 313 165
  South America,,931,,4 274 977,4 241 074,4 215 289,4 530 341,5 236 667,6 080 207,10 887 474
   Argentina,,32,B R,1 649 919,1 595 069,1 540 219,1 674 163,1 805 957,2 086 301,2 281 728
   Bolivia (Plurinational State of),,68,B R, 73 758, 83 598, 92 658, 107 745, 122 846, 143 008, 164 121
   Brazil,,76,B R, 798 517, 741 557, 684 596, 638 582, 592 640, 710 304,1 079 708
   Chile,,152,B, 107 501, 142 417, 177 332, 276 360, 375 388, 639 724,1 645 015
   Colombia,,170,B, 104 277, 106 943, 109 609, 106 523, 130 309, 159 407,1 905 393
   Ecuador,,218,B R, 78 663, 115 093, 151 523, 189 893, 375 253, 387 513, 784 787
   Falkland Islands (Malvinas)*,28,238,B,  855,  868, 1 067, 1 166, 1 436, 1 571, 1 957
   French Guiana*,29,254,B R, 63 612, 70 131, 76 649, 86 468, 96 288, 106 108, 119 249
   Guyana,,328,B R, 4 095, 6 352, 8 610, 10 868, 8 182, 8 661, 31 169
   Paraguay,,600,B R, 195 884, 186 570, 176 608, 168 243, 160 299, 156 462, 169 567
   Peru,,604,B R, 56 688, 56 732, 66 300, 77 877, 104 706, 154 774,1 224 519
   Suriname,,740,C R, 18 083, 22 320, 27 506, 33 662, 39 713, 43 127, 47 801
   Uruguay,,858,B R, 98 116, 93 428, 88 874, 82 317, 76 303, 78 799, 108 267
   Venezuela (Bolivarian Republic of),,862,B R,1 025 009,1 019 996,1 013 738,1 076 474,1 347 347,1 404 448,1 324 193
 NORTHERN AMERICA,,905,,27 610 408,33 340 948,40 351 710,45 363 089,50 970 524,55 633 741,58 708 795
   Bermuda*,30,60,B, 15 683, 16 676, 17 684, 18 108, 18 547, 19 212, 19 739
   Canada,,124,B,4 333 318,4 864 778,5 511 914,6 078 985,6 761 226,7 428 657,8 049 323
   Greenland*,31,304,B, 9 282, 7 121, 6 601, 6 556, 6 091, 6 009, 5 899
   Saint Pierre and Miquelon*,32,666,B, 1 099, 1 320, 1 458, 1 147, 1 017,  986,  998
   United States of America*,33,840,B,23 251 026,28 451 053,34 814 053,39 258 293,44 183 643,48 178 877,50 632 836
 OCEANIA ,,909,,4 731 938,5 022 527,5 361 681,6 024 021,7 128 598,8 072 276,9 380 653
  Australia and New Zealand,,927,,4 473 260,4 741 947,5 065 063,5 717 982,6 830 423,7 769 466,9 067 584
   Australia*,,36,B,3 955 213,4 153 330,4 386 250,4 878 030,5 882 980,6 729 730,7 685 860
   New Zealand*,34,554,B, 518 047, 588 617, 678 813, 839 952, 947 443,1 039 736,1 381 724
  Melanesia,,928,, 91 200, 96 828, 95 281, 103 881, 110 691, 119 343, 124 073
   Fiji,,242,B R, 13 283, 13 001, 12 719, 12 434, 13 357, 13 751, 14 087
   New Caledonia*,,540,B, 37 673, 43 662, 49 651, 55 405, 61 158, 68 881, 73 141
   Papua New Guinea,,598,C R, 33 710, 33 526, 26 304, 29 971, 30 425, 30 940, 31 068
   Solomon Islands,,90,B R, 4 226, 4 178, 3 981, 3 271, 2 760, 2 585, 2 520
   Vanuatu,,548,B R, 2 308, 2 461, 2 626, 2 800, 2 991, 3 186, 3 257
  Micronesia,,954,, 108 969, 118 687, 130 186, 128 390, 114 743, 113 466, 118 860
   Guam*,35,316,B, 69 755, 71 912, 74 070, 74 743, 75 416, 76 089, 80 472
   Kiribati,,296,B, 2 162, 2 223, 2 283, 2 487, 2 868, 2 919, 3 126
   Marshall Islands,,584,B, 1 158, 1 480, 1 891, 2 417, 3 089, 3 284, 3 298
   Micronesia (Fed. States of),,583,B, 3 685, 3 342, 3 116, 2 905, 2 806, 2 756, 2 832
   Nauru,,520,C R, 2 815, 2 605, 2 394, 2 253,  906, 1 833, 2 201
   Northern Mariana Islands*,36,580,B, 26 593, 32 376, 40 122, 37 542, 24 168, 21 648, 21 843
   Palau,,585,B, 2 801, 4 749, 6 310, 6 043, 5 490, 4 937, 5 088
  Polynesia*,,957,, 58 509, 65 065, 71 151, 73 768, 72 741, 70 001, 70 136
   American Samoa*,,16,B, 21 283, 23 098, 24 912, 24 233, 23 555, 23 513, 23 608
   Cook Islands*,37,184,B R, 2 587, 2 686, 2 785, 3 277, 3 769, 4 168, 4 579
