"Region, development group, country or area",Notes,Location code,Type of data,1990,1995,2000,2005,2010,2015,2020
   Czechia,,203,C, 10 341, 10 358, 10 289, 10 258, 10 537, 10 601, 10 709
   Hungary,,348,B, 10 377, 10 349, 10 221, 10 086, 9 927, 9 778, 9 660
   Poland,,616,B, 37 960, 38 459, 38 557, 38 369, 38 330, 38 034, 37 847
   Republic of Moldova*,,498,B, 4 366, 4 341, 4 203, 4 159, 4 086, 4 071, 4 034
   Romania,,642,B, 23 489, 22 965, 22 137, 21 417, 20 472, 19 925, 19 238
   Russian Federation,,643,B, 147 532, 148 227, 146 405, 143 672, 143 479, 144 985, 145 934
   Slovakia,,703,B, 5 288, 5 375, 5 399, 5 399, 5 404, 5 436, 5 460
   Ukraine*,,804,B, 51 463, 50 904, 48 838, 46 891, 45 792, 44 922, 43 734
  Northern Europe,,924,, 92 036, 93 177, 94 454, 96 307, 100 398, 103 519, 106 261
   Channel Islands*,6,830,B,  141,  143,  148,  152,  160,  165,  174
   Denmark*,7,208,B, 5 141, 5 233, 5 341, 5 422, 5 555, 5 689, 5 792
   Estonia,,233,B, 1 565, 1 433, 1 399, 1 356, 1 332, 1 315, 1 327
   Faroe Islands*,8,234,B,  47,  46,  47,  48,  48,  48,  49
   Finland*,,246,B, 4 996, 5 119, 5 188, 5 259, 5 366, 5 481, 5 541
   Iceland,,352,B,  255,  268,  280,  295,  320,  330,  341
   Ireland,,372,B, 3 511, 3 592, 3 783, 4 141, 4 554, 4 652, 4 938
   Isle of Man*,9,833,B,  70,  72,  77,  80,  85,  83,  85
   Latvia,,428,B, 2 664, 2 508, 2 384, 2 252, 2 119, 1 998, 1 886
   Lithuania,,440,B, 3 696, 3 627, 3 502, 3 344, 3 124, 2 932, 2 722
   Norway*,,578,B, 4 247, 4 367, 4 499, 4 632, 4 886, 5 200, 5 421
   Sweden,,752,B, 8 567, 8 836, 8 882, 9 039, 9 390, 9 765, 10 099
   United Kingdom*,10,826,B, 57 134, 57 932, 58 923, 60 288, 63 460, 65 860, 67 886
  Southern Europe,,925,, 143 504, 144 332, 144 847, 149 676, 153 016, 153 065, 152 215
   Albania,,8,B, 3 286, 3 113, 3 129, 3 087, 2 948, 2 891, 2 878
   Andorra,,20,C,  55,  64,  65,  79,  84,  78,  77
   Bosnia and Herzegovina,,70,I R, 4 463, 3 829, 3 751, 3 765, 3 705, 3 429, 3 281
   Croatia,,191,B, 4 776, 4 617, 4 428, 4 378, 4 328, 4 233, 4 105
   Gibraltar*,11,292,B,  29,  29,  31,  33,  34,  34,  34
   Greece,,300,B, 10 226, 10 746, 11 082, 11 225, 10 888, 10 660, 10 423
   Holy See*,,336,I,  1,  1,  1,  1,  1,  1,  1
   Italy,,380,B, 57 048, 57 174, 56 692, 58 281, 59 325, 60 578, 60 462
   Malta,,470,B,  362,  377,  394,  405,  414,  434,  442
   Montenegro,,499,B,  615,  620,  614,  616,  624,  627,  628
   North Macedonia,,807,B, 1 996, 1 983, 2 035, 2 060, 2 071, 2 079, 2 083
   Portugal,,620,B, 9 895, 10 091, 10 297, 10 508, 10 596, 10 368, 10 197
   San Marino,,674,C,  24,  26,  27,  29,  31,  33,  34
   Serbia*,,688,B, 9 518, 9 884, 9 488, 9 194, 8 991, 8 877, 8 737
   Slovenia,,705,B, 2 006, 1 991, 1 988, 1 995, 2 043, 2 071, 2 079
   Spain*,,724,B, 39 203, 39 787, 40 825, 44 019, 46 931, 46 672, 46 755
  Western Europe,,926,, 175 510, 180 050, 182 339, 185 804, 188 126, 192 084, 196 146
   Austria,,40,B, 7 724, 7 990, 8 069, 8 254, 8 410, 8 679, 9 006
   Belgium,,56,B, 10 007, 10 186, 10 282, 10 547, 10 939, 11 288, 11 590
   France*,12,250,B, 56 667, 57 802, 59 015, 61 120, 62 880, 64 453, 65 274
   Germany,,276,B, 79 054, 81 139, 81 401, 81 603, 80 827, 81 787, 83 784
   Liechtenstein,,438,B,  29,  31,  33,  35,  36,  37,  38
   Luxembourg,,442,B,  382,  408,  436,  458,  508,  567,  626
   Monaco,,492,B,  29,  31,  32,  34,  36,  38,  39
   Netherlands*,13,528,B, 14 965, 15 468, 15 926, 16 367, 16 683, 16 938, 17 135
   Switzerland,,756,B, 6 653, 6 996, 7 144, 7 387, 7 809, 8 297, 8 655
 LATIN AMERICA AND THE CARIBBEAN,,904,, 442 840, 483 018, 521 836, 557 501, 591 352, 623 934, 653 962
  Caribbean,,915,, 34 058, 36 162, 38 102, 39 746, 41 217, 42 622, 43 532
   Anguilla*,14,660,B R,  9,  10,  11,  12,  13,  14,  15
   Antigua and Barbuda,,28,B R,  63,  69,  76,  81,  88,  94,  98
   Aruba*,15,533,B R,  62,  80,  91,  100,  102,  104,  107
   Bahamas,,44,B R,  256,  280,  298,  325,  355,  374,  393
   Barbados,,52,B R,  261,  266,  272,  276,  282,  285,  287
"   Bonaire, Sint Eustatius and Saba*",16,535,B,  13,  15,  14,  14,  21,  25,  26
   British Virgin Islands*,18,92,B R,  17,  19,  20,  23,  28,  29,  30
   Cayman Islands*,19,136,C R,  25,  32,  42,  49,  57,  62,  66
   Cuba,,192,B, 10 597, 10 888, 11 126, 11 262, 11 226, 11 325, 11 327
   Curaçao*,20,531,B R,  147,  144,  132,  130,  149,  160,  164
   Dominica,,212,B,  70,  71,  70,  71,  71,  71,  72
   Dominican Republic,,214,B R, 7 133, 7 819, 8 471, 9 097, 9 695, 10 282, 10 848
   Grenada,,308,B,  96,  100,  103,  105,  106,  110,  113
   Guadeloupe*,21,312,B,  389,  404,  422,  403,  406,  400,  400
   Haiti,,332,B R, 7 038, 7 745, 8 464, 9 195, 9 949, 10 696, 11 403
   Jamaica,,388,B R, 2 420, 2 534, 2 655, 2 740, 2 810, 2 891, 2 961
   Martinique*,22,474,B R,  358,  369,  387,  397,  395,  378,  375
   Montserrat*,23,500,B,  11,  10,  5,  5,  5,  5,  5
   Puerto Rico*,24,630,B, 3 403, 3 568, 3 669, 3 632, 3 580, 3 382, 2 861
   Saint Barthélemy*,,652,,  5,  6,  7,  9,  9,  10,  10
   Saint Kitts and Nevis,,659,B R,  40,  42,  44,  47,  49,  51,  53
   Saint Lucia,,662,B R,  138,  147,  157,  163,  174,  179,  184
   Saint Martin (French part)*,,663,,  32,  27,  29,  34,  38,  36,  39
   Saint Vincent and the Grenadines,,670,B R,  107,  108,  108,  109,  108,  109,  111
   Sint Maarten (Dutch part)*,25,534,B R,  29,  31,  33,  33,  34,  40,  43
   Trinidad and Tobago,,780,B R, 1 221, 1 254, 1 267, 1 296, 1 328, 1 370, 1 399
   Turks and Caicos Islands*,26,796,B R,  12,  16,  20,  28,  33,  36,  39
   United States Virgin Islands*,27,850,B,  104,  107,  109,  108,  106,  105,  104
  Central America,,916,, 113 384, 124 554, 135 322, 145 951, 157 591, 168 949, 179 670
   Belize,,84,B R ,  188,  207,  247,  284,  322,  361,  398
   Costa Rica,,188,B R, 3 119, 3 546, 3 962, 4 286, 4 577, 4 848, 5 094
   El Salvador,,222,B R, 5 270, 5 629, 5 888, 6 052, 6 184, 6 325, 6 486
   Guatemala,,320,B R, 9 264, 10 408, 11 651, 13 096, 14 630, 16 252, 17 916
   Honduras,,340,B R, 4 955, 5 709, 6 575, 7 459, 8 317, 9 113, 9 905
   Mexico,,484,B R, 83 943, 91 663, 98 900, 106 005, 114 093, 121 858, 128 933
   Nicaragua,,558,B R, 4 173, 4 652, 5 069, 5 439, 5 824, 6 223, 6 625
   Panama,,591,B R, 2 471, 2 740, 3 030, 3 330, 3 643, 3 968, 4 315
  South America,,931,, 295 398, 322 302, 348 412, 371 805, 392 544, 412 363, 430 760
   Argentina,,32,B R, 32 619, 34 828, 36 871, 38 893, 40 896, 43 075, 45 196
   Bolivia (Plurinational State of),,68,B R, 6 865, 7 622, 8 418, 9 232, 10 049, 10 870, 11 673
   Brazil,,76,B R, 149 003, 162 020, 174 790, 186 127, 195 714, 204 472, 212 559
   Chile,,152,B, 13 275, 14 381, 15 342, 16 183, 17 063, 17 969, 19 116
   Colombia,,170,B, 33 103, 36 421, 39 630, 42 648, 45 223, 47 521, 50 883
   Ecuador,,218,B R, 10 231, 11 455, 12 681, 13 826, 15 011, 16 212, 17 643
   Falkland Islands (Malvinas)*,28,238,B,  2,  3,  3,  3,  3,  3,  3
   French Guiana*,29,254,B R,  116,  137,  163,  203,  233,  261,  299
   Guyana,,328,B R,  743,  761,  747,  746,  749,  767,  787
   Paraguay,,600,B R, 4 223, 4 777, 5 323, 5 824, 6 248, 6 689, 7 133
   Peru,,604,B R, 22 071, 24 299, 26 460, 27 866, 29 028, 30 471, 32 972
   Suriname,,740,C R,  405,  442,  471,  499,  529,  559,  587
   Uruguay,,858,B R, 3 110, 3 224, 3 320, 3 322, 3 359, 3 412, 3 474
   Venezuela (Bolivarian Republic of),,862,B R, 19 633, 21 931, 24 192, 26 432, 28 440, 30 082, 28 436
 NORTHERN AMERICA,,905,, 279 785, 294 454, 312 427, 327 287, 343 287, 357 031, 368 870
   Bermuda*,30,60,B,  62,  63,  65,  66,  65,  64,  62
   Canada,,124,B, 27 541, 29 164, 30 588, 32 164, 34 148, 36 027, 37 742
   Greenland*,31,304,B,  56,  56,  56,  57,  57,  56,  57
   Saint Pierre and Miquelon*,32,666,B,  6,  6,  6,  6,  6,  6,  6
   United States of America*,33,840,B, 252 120, 265 164, 281 711, 294 994, 309 011, 320 878, 331 003
 OCEANIA ,,909,, 27 299, 29 390, 31 425, 33 690, 36 873, 39 859, 42 678
  Australia and New Zealand,,927,, 20 359, 21 668, 22 850, 24 314, 26 525, 28 547, 30 322
   Australia*,,36,B, 16 961, 17 993, 18 991, 20 179, 22 155, 23 932, 25 500
   New Zealand*,34,554,B, 3 398, 3 675, 3 859, 4 135, 4 370, 4 615, 4 822
  Melanesia,,928,, 5 973, 6 683, 7 473, 8 232, 9 188, 10 122, 11 123
   Fiji,,242,B R,  729,  775,  811,  822,  860,  869,  896
   New Caledonia*,,540,B,  170,  193,  217,  236,  254,  271,  285
   Papua New Guinea,,598,C R, 4 616, 5 187, 5 848, 6 495, 7 311, 8 108, 8 947
   Solomon Islands,,90,B R,  312,  359,  413,  470,  528,  603,  687
   Vanuatu,,548,B R,  147,  168,  185,  209,  236,  271,  307
  Micronesia,,954,,  417,  455,  485,  498,  504,  523,  549
   Guam*,35,316,B,  130,  146,  155,  158,  159,  162,  169
   Kiribati,,296,B,  72,  78,  84,  92,  103,  111,  119
   Marshall Islands,,584,B,  47,  50,  51,  55,  56,  57,  59
   Micronesia (Fed. States of),,583,B,  96,  108,  107,  106,  103,  109,  115
   Nauru,,520,C R,  10,  11,  10,  10,  10,  10,  11
   Northern Mariana Islands*,36,580,B,  46,  46,  57,  57,  54,  56,  58
   Palau,,585,B,  15,  17,  19,  20,  18,  18,  18
  Polynesia*,,957,,  550,  583,  616,  646,  657,  667,  684
   American Samoa*,,16,B,  47,  53,  58,  60,  56,  56,  55
   Cook Islands*,37,184,B R,  18,  19,  18,  19,  18,  18,  18
   French Polynesia*,38,258,B R,  200,  218,  241,  259,  266,  273,  281
   Niue*,39,570,B,  2,  2,  2,  2,  2,  2,  2
   Samoa,,882,B R,  163,  170,  174,  180,  186,  194,  198
   Tokelau*,40,772,B R,  2,  2,  2,  1,  1,  1,  1
   Tonga,,776,B R,  95,  96,  98,  101,  104,  101,  106
   Tuvalu,,798,C,  9,  9,  9,  10,  11,  11,  12
   Wallis and Futuna Islands*,41,876,B R,  14,  14,  15,  15,  13,  12,  11
