,"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
120,   nepal,524,429974,690225,717900,680729,581889,509471,487564
121,   pakistan,586,6208204,3669308,4181912,3174558,3943681,3506520,3276580
122,   sri lanka,144,41561,40841,40132,39526,38959,39706,40254
123,  western asia,922,15205444,16830424,18420949,21416086,30686394,39897174,46599820
124,   armenia,51,658789,693999,657900,469189,211147,191199,190349
125,   azerbaijan*,31,360600,344070,327540,301834,276901,264359,252228
126,   bahrain,48,173212,205979,239361,404018,666406,722487,936094
127,   cyprus*,196,43805,61941,80076,122849,188472,176693,190366
128,   georgia*,268,304470,152235,76117,71296,73078,76685,79368
129,   iraq,368,83638,199460,210525,134863,120466,359352,365766
130,   israel,376,1632704,1792185,1851309,1889503,1956190,2011727,1953575
131,   jordan,400,1146349,1537097,1927845,2198740,2786853,3166961,3457691
132,   kuwait,414,1074391,921954,1127640,1333530,1874812,2866136,3110159
133,   lebanon,422,523693,608303,692913,742243,793191,1916259,1712762
134,   oman,512,304000,539643,623608,666164,816234,1856226,2372836
135,   qatar,634,309753,361673,359697,646026,1456413,1687640,2226192
136,   saudi arabia,682,4998445,5122702,5263387,6501819,8429956,10771366,13454842
137,   state of palestine*,275,288332,281767,275202,274520,273840,273163,272784
138,   syrian arab republic,760,714140,830610,834916,882398,1783595,835716,868711
139,   turkey,792,1163686,1216173,1280963,1324108,1373749,4346197,6052652
140,   united arab emirates,784,1306574,1824118,2447010,3281115,7316697,7995126,8716332
141,   yemen,887,118863,136515,144940,171871,288394,379882,387113
142, europe,908,49608225,53489827,56858793,63585731,70627160,74759083,86706068
143,  eastern europe,923,21995312,21344124,20435785,19744557,19110686,19833989,20835402
144,   belarus,112,1248977,1186282,1123586,1106982,1090378,1082905,1067090
145,   bulgaria,100,21510,32435,43360,61074,76287,123803,184363
146,   czechia,203,110394,165592,220789,322540,398493,416454,540921
147,   hungary,348,347510,322234,296957,366787,436616,475508,584567
148,   poland,616,1127771,964725,825251,722509,642417,611855,817254
149,   republic of moldova*,498,544162,367231,247828,171122,129488,106374,104438
150,   romania,642,135825,135037,134254,145162,177211,281048,705310
151,   russian federation,643,11524948,11928927,11900297,11667588,11194710,11643276,11636911
152,   slovakia,703,41295,69323,116376,130491,146319,177624,197161
153,   ukraine*,804,6892920,6172338,5527087,5050302,4818767,4915142,4997387
154,  northern europe,924,6645605,7194824,7900973,9588814,11294937,13191086,14973861
155,   channel islands*,830,61660,60519,64301,70941,77581,82307,84087
156,   denmark*,208,235189,303108,371026,440383,500772,595876,717574
157,   estonia,233,381997,315755,249512,233701,217890,194664,199277
158,   faroe islands*,234,4285,2900,3593,4583,5096,5485,6812
159,   finland*,246,63255,99729,136203,192169,228481,314856,386052
160,   iceland,352,9584,12738,15892,25492,35091,39072,65424
161,   ireland,372,227961,226892,350552,589046,730542,759256,871256
162,   isle of man*,833,34769,36886,39002,41475,43447,42238,43040
163,   latvia,428,646007,538093,430178,376725,313786,265418,239422
164,   lithuania,440,349258,273587,214311,201209,160772,136021,145184
165,   norway*,578,192587,233302,292440,361144,524601,746375,852238
166,   sweden,752,788767,936022,1003798,1125790,1337214,1602522,2003908
167,   united kingdom*,826,3650286,4155293,4730165,5926156,7119664,8406996,9359587
168,  southern europe,925,4340433,6230114,7681658,12004024,16206273,15815457,17665688
169,   albania,8,66013,71354,76695,64739,52784,52031,48810
170,   andorra,20,38891,44206,42147,50298,52053,42264,45574
171,   bosnia and herzegovina,70,56000,69476,82952,47287,38945,38597,36042
172,   croatia,191,475438,674085,585298,579273,573248,561093,528056
173,   gibraltar*,292,8709,8381,8054,9211,10369,11065,11190
174,   greece,300,618139,857850,1111665,1190707,1321149,1242924,1340456
175,   holy see*,336,762,778,790,798,783,790,809
176,   italy,380,1428219,1774954,2121688,3954790,5787893,5805328,6386998
177,   malta,470,15077,17740,21521,24560,33008,52642,114760
178,   montenegro,499,0,0,0,0,78512,71719,70999
179,   north macedonia,807,95142,109343,125665,127667,129701,130730,131311
180,   portugal,620,435782,532822,651472,771184,762825,864814,1001963
181,   san marino,674,3310,3659,4045,4218,4880,5195,5543
182,   serbia*,688,99269,870980,977873,854848,826275,807441,823011
183,   slovenia,705,178077,174419,214508,217218,253786,237616,277964
184,   spain*,724,821605,1020067,1657285,4107226,6280062,5891208,6842202
185,  western europe,926,16626875,18720765,20840377,22248336,24015264,25918551,33231117
186,   austria,40,793239,894893,996547,1127164,1274901,1483123,1738183
187,   belgium,56,1280583,1288003,1268368,1248733,1503806,1783488,2005479
188,   france*,250,5897267,6087993,6278718,6737600,7309986,7878338,8524876
189,   germany,276,5936181,7464406,8992631,9402447,9812263,10220418,15762457
190,   liechtenstein,438,10906,13311,15483,18898,22342,23799,25877
191,   luxembourg,442,113795,126106,139750,150618,163142,248888,298062
192,   monaco,492,20359,21060,21787,21312,21132,25983,26601
193,   netherlands*,528,1182263,1346164,1556337,1736127,1832510,1996318,2358333
194,   switzerland,756,1392282,1478829,1570756,1805437,2075182,2258196,2491249
195, latin america and the caribbean,904,7135971,6661553,6539738,7184113,8326588,9441503,14794623
196,  caribbean,915,1031083,1121563,1216872,1275731,1338893,1501081,1605148
197,   anguilla*,660,2570,3317,4063,4684,5103,5471,5715
198,   antigua and barbuda,28,12029,17550,23071,24741,26412,28082,29386
199,   aruba*,533,14444,22274,30104,32540,34328,36114,53593
200,   bahamas,44,26855,31654,36454,45531,54745,59241,63583
201,   barbados,52,24024,26224,28424,30624,32825,34475,34869
202,"   bonaire, sint eustatius and saba*",535,13010,15101,14387,14399,20941,24571,26221
203,   british virgin islands*,92,8035,10046,12958,15016,17076,19535,22164
204,   cayman islands*,136,9315,12666,19176,20679,24062,26193,29242
205,   cuba,192,34555,26187,18545,11693,7373,4649,3024
206,   curaçao*,531,0,0,0,0,34630,37611,57210
207,   dominica,212,2519,3121,3723,4744,8110,8093,8284
208,   dominican republic,214,291151,323381,355611,375417,395479,549289,603794
209,   grenada,308,4263,5544,6825,6902,6980,7057,7213
210,   guadeloupe*,312,65944,74566,83188,89065,94942,90956,90206
211,   haiti,332,19084,18129,17222,16360,17182,18047,18884
212,   jamaica,388,20475,22713,24952,24284,23677,23165,23629
213,   martinique*,474,38705,46599,54492,57034,59575,69174,68624
214,   montserrat*,500,2013,1612,1211,1244,1291,1351,1379
215,   puerto rico*,630,321909,338067,355038,352144,304969,280494,247132
216,   saint barthélemy*,652,0,0,0,0,0,0,0
217,   saint kitts and nevis,659,3210,4248,5871,6682,7245,7443,7725
218,   saint lucia,662,5305,7155,9871,9839,9050,8673,8338
219,   saint martin (french part)*,663,0,0,0,0,0,0,0
220,   saint vincent and the grenadines,670,3970,4135,4307,4436,4569,4637,4738
221,   sint maarten (dutch part)*,534,0,0,0,13099,26203,27295,28845
222,   trinidad and tobago,780,50666,45994,41753,44812,48226,50021,78849
223,   turks and caicos islands*,796,5062,7039,9015,13115,17216,22723,25748
224,   united states virgin islands*,850,51970,54241,56611,56647,56684,56721,56753
225,  central america,916,1829911,1298916,1107577,1378041,1751028,1860215,2302001
226,   belize,84,30404,33446,36488,41438,46390,54615,62043
227,   costa rica,188,417628,364287,310946,358398,405779,411697,520729
228,   el salvador,222,47360,39537,31713,36029,40342,42059,42767
229,   guatemala,320,264257,156188,48119,57214,66386,74852,84311
230,   honduras,340,270423,149442,28461,27934,27288,38330,39195
231,   mexico,484,695674,458549,538051,712648,969710,1013691,1197624
232,   nicaragua,558,41421,26619,30389,34919,37345,40261,42167
233,   panama,591,62744,70848,83410,109461,157788,184710,313165
234,  south america,931,4274977,4241074,4215289,4530341,5236667,6080207,10887474
235,   argentina,32,1649919,1595069,1540219,1674163,1805957,2086301,2281728
236,   bolivia (plurinational state of),68,73758,83598,92658,107745,122846,143008,164121
237,   brazil,76,798517,741557,684596,638582,592640,710304,1079708
238,   chile,152,107501,142417,177332,276360,375388,639724,1645015
239,   colombia,170,104277,106943,109609,106523,130309,159407,1905393
240,   ecuador,218,78663,115093,151523,189893,375253,387513,784787
241,   falkland islands (malvinas)*,238,855,868,1067,1166,1436,1571,1957
242,   french guiana*,254,63612,70131,76649,86468,96288,106108,119249
243,   guyana,328,4095,6352,8610,10868,8182,8661,31169
244,   paraguay,600,195884,186570,176608,168243,160299,156462,169567
245,   peru,604,56688,56732,66300,77877,104706,154774,1224519
246,   suriname,740,18083,22320,27506,33662,39713,43127,47801
247,   uruguay,858,98116,93428,88874,82317,76303,78799,108267
248,   venezuela (bolivarian republic of),862,1025009,1019996,1013738,1076474,1347347,1404448,1324193
249, northern america,905,27610408,33340948,40351710,45363089,50970524,55633741,58708795
250,   bermuda*,60,15683,16676,17684,18108,18547,19212,19739
251,   canada,124,4333318,4864778,5511914,6078985,6761226,7428657,8049323
252,   greenland*,304,9282,7121,6601,6556,6091,6009,5899
253,   saint pierre and miquelon*,666,1099,1320,1458,1147,1017,986,998
254,   united states of america*,840,23251026,28451053,34814053,39258293,44183643,48178877,50632836
255, oceania ,909,4731938,5022527,5361681,6024021,7128598,8072276,9380653
256,  australia and new zealand,927,4473260,4741947,5065063,5717982,6830423,7769466,9067584
257,   australia*,36,3955213,4153330,4386250,4878030,5882980,6729730,7685860
258,   new zealand*,554,518047,588617,678813,839952,947443,1039736,1381724
259,  melanesia,928,91200,96828,95281,103881,110691,119343,124073
260,   fiji,242,13283,13001,12719,12434,13357,13751,14087
261,   new caledonia*,540,37673,43662,49651,55405,61158,68881,73141
262,   papua new guinea,598,33710,33526,26304,29971,30425,30940,31068
263,   solomon islands,90,4226,4178,3981,3271,2760,2585,2520
264,   vanuatu,548,2308,2461,2626,2800,2991,3186,3257
265,  micronesia,954,108969,118687,130186,128390,114743,113466,118860
266,   guam*,316,69755,71912,74070,74743,75416,76089,80472
267,   kiribati,296,2162,2223,2283,2487,2868,2919,3126
268,   marshall islands,584,1158,1480,1891,2417,3089,3284,3298
269,   micronesia (fed. states of),583,3685,3342,3116,2905,2806,2756,2832
270,   nauru,520,2815,2605,2394,2253,906,1833,2201
271,   northern mariana islands*,580,26593,32376,40122,37542,24168,21648,21843
272,   palau,585,2801,4749,6310,6043,5490,4937,5088
273,  polynesia*,957,58509,65065,71151,73768,72741,70001,70136
274,   american samoa*,16,21283,23098,24912,24233,23555,23513,23608
275,   cook islands*,184,2587,2686,2785,3277,3769,4168,4579
276,   french polynesia*,258,25830,28360,30329,32286,31640,30058,30081
277,   niue*,570,461,480,498,522,589,588,588
278,   samoa,882,3357,4694,5998,5746,5122,4255,4021
279,   tokelau*,772,360,506,712,1003,1128,1185,1238
280,   tonga,776,2911,3274,3684,4301,4607,3954,3742
281,   tuvalu,798,318,263,218,209,220,230,239
282,   wallis and futuna islands*,876,1402,1704,2015,2191,2111,2050,2040
