,"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
34,   réunion*,638,299,329,360,388,402,418,433
35,   rwanda,646,3595,2838,3876,4326,4921,5583,6367
36,   seychelles,690,35,38,40,44,47,49,50
37,   somalia,706,3630,3757,4443,5226,6016,6883,7924
38,   south sudan,728,2730,2546,3088,3760,4752,5360,5603
39,   uganda,800,8619,10085,11643,13639,15915,18776,22547
40,   united republic of tanzania*,834,12541,14752,16661,19138,22119,25696,29851
41,   zambia,894,4006,4518,5164,5861,6719,7857,9103
42,   zimbabwe,716,5191,5641,5814,5784,6049,6569,7092
43,  middle africa,911,35103,41558,47729,55693,65530,76881,89622
44,   angola,24,5937,6960,8155,9639,11549,13791,16261
45,   cameroon,120,5856,6768,7722,8837,10154,11641,13277
46,   central african republic,140,1382,1589,1795,1996,2172,2227,2394
47,   chad,148,2958,3483,4159,5031,5962,7042,8200
48,   congo,178,1159,1332,1543,1796,2126,2423,2757
49,   democratic republic of the congo,180,17079,20574,23359,27222,32142,38020,44710
50,   equatorial guinea,226,208,252,314,398,513,646,780
51,   gabon,266,466,535,610,695,822,992,1133
52,   sao tome and principe,678,59,65,70,78,90,100,110
53,  northern africa,912,70326,78798,86162,93703,101867,112444,123723
54,   algeria,12,13036,14564,15731,16766,18161,20064,22154
55,   egypt,818,28207,31389,34650,38098,41806,46718,51703
56,   libya,434,2339,2592,2781,2990,3164,3248,3469
57,   morocco,504,12376,13427,14269,15045,15947,17171,18317
58,   sudan,729,10103,12085,13677,15515,17232,19425,21907
59,   tunisia,788,4152,4609,4889,5058,5303,5542,5861
60,   western sahara,732,114,133,164,231,253,276,312
61,  southern africa,913,20758,23312,25293,26871,28737,31023,33214
62,   botswana,72,615,706,795,875,972,1021,1139
63,   eswatini,748,389,442,483,489,502,532,570
64,   lesotho,426,778,923,977,964,970,1012,1057
65,   namibia,516,690,785,865,935,1024,1120,1232
66,   south africa,710,18286,20455,22172,23607,25270,27337,29216
67,  western africa,914,90312,102991,117611,134342,154153,176806,202280
68,   benin,204,2424,2895,3383,3955,4569,5270,6054
69,   burkina faso,854,4306,4943,5702,6622,7738,9019,10445
70,   cabo verde,132,160,186,206,225,246,263,279
71,   côte d'ivoire,384,6208,7369,8479,9379,10427,11747,13300
72,   gambia,270,477,564,656,767,890,1035,1199
73,   ghana,288,7438,8581,9731,11019,12533,14105,15750
74,   guinea,324,3049,3484,3934,4343,4858,5475,6353
75,   guinea-bissau,624,471,527,581,649,738,846,963
76,   liberia,430,1032,1017,1420,1609,1948,2244,2543
77,   mali,466,4171,4740,5428,6358,7517,8720,10145
78,   mauritania,478,1010,1146,1308,1508,1747,2028,2335
79,   niger,562,3925,4672,5613,6783,8227,10030,12170
80,   nigeria,566,47897,54345,61648,70121,80161,91721,104470
81,   saint helena*,654,0,0,0,0,0,0,0
82,   senegal,686,3746,4311,4813,5417,6172,7089,8171
83,   sierra leone,694,2133,2130,2274,2805,3193,3574,3981
84,   togo,768,1862,2080,2432,2777,3186,3639,4119
85, asia,935,1648968,1785949,1912363,2035224,2155312,2268503,2373462
86,  central asia,5500,24617,26207,27264,28817,31018,33869,36812
87,   kazakhstan,398,7952,7673,7177,7419,7856,8508,9113
88,   kyrgyzstan,417,2145,2253,2433,2516,2680,2948,3227
89,   tajikistan,762,2619,2876,3114,3413,3798,4265,4806
90,   turkmenistan,795,1810,2072,2223,2339,2503,2740,2969
91,   uzbekistan,860,10091,11333,12317,13130,14182,15407,16697
92,  eastern asia,906,711282,747554,775571,798705,819646,839695,855476
93,   china*,156,603859,636687,662188,683486,703414,722508,738247
94,"   china, hong kong sar*",344,2910,3052,3250,3252,3277,3333,3440
95,"   china, macao sar*",446,170,187,205,229,258,289,312
96,"   china, taiwan province of china*",158,10534,10912,11159,11494,11654,11766,11834
97,   dem. people's republic of korea,408,9859,10658,11178,11670,11995,12314,12608
98,   japan,392,61357,62190,62625,62886,62875,62537,61753
99,   mongolia,496,1078,1138,1196,1257,1349,1482,1615
100,   republic of korea,410,21514,22730,23772,24431,24825,25466,25666
101,  south-eastern asia,920,221821,242088,261486,279657,298345,316954,333932
102,   brunei darussalam,96,136,155,169,186,201,216,227
103,   cambodia,116,4335,5173,5907,6442,6972,7570,8162
104,   indonesia,360,91096,98510,105854,113592,121821,130133,137718
105,   lao people's democratic republic,418,2130,2417,2650,2846,3099,3381,3652
106,   malaysia*,458,9172,10428,11818,13168,14550,15585,16631
107,   myanmar,104,20124,21351,22630,23672,24399,25392,26220
108,   philippines,608,31268,35201,39281,43387,47398,51389,55029
109,   singapore,702,1516,1790,2066,2156,2675,2926,3062
110,   thailand,764,28018,29538,31094,32174,32931,33559,33966
111,   timor-leste,626,373,426,447,503,553,605,666
112,   viet nam,704,33653,37098,39570,41532,43746,46197,48598
113,  southern asia,5501,615915,685275,754263,822613,885445,943628,1000786
114,   afghanistan,4,6345,9393,10690,13240,14936,17686,19976
115,   bangladesh,50,53216,59294,65595,71222,75016,79217,83259
116,   bhutan,64,273,274,302,340,360,384,410
117,   india,356,453257,500831,549388,597052,642164,681223,717101
118,   iran (islamic republic of),364,28745,31304,33388,35490,37180,39730,42408
119,   maldives,462,114,129,141,167,199,271,343
120,   nepal,524,9396,10903,11920,12788,13297,12398,13348
121,   pakistan,586,55821,63985,73474,82676,92427,102641,113672
122,   sri lanka,144,8748,9163,9366,9638,9866,10078,10267
123,  western asia,922,75333,84826,93779,105431,120860,134356,146457
124,   armenia,51,1715,1524,1441,1402,1346,1375,1394
125,   azerbaijan*,31,3541,3797,3971,4207,4475,4789,5065
126,   bahrain,48,286,325,381,534,774,847,1100
127,   cyprus*,196,389,432,475,520,556,581,604
128,   georgia*,268,2572,2355,2072,2007,1953,1922,1901
129,   iraq,368,8785,10160,11852,13600,15022,17984,20358
130,   israel,376,2220,2603,2930,3221,3628,3956,4308
131,   jordan,400,1868,2400,2655,2975,3704,4693,5166
132,   kuwait,414,1191,933,1195,1340,1730,2256,2614
133,   lebanon,422,1383,1754,1915,2391,2516,3288,3436
134,   oman,512,1009,1307,1273,1420,1835,2783,3370
135,   qatar,634,319,338,386,585,1419,1950,2165
136,   saudi arabia,682,9087,10336,11248,13261,15427,18041,20131
137,   state of palestine*,275,1065,1329,1637,1817,2058,2298,2587
138,   syrian arab republic,760,6292,7256,8302,9368,10785,9066,8760
139,   turkey,792,26630,28836,31144,33420,35564,38650,41636
140,   united arab emirates,784,1198,1604,2117,3229,6396,6521,6836
141,   yemen,887,5782,7537,8783,10134,11672,13356,15025
142, europe,908,347005,350136,349427,351223,354615,358183,361061
143,  eastern europe,923,146842,146744,143818,140214,138614,138435,137830
144,   belarus,112,4761,4725,4634,4464,4380,4392,4399
145,   bulgaria,100,4357,4102,3898,3741,3616,3502,3374
146,   czechia,203,5020,5033,5006,4997,5172,5209,5273
147,   hungary,348,4984,4944,4862,4786,4710,4647,4598
148,   poland,616,18485,18706,18718,18577,18532,18435,18338
149,   republic of moldova*,498,2081,2073,2011,1992,1964,1956,1932
150,   romania,642,11580,11284,10830,10439,9940,9700,9354
151,   russian federation,643,69061,69530,68503,66851,66541,67171,67640
152,   slovakia,703,2581,2616,2622,2617,2621,2641,2658
153,   ukraine*,804,23933,23732,22734,21750,21137,20782,20263
154,  northern europe,924,44789,45345,46050,47127,49283,50984,52487
155,   channel islands*,830,68,70,72,74,79,82,86
156,   denmark*,208,2536,2585,2643,2685,2756,2829,2879
157,   estonia,233,732,663,653,630,620,615,628
158,   faroe islands*,234,0,0,0,0,0,0,0
159,   finland*,246,2425,2493,2533,2574,2633,2698,2732
160,   iceland,352,128,134,140,148,161,166,171
161,   ireland,372,1747,1784,1880,2067,2263,2303,2451
162,   isle of man*,833,0,0,0,0,0,0,0
163,   latvia,428,1241,1156,1096,1032,970,916,869
164,   lithuania,440,1749,1709,1639,1554,1438,1350,1260
165,   norway*,578,2100,2160,2229,2298,2442,2618,2740
166,   sweden,752,4232,4366,4392,4482,4677,4881,5059
167,   united kingdom*,826,27772,28167,28712,29517,31175,32461,33542
168,  southern europe,925,70196,70467,70716,73241,74754,74663,74369
169,   albania,8,1683,1534,1584,1552,1485,1471,1465
170,   andorra,20,0,0,0,0,0,0,0
171,   bosnia and herzegovina,70,2210,1878,1842,1850,1820,1681,1607
172,   croatia,191,2316,2233,2132,2108,2085,2035,1979
173,   gibraltar*,292,0,0,0,0,0,0,0
174,   greece,300,5070,5339,5508,5556,5349,5233,5116
175,   holy see*,336,0,0,0,0,0,0,0
176,   italy,380,27733,27752,27435,28296,28705,29394,29438
177,   malta,470,178,186,195,201,206,217,221
178,   montenegro,499,306,308,303,303,308,310,311
179,   north macedonia,807,1004,995,1019,1030,1035,1040,1042
180,   portugal,620,4763,4861,4966,5080,5071,4910,4824
181,   san marino,674,0,0,0,0,0,0,0
182,   serbia*,688,4698,4871,4656,4501,4406,4351,4280
183,   slovenia,705,975,966,972,975,1012,1029,1035
184,   spain*,724,19204,19481,20041,21716,23196,22916,22978
185,  western europe,926,85177,87579,88843,90641,91965,94101,96375
186,   austria,40,3695,3856,3916,4012,4099,4249,4440
187,   belgium,56,4896,4986,5035,5174,5372,5549,5744
188,   france*,250,27577,28087,28625,29590,30459,31231,31589
189,   germany,276,38146,39343,39641,39873,39619,40225,41416
190,   liechtenstein,438,0,0,0,0,0,0,0
191,   luxembourg,442,187,200,215,226,252,284,317
192,   monaco,492,0,0,0,0,0,0,0
193,   netherlands*,528,7402,7661,7889,8116,8284,8420,8537
194,   switzerland,756,3248,3417,3490,3616,3845,4106,4294
195, latin america and the caribbean,904,219608,238982,257773,274945,291416,307137,321629
196,  caribbean,915,16905,17930,18859,19676,20391,21071,21494
197,   anguilla*,660,0,0,0,0,0,0,0
198,   antigua and barbuda,28,30,33,36,39,42,45,47
199,   aruba*,533,31,40,44,48,48,50,51
200,   bahamas,44,127,138,145,158,172,182,191
201,   barbados,52,126,128,130,133,135,138,139
202,"   bonaire, sint eustatius and saba*",535,0,0,0,0,0,0,0
203,   british virgin islands*,92,0,0,0,0,0,0,0
204,   cayman islands*,136,0,0,0,0,0,0,0
205,   cuba,192,5307,5447,5547,5613,5584,5628,5623
206,   curaçao*,531,70,68,62,61,69,73,75
207,   dominica,212,0,0,0,0,0,0,0
208,   dominican republic,214,3589,3926,4245,4576,4866,5147,5418
209,   grenada,308,48,50,51,52,54,55,57
210,   guadeloupe*,312,190,196,204,190,189,185,185
211,   haiti,332,3461,3811,4168,4531,4907,5280,5626
212,   jamaica,388,1194,1254,1320,1358,1398,1437,1470
213,   martinique*,474,173,176,182,185,182,175,173
214,   montserrat*,500,0,0,0,0,0,0,0
215,   puerto rico*,630,1646,1719,1764,1741,1719,1618,1356
216,   saint barthélemy*,652,0,0,0,0,0,0,0
217,   saint kitts and nevis,659,0,0,0,0,0,0,0
218,   saint lucia,662,68,72,77,80,86,88,90
219,   saint martin (french part)*,663,0,0,0,0,0,0,0
220,   saint vincent and the grenadines,670,53,54,54,55,55,56,56
221,   sint maarten (dutch part)*,534,0,0,0,0,0,0,0
222,   trinidad and tobago,780,609,625,631,643,658,678,691
223,   turks and caicos islands*,796,0,0,0,0,0,0,0
224,   united states virgin islands*,850,51,52,53,52,51,50,50
225,  central america,916,56161,61349,66528,71514,77241,82776,88051
226,   belize,84,95,104,125,143,161,180,198
227,   costa rica,188,1571,1783,1989,2149,2293,2426,2545
228,   el salvador,222,2571,2732,2836,2889,2926,2974,3036
229,   guatemala,320,4603,5136,5717,6423,7186,7995,8827
230,   honduras,340,2461,2836,3270,3715,4149,4550,4949
231,   mexico,484,41540,45071,48558,51837,55826,59594,63071
232,   nicaragua,558,2070,2304,2507,2684,2869,3067,3265
233,   panama,591,1249,1382,1527,1676,1830,1990,2160
234,  south america,931,146542,159704,172385,183755,193785,203290,212083
235,   argentina,32,15885,16945,17895,18897,19899,20989,22049
236,   bolivia (plurinational state of),68,3452,3836,4235,4648,5056,5463,5858
237,   brazil,76,74078,80415,86582,92002,96536,100658,104436
238,   chile,152,6520,7071,7548,7963,8397,8845,9426
239,   colombia,170,16315,17896,19427,20901,22160,23289,24985
240,   ecuador,218,5144,5755,6365,6934,7520,8115,8824
241,   falkland islands (malvinas)*,238,0,0,0,0,0,0,0
242,   french guiana*,254,60,71,84,101,116,129,148
243,   guyana,328,367,375,372,374,372,384,396
244,   paraguay,600,2139,2421,2701,2957,3178,3404,3624
245,   peru,604,10978,12102,13191,13893,14474,15133,16379
246,   suriname,740,206,224,238,252,267,281,295
247,   uruguay,858,1508,1562,1607,1602,1619,1646,1678
248,   venezuela (bolivarian republic of),862,9889,11029,12140,13230,14190,14953,13985
249, northern america,905,137269,144781,153979,161579,169617,176639,182581
250,   bermuda*,60,0,0,0,0,0,0,0
251,   canada,124,13657,14438,15152,15945,16942,17864,18732
252,   greenland*,304,0,0,0,0,0,0,0
253,   saint pierre and miquelon*,666,0,0,0,0,0,0,0
254,   united states of america*,840,123549,130279,138762,145568,152611,158712,163786
255, oceania ,909,13668,14696,15729,16866,18490,19954,21363
256,  australia and new zealand,927,10128,10762,11368,12096,13225,14194,15069
257,   australia*,36,8455,8951,9474,10070,11079,11925,12699
258,   new zealand*,554,1673,1811,1894,2026,2146,2269,2370
259,  melanesia,928,3041,3400,3801,4188,4675,5157,5671
260,   fiji,242,370,394,412,419,439,441,454
261,   new caledonia*,540,87,99,110,119,128,137,143
262,   papua new guinea,598,2348,2636,2972,3303,3720,4134,4568
263,   solomon islands,90,160,185,212,240,268,307,349
264,   vanuatu,548,75,86,95,107,120,138,156
265,  micronesia,954,216,233,244,252,255,265,277
266,   guam*,316,70,76,79,81,81,82,85
267,   kiribati,296,36,39,42,45,51,54,59
268,   marshall islands,584,0,0,0,0,0,0,0
269,   micronesia (fed. states of),583,49,55,54,54,52,55,58
270,   nauru,520,0,0,0,0,0,0,0
271,   northern mariana islands*,580,0,0,0,0,0,0,0
272,   palau,585,0,0,0,0,0,0,0
273,  polynesia*,957,284,301,317,330,335,339,347
274,   american samoa*,16,0,0,0,0,0,0,0
275,   cook islands*,184,0,0,0,0,0,0,0
276,   french polynesia*,258,104,113,124,133,136,139,142
277,   niue*,570,0,0,0,0,0,0,0
278,   samoa,882,85,88,91,93,96,100,103
279,   tokelau*,772,0,0,0,0,0,0,0
280,   tonga,776,48,49,50,51,52,50,53
281,   tuvalu,798,0,0,0,0,0,0,0
282,   wallis and futuna islands*,876,0,0,0,0,0,0,0
