"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
   Syrian Arab Republic,760,714140.0,830610.0,834916.0,882398.0,1783595.0,835716.0,868711.0
   Turkey,792,1163686.0,1216173.0,1280963.0,1324108.0,1373749.0,4346197.0,6052652.0
   United Arab Emirates,784,1306574.0,1824118.0,2447010.0,3281115.0,7316697.0,7995126.0,8716332.0
   Yemen,887,118863.0,136515.0,144940.0,171871.0,288394.0,379882.0,387113.0
   Belarus,112,1248977.0,1186282.0,1123586.0,1106982.0,1090378.0,1082905.0,1067090.0
   Bulgaria,100,21510.0,32435.0,43360.0,61074.0,76287.0,123803.0,184363.0
   Czechia,203,110394.0,165592.0,220789.0,322540.0,398493.0,416454.0,540921.0
   Hungary,348,347510.0,322234.0,296957.0,366787.0,436616.0,475508.0,584567.0
   Poland,616,1127771.0,964725.0,825251.0,722509.0,642417.0,611855.0,817254.0
   Republic of Moldova*,498,544162.0,367231.0,247828.0,171122.0,129488.0,106374.0,104438.0
   Romania,642,135825.0,135037.0,134254.0,145162.0,177211.0,281048.0,705310.0
   Russian Federation,643,11524948.0,11928927.0,11900297.0,11667588.0,11194710.0,11643276.0,11636911.0
   Slovakia,703,41295.0,69323.0,116376.0,130491.0,146319.0,177624.0,197161.0
   Ukraine*,804,6892920.0,6172338.0,5527087.0,5050302.0,4818767.0,4915142.0,4997387.0
   Channel Islands*,830,61660.0,60519.0,64301.0,70941.0,77581.0,82307.0,84087.0
   Denmark*,208,235189.0,303108.0,371026.0,440383.0,500772.0,595876.0,717574.0
   Estonia,233,381997.0,315755.0,249512.0,233701.0,217890.0,194664.0,199277.0
   Faroe Islands*,234,4285.0,2900.0,3593.0,4583.0,5096.0,5485.0,6812.0
   Finland*,246,63255.0,99729.0,136203.0,192169.0,228481.0,314856.0,386052.0
   Iceland,352,9584.0,12738.0,15892.0,25492.0,35091.0,39072.0,65424.0
   Ireland,372,227961.0,226892.0,350552.0,589046.0,730542.0,759256.0,871256.0
   Isle of Man*,833,34769.0,36886.0,39002.0,41475.0,43447.0,42238.0,43040.0
   Latvia,428,646007.0,538093.0,430178.0,376725.0,313786.0,265418.0,239422.0
   Lithuania,440,349258.0,273587.0,214311.0,201209.0,160772.0,136021.0,145184.0
   Norway*,578,192587.0,233302.0,292440.0,361144.0,524601.0,746375.0,852238.0
   Sweden,752,788767.0,936022.0,1003798.0,1125790.0,1337214.0,1602522.0,2003908.0
   United Kingdom*,826,3650286.0,4155293.0,4730165.0,5926156.0,7119664.0,8406996.0,9359587.0
   Albania,8,66013.0,71354.0,76695.0,64739.0,52784.0,52031.0,48810.0
   Andorra,20,38891.0,44206.0,42147.0,50298.0,52053.0,42264.0,45574.0
   Bosnia and Herzegovina,70,56000.0,69476.0,82952.0,47287.0,38945.0,38597.0,36042.0
   Croatia,191,475438.0,674085.0,585298.0,579273.0,573248.0,561093.0,528056.0
   Gibraltar*,292,8709.0,8381.0,8054.0,9211.0,10369.0,11065.0,11190.0
   Greece,300,618139.0,857850.0,1111665.0,1190707.0,1321149.0,1242924.0,1340456.0
   Holy See*,336,762.0,778.0,790.0,798.0,783.0,790.0,809.0
   Italy,380,1428219.0,1774954.0,2121688.0,3954790.0,5787893.0,5805328.0,6386998.0
   Malta,470,15077.0,17740.0,21521.0,24560.0,33008.0,52642.0,114760.0
   Montenegro,499,0.0,0.0,0.0,0.0,78512.0,71719.0,70999.0
   North Macedonia,807,95142.0,109343.0,125665.0,127667.0,129701.0,130730.0,131311.0
   Portugal,620,435782.0,532822.0,651472.0,771184.0,762825.0,864814.0,1001963.0
   San Marino,674,3310.0,3659.0,4045.0,4218.0,4880.0,5195.0,5543.0
   Serbia*,688,99269.0,870980.0,977873.0,854848.0,826275.0,807441.0,823011.0
   Slovenia,705,178077.0,174419.0,214508.0,217218.0,253786.0,237616.0,277964.0
   Spain*,724,821605.0,1020067.0,1657285.0,4107226.0,6280062.0,5891208.0,6842202.0
   Austria,40,793239.0,894893.0,996547.0,1127164.0,1274901.0,1483123.0,1738183.0
   Belgium,56,1280583.0,1288003.0,1268368.0,1248733.0,1503806.0,1783488.0,2005479.0
   France*,250,5897267.0,6087993.0,6278718.0,6737600.0,7309986.0,7878338.0,8524876.0
   Germany,276,5936181.0,7464406.0,8992631.0,9402447.0,9812263.0,10220418.0,15762457.0
   Liechtenstein,438,10906.0,13311.0,15483.0,18898.0,22342.0,23799.0,25877.0
   Luxembourg,442,113795.0,126106.0,139750.0,150618.0,163142.0,248888.0,298062.0
   Monaco,492,20359.0,21060.0,21787.0,21312.0,21132.0,25983.0,26601.0
   Netherlands*,528,1182263.0,1346164.0,1556337.0,1736127.0,1832510.0,1996318.0,2358333.0
   Switzerland,756,1392282.0,1478829.0,1570756.0,1805437.0,2075182.0,2258196.0,2491249.0
   Anguilla*,660,2570.0,3317.0,4063.0,4684.0,5103.0,5471.0,5715.0
   Antigua and Barbuda,28,12029.0,17550.0,23071.0,24741.0,26412.0,28082.0,29386.0
   Aruba*,533,14444.0,22274.0,30104.0,32540.0,34328.0,36114.0,53593.0
   Bahamas,44,26855.0,31654.0,36454.0,45531.0,54745.0,59241.0,63583.0
   Barbados,52,24024.0,26224.0,28424.0,30624.0,32825.0,34475.0,34869.0
"   Bonaire, Sint Eustatius and Saba*",535,13010.0,15101.0,14387.0,14399.0,20941.0,24571.0,26221.0
   British Virgin Islands*,92,8035.0,10046.0,12958.0,15016.0,17076.0,19535.0,22164.0
   Cayman Islands*,136,9315.0,12666.0,19176.0,20679.0,24062.0,26193.0,29242.0
   Cuba,192,34555.0,26187.0,18545.0,11693.0,7373.0,4649.0,3024.0
   Curaçao*,531,0.0,0.0,0.0,0.0,34630.0,37611.0,57210.0
   Dominica,212,2519.0,3121.0,3723.0,4744.0,8110.0,8093.0,8284.0
   Dominican Republic,214,291151.0,323381.0,355611.0,375417.0,395479.0,549289.0,603794.0
   Grenada,308,4263.0,5544.0,6825.0,6902.0,6980.0,7057.0,7213.0
   Guadeloupe*,312,65944.0,74566.0,83188.0,89065.0,94942.0,90956.0,90206.0
   Haiti,332,19084.0,18129.0,17222.0,16360.0,17182.0,18047.0,18884.0
   Jamaica,388,20475.0,22713.0,24952.0,24284.0,23677.0,23165.0,23629.0
   Martinique*,474,38705.0,46599.0,54492.0,57034.0,59575.0,69174.0,68624.0
   Montserrat*,500,2013.0,1612.0,1211.0,1244.0,1291.0,1351.0,1379.0
