"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
"   China, Hong Kong SAR*",344, 270 896, 303 535, 337 228, 377 171, 439 136, 490 995, 516 106
"   China, Macao SAR*",446, 43 362, 45 155, 47 194, 51 712, 56 893, 60 363, 64 597
"   China, Taiwan Province of China*",158,..,..,..,..,..,..,..
   Dem. People's Republic of Korea,408, 19 056, 26 480, 35 986, 44 079, 50 274, 54 930, 58 162
   Japan,392, 299 099, 319 455, 340 803, 340 784, 352 600, 351 281, 362 930
   Mongolia,496, 11 762, 12 872, 13 870, 19 757, 27 393, 30 999, 39 366
   Republic of Korea,410, 746 733, 845 928, 918 713, 970 088,1 098 046,1 062 957,1 088 491
  South-Eastern Asia,920,3 826 278,4 753 131,5 881 894,7 136 416,9 011 911,10 329 729,11 903 748
   Brunei Darussalam,96, 15 605, 21 035, 27 186, 26 586, 26 048, 26 000, 25 825
   Cambodia,116, 174 749, 205 878, 223 794, 319 678, 450 385, 505 718, 513 004
   Indonesia,360, 948 258,1 103 287,1 344 276,1 544 224,1 903 542,2 272 231,2 560 770
   Lao People's Democratic Republic,418, 237 312, 270 215, 317 564, 421 459, 553 800, 592 231, 571 192
   Malaysia*,458, 275 352, 401 165, 539 648, 631 301, 739 362, 816 165, 805 157
   Myanmar,104, 376 108, 494 608, 656 671, 960 444,1 392 913,1 593 428,2 323 899
   Philippines,608, 826 634,1 041 934,1 307 609,1 609 037,2 149 714,2 533 069,2 804 967
   Singapore,702, 74 549, 79 794, 91 193, 113 294, 136 184, 157 614, 166 831
   Thailand,764, 121 071, 155 785, 197 201, 230 013, 282 453, 348 078, 423 456
   Timor-Leste,626, 5 921, 39 834, 74 436, 50 254, 19 023, 20 585, 21 796
   Viet Nam,704, 770 719, 939 596,1 102 316,1 230 126,1 358 487,1 464 610,1 686 851
  Southern Asia,5501,14 296 925,13 063 794,14 057 056,15 523 113,20 886 100,24 330 659,27 404 198
   Afghanistan,4,4 133 232,2 372 554,2 610 780,2 282 977,2 867 554,2 902 913,3 226 319
   Bangladesh,50,3 162 454,3 161 768,3 192 999,3 263 197,4 104 883,4 505 672,4 971 930
   Bhutan,64, 13 921, 59 851, 61 414, 61 514, 46 979, 26 218, 26 295
   India,356,3 806 446,4 113 683,4 624 266,5 803 858,8 500 709,10 356 573,11 732 041
   Iran (Islamic Republic of),364, 362 151, 419 763, 456 613, 493 083, 530 244, 617 010, 708 864
   Maldives,462, 1 697, 1 215,  698, 1 126, 1 712, 1 685, 1 745
   Nepal,524, 389 292, 453 518, 524 840, 676 438, 873 613,1 239 154,1 461 696
   Pakistan,586,1 969 314,1 993 435,2 060 394,2 304 528,3 136 466,3 743 863,4 147 071
   Sri Lanka,144, 458 418, 488 007, 525 052, 636 392, 823 940, 937 571,1 128 237
  Western Asia,922,5 751 011,6 433 589,6 997 654,7 545 912,8 781 728,11 946 484,13 944 020
   Armenia,51, 436 813, 456 359, 469 987, 487 642, 493 848, 507 143, 513 437
   Azerbaijan*,31, 767 905, 843 058, 846 926, 756 699, 618 392, 606 730, 623 400
   Bahrain,48, 6 118, 13 253, 24 582, 27 091, 27 727, 29 822, 23 771
   Cyprus*,196, 90 729, 83 474, 76 411, 76 384, 81 809, 79 109, 83 014
   Georgia*,268, 446 500, 480 830, 502 617, 453 879, 405 507, 411 330, 428 794
   Iraq,368, 343 128, 411 368, 469 465, 746 216,1 365 619, 910 222,1 038 010
   Israel,376, 138 265, 144 213, 151 741, 160 875, 171 967, 169 899, 185 213
   Jordan,400, 187 186, 205 575, 226 138, 277 273, 385 170, 449 065, 516 954
   Kuwait,414, 45 219, 55 486, 66 324, 76 100, 108 844, 118 278, 129 614
   Lebanon,422, 291 678, 302 457, 315 472, 352 390, 414 002, 447 670, 506 899
   Oman,512, 6 431, 7 228, 8 238, 10 002, 11 165, 11 967, 13 574
   Qatar,634, 6 018, 6 690, 7 489, 8 915, 10 713, 11 902, 13 145
   Saudi Arabia,682, 57 684, 74 204, 89 831, 105 465, 125 982, 154 312, 165 183
   State of Palestine*,275, 888 096,1 129 279,1 400 058,1 666 877,1 805 760,1 972 565,2 112 254
   Syrian Arab Republic,760, 354 582, 379 174, 407 236, 484 324, 647 361,3 664 034,4 869 975
   Turkey,792,1 349 675,1 470 656,1 525 093,1 374 195,1 432 749,1 587 410,1 766 026
   United Arab Emirates,784, 44 671, 57 415, 66 226, 69 562, 83 884, 94 400, 107 455
   Yemen,887, 290 313, 312 870, 343 820, 412 023, 591 229, 720 626, 847 302
 EUROPE,908,22 438 898,22 816 174,23 247 653,24 061 192,25 508 453,26 369 327,29 748 898
  Eastern Europe,923,11 228 730,10 857 238,10 575 403,11 423 677,12 346 406,12 864 866,14 468 129
   Belarus,112, 815 547, 780 219, 735 866, 683 202, 622 606, 623 669, 630 018
   Bulgaria,100, 300 350, 312 957, 326 504, 426 799, 512 180, 496 720, 692 856
   Czechia,203, 272 425, 289 839, 324 606, 336 590, 335 913, 353 286, 436 228
   Hungary,348, 196 559, 201 396, 210 583, 228 737, 247 593, 292 523, 352 495
   Poland,616, 762 917, 792 359, 882 240,1 308 371,1 733 144,1 884 117,2 298 995
   Republic of Moldova*,498, 290 609, 297 868, 299 267, 342 253, 383 845, 430 866, 554 320
   Romania,642, 376 790, 459 487, 542 472, 986 924,1 580 768,1 567 809,1 874 015
   Russian Federation,643,5 512 948,4 984 699,4 509 883,4 425 027,4 372 877,4 449 268,4 655 021
   Slovakia,703, 65 915, 95 196, 125 238, 128 519, 119 280, 157 103, 195 564
   Ukraine*,804,2 634 670,2 643 218,2 618 744,2 557 255,2 438 200,2 609 505,2 778 617
  Northern Europe,924,2 959 183,2 945 625,3 053 954,3 254 617,3 443 327,3 529 209,3 820 591
   Channel Islands*,830, 8 755, 7 477, 6 316, 7 167, 7 744, 8 292, 8 836
   Denmark*,208, 91 508, 94 661, 100 345, 106 327, 111 478, 111 890, 122 100
   Estonia,233, 54 294, 60 521, 65 057, 67 824, 68 652, 84 113, 91 437
   Faroe Islands*,234, 2 989, 4 113, 5 236, 5 200, 5 189, 5 736, 5 511
   Finland*,246, 101 833, 116 149, 125 768, 121 279, 115 561, 108 794, 123 798
   Iceland,352, 8 613, 10 434, 12 764, 14 160, 16 160, 18 348, 21 173
   Ireland,372, 413 123, 385 333, 361 562, 342 406, 328 010, 334 784, 341 607
   Isle of Man*,833, 5 098, 4 363, 3 675, 4 167, 4 534, 5 185, 5 816
   Latvia,428, 99 917, 105 380, 108 961, 121 873, 122 669, 165 315, 172 595
   Lithuania,440, 152 568, 150 762, 151 578, 179 732, 225 126, 244 904, 288 652
   Norway*,578, 59 772, 65 270, 71 032, 77 328, 80 335, 82 268, 82 789
   Sweden,752, 87 405, 97 040, 112 503, 118 935, 129 495, 135 980, 147 538
   United Kingdom*,826,1 873 308,1 844 122,1 929 157,2 088 219,2 228 374,2 223 600,2 408 739
  Southern Europe,925,5 425 783,6 028 232,6 387 954,5 819 357,5 844 716,6 004 592,7 109 579
   Albania,8, 109 414, 281 966, 454 773, 517 369, 580 912, 576 220, 642 626
   Andorra,20, 1 737, 1 939, 2 647, 2 741, 3 848, 4 200, 5 302
   Bosnia and Herzegovina,70, 427 367, 668 720, 732 010, 726 700, 760 012, 763 150, 820 732
   Croatia,191, 214 109, 362 947, 435 683, 399 202, 383 471, 375 750, 495 533
   Gibraltar*,292, 5 670, 4 889, 4 174, 4 743, 5 130, 5 766, 6 434
   Greece,300, 533 413, 520 579, 506 166, 450 195, 408 319, 421 173, 567 041
   Holy See*,336,  5,  17,  28,  54,  76,  115,  71
   Italy,380,1 739 388,1 663 871,1 590 861,1 413 246,1 330 202,1 400 582,1 757 002
   Malta,470, 56 490, 55 524, 52 311, 49 819, 49 396, 47 197, 51 684
   Montenegro,499, 38 819, 70 517, 85 403, 70 332, 67 741, 61 328, 61 547
   North Macedonia,807, 216 997, 245 834, 266 937, 229 907, 259 242, 291 278, 357 739
   Portugal,620, 964 178, 986 469,1 021 724, 899 359, 987 376,1 010 281,1 074 098
   San Marino,674,  568, 1 132, 1 693, 1 298,  864, 1 269,  986
   Serbia*,688, 393 867, 480 918, 592 896, 491 207, 463 834, 406 341, 497 564
   Slovenia,705, 39 956, 47 496, 52 205, 52 802, 54 436, 61 173, 73 387
   Spain*,724, 683 805, 635 414, 588 443, 510 383, 489 857, 578 769, 697 833
  Western Europe,926,2 825 202,2 985 079,3 230 342,3 563 541,3 874 004,3 970 660,4 350 599
   Austria,40, 234 319, 227 962, 222 934, 227 488, 231 771, 233 867, 281 323
   Belgium,56, 156 482, 161 376, 172 734, 202 650, 218 052, 243 956, 276 754
   France*,250, 572 481, 645 393, 748 629, 833 193, 943 288,1 023 721,1 139 109
