"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
   Tajikistan,762, 273 274, 265 717, 242 064, 258 492, 248 073, 250 864, 249 458
   Turkmenistan,795, 132 576, 124 005, 114 399, 119 314, 122 020, 124 705, 126 958
   Uzbekistan,860, 742 205, 769 526, 788 730, 850 067, 911 183, 952 391, 976 407
  Eastern Asia,906,3 460 551,4 058 047,4 734 150,5 669 339,6 744 241,7 597 021,7 921 840
   China*,156,2 034 060,2 475 118,2 960 175,3 790 167,4 619 937,5 471 638,5 692 658
"   China, Hong Kong SAR*",344, 278 229, 313 702, 348 685, 375 305, 422 934, 466 294, 491 682
"   China, Macao SAR*",446, 43 098, 44 942, 47 323, 56 479, 66 706, 72 933, 80 595
"   China, Taiwan Province of China*",158,..,..,..,..,..,..,..
   Dem. People's Republic of Korea,408, 20 327, 27 317, 36 364, 42 684, 46 185, 48 968, 52 215
   Japan,392, 305 704, 333 838, 368 130, 377 682, 404 192, 413 127, 445 895
   Mongolia,496, 12 704, 14 822, 16 778, 22 597, 30 012, 34 486, 42 732
   Republic of Korea,410, 766 429, 848 308, 956 695,1 004 425,1 154 275,1 089 575,1 116 063
  South-Eastern Asia,920,3 899 117,4 941 117,6 206 272,7 400 593,9 102 001,10 458 136,11 676 988
   Brunei Darussalam,96, 10 718, 14 017, 18 056, 18 728, 18 493, 19 110, 19 515
   Cambodia,116, 180 679, 212 335, 235 827, 354 758, 502 674, 568 854, 591 815
   Indonesia,360, 674 001, 833 946,1 070 801,1 237 063,1 512 421,1 792 864,2 040 599
   Lao People's Democratic Republic,418, 245 696, 277 571, 331 723, 475 543, 645 062, 695 948, 724 859
   Malaysia*,458, 285 001, 460 043, 661 487, 748 004, 859 699, 964 873,1 054 880
   Myanmar,104, 309 200, 416 837, 567 639, 776 146,1 099 361,1 249 066,1 387 852
   Philippines,608,1 185 865,1 440 029,1 755 056,2 075 491,2 542 981,2 965 163,3 289 340
   Singapore,702, 81 895, 88 306, 101 737, 122 389, 146 237, 167 025, 181 633
   Thailand,764, 185 853, 256 093, 333 827, 401 665, 486 804, 573 612, 663 529
   Timor-Leste,626, 5 340, 39 216, 73 903, 44 707, 16 014, 16 740, 17 792
   Viet Nam,704, 734 869, 902 724,1 056 216,1 146 099,1 272 255,1 444 881,1 705 174
  Southern Asia,5501,11 087 203,9 846 330,10 378 293,10 905 678,12 963 993,14 722 439,15 989 847
   Afghanistan,4,3 546 350,1 974 495,2 139 897,1 833 762,2 401 964,2 498 003,2 627 519
   Bangladesh,50,2 287 989,2 261 760,2 248 095,2 229 277,2 214 988,2 325 610,2 429 833
   Bhutan,64, 14 540, 58 116, 58 769, 58 805, 44 955, 25 173, 25 703
   India,356,2 812 985,3 039 756,3 303 785,3 784 675,4 721 254,5 529 084,6 137 451
   Iran (Islamic Republic of),364, 269 045, 326 976, 374 592, 396 419, 455 447, 538 607, 616 249
   Maldives,462,  495,  472,  518, 1 086, 1 831, 1 921, 1 970
   Nepal,524, 358 761, 402 510, 452 556, 613 191, 839 084,1 031 012,1 138 005
   Pakistan,586,1 371 772,1 346 722,1 346 040,1 473 302,1 654 118,2 054 347,2 181 329
   Sri Lanka,144, 425 266, 435 523, 454 041, 515 161, 630 352, 718 682, 831 788
  Western Asia,922,5 327 550,5 783 427,5 997 411,6 355 458,7 280 855,9 744 815,11 337 175
   Armenia,51, 462 865, 445 500, 407 161, 413 006, 423 195, 437 377, 444 753
   Azerbaijan*,31, 866 252, 869 156, 783 663, 698 481, 542 471, 523 618, 540 522
   Bahrain,48, 6 699, 12 761, 23 154, 24 744, 24 508, 26 899, 34 499
   Cyprus*,196, 83 641, 79 801, 77 150, 77 589, 81 662, 87 476, 90 196
   Georgia*,268, 472 938, 472 450, 464 405, 431 644, 400 032, 417 601, 432 283
   Iraq,368, 299 805, 341 236, 358 949, 594 383,1 189 310, 765 391,1 039 966
   Israel,376, 141 360, 146 152, 152 119, 156 134, 162 001, 161 427, 173 478
   Jordan,400, 126 435, 133 451, 142 161, 163 515, 216 929, 257 767, 297 955
   Kuwait,414, 36 364, 41 523, 47 091, 52 905, 68 972, 76 756, 82 657
   Lebanon,422, 216 044, 229 081, 243 419, 256 466, 285 702, 309 513, 349 915
   Oman,512, 6 073, 6 616, 7 385, 8 822, 9 587, 10 830, 11 525
   Qatar,634, 6 157, 6 612, 7 191, 8 216, 9 961, 11 672, 12 560
   Saudi Arabia,682, 49 361, 56 707, 63 783, 73 279, 89 356, 128 594, 134 085
   State of Palestine*,275, 924 577,1 145 310,1 367 273,1 591 225,1 734 148,1 801 423,1 910 537
   Syrian Arab Republic,760, 265 703, 282 104, 299 834, 329 037, 409 961,2 783 809,3 587 239
   Turkey,792,1 163 269,1 301 075,1 322 241,1 203 110,1 276 181,1 486 124,1 645 382
