"Region, development group, country or area",Notes,Location code,Type of data,1990,1995,2000,2005,2010,2015,2020
  Western Asia,,922,, 72 983, 81 841, 90 779, 100 133, 111 567, 123 302, 133 180
   Armenia,,51,B R, 1 823, 1 693, 1 629, 1 579, 1 531, 1 550, 1 569
   Azerbaijan*,,31,B R, 3 701, 3 978, 4 151, 4 332, 4 557, 4 834, 5 075
   Bahrain,,48,C R,  210,  239,  283,  355,  467,  525,  601
   Cyprus*,,196,B,  378,  424,  468,  507,  557,  580,  604
   Georgia*,,268,B R, 2 838, 2 621, 2 290, 2 203, 2 146, 2 102, 2 088
   Iraq,,368,C R, 8 634, 9 990, 11 645, 13 323, 14 720, 17 589, 19 865
   Israel,,376,B R, 2 228, 2 668, 3 016, 3 309, 3 718, 4 022, 4 347
   Jordan,,400,C R, 1 698, 2 189, 2 467, 2 791, 3 558, 4 573, 5 037
   Kuwait,,414,C R,  905,  673,  850,  930, 1 262, 1 580, 1 656
   Lebanon,,422,B R, 1 420, 1 774, 1 928, 2 308, 2 437, 3 245, 3 390
   Oman,,512,C R,  803,  897,  995, 1 091, 1 207, 1 484, 1 736
   Qatar,,634,C,  157,  175,  206,  281,  437,  615,  716
   Saudi Arabia,,682,C R, 7 147, 8 303, 9 415, 10 555, 11 994, 13 677, 14 683
   State of Palestine*,5,275,B, 1 036, 1 290, 1 587, 1 761, 1 998, 2 231, 2 514
   Syrian Arab Republic,,760,C R, 6 154, 7 090, 8 109, 8 993, 10 577, 8 931, 8 741
   Turkey,,792,B R, 27 291, 29 650, 32 096, 34 484, 36 763, 39 879, 42 703
   United Arab Emirates,,784,C R,  630,  812, 1 017, 1 359, 2 154, 2 742, 3 054
   Yemen,,887,C R, 5 928, 7 376, 8 626, 9 973, 11 483, 13 142, 14 801
 EUROPE,,908,, 373 854, 376 859, 376 131, 378 064, 381 798, 384 876, 386 575
  Eastern Europe,,923,, 162 967, 162 691, 160 101, 157 287, 156 259, 155 956, 155 183
   Belarus,,112,B, 5 390, 5 353, 5 238, 5 098, 5 041, 5 047, 5 050
   Bulgaria,,100,B, 4 484, 4 277, 4 100, 3 946, 3 809, 3 698, 3 574
   Czechia,,203,C, 5 321, 5 325, 5 284, 5 262, 5 365, 5 392, 5 436
   Hungary,,348,B, 5 393, 5 405, 5 358, 5 300, 5 217, 5 131, 5 062
   Poland,,616,B, 19 476, 19 753, 19 839, 19 792, 19 798, 19 599, 19 509
   Republic of Moldova*,,498,B, 2 285, 2 267, 2 191, 2 167, 2 122, 2 114, 2 102
   Romania,,642,B, 11 910, 11 681, 11 308, 10 979, 10 532, 10 225, 9 884
   Russian Federation,,643,B, 78 471, 78 698, 77 902, 76 821, 76 938, 77 814, 78 294
   Slovakia,,703,B, 2 707, 2 760, 2 778, 2 781, 2 783, 2 794, 2 801
   Ukraine*,,804,B, 27 530, 27 172, 26 104, 25 141, 24 655, 24 140, 23 471
  Northern Europe,,924,, 47 247, 47 832, 48 404, 49 180, 51 115, 52 535, 53 774
   Channel Islands*,6,830,B,  72,  74,  76,  77,  81,  84,  88
   Denmark*,7,208,B, 2 605, 2 648, 2 698, 2 736, 2 799, 2 860, 2 913
   Estonia,,233,B,  833,  770,  747,  726,  712,  700,  698
   Faroe Islands*,8,234,B,..,..,..,..,..,..,..
   Finland*,,246,B, 2 572, 2 626, 2 655, 2 685, 2 732, 2 784, 2 808
   Iceland,,352,B,  127,  133,  140,  147,  159,  165,  170
   Ireland,,372,B, 1 764, 1 808, 1 903, 2 074, 2 291, 2 350, 2 486
   Isle of Man*,9,833,B,..,..,..,..,..,..,..
   Latvia,,428,B, 1 423, 1 353, 1 289, 1 219, 1 149, 1 082, 1 017
   Lithuania,,440,B, 1 947, 1 918, 1 863, 1 791, 1 686, 1 582, 1 462
   Norway*,,578,B, 2 147, 2 207, 2 270, 2 334, 2 443, 2 582, 2 681
   Sweden,,752,B, 4 335, 4 470, 4 489, 4 557, 4 713, 4 884, 5 040
   United Kingdom*,10,826,B, 29 362, 29 765, 30 212, 30 770, 32 285, 33 399, 34 344
  Southern Europe,,925,, 73 308, 73 866, 74 131, 76 435, 78 262, 78 402, 77 846
   Albania,,8,B, 1 603, 1 579, 1 546, 1 535, 1 463, 1 419, 1 413
   Andorra,,20,C,..,..,..,..,..,..,..
